articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524609705,일반상가,월세,1/8,220,"3,000",38,38,,20250509,"['15년이내', '1층']",37.610764,127.035144
2524646057,일반상가,월세,1/2,100,"2,000",30,30,,20250509,"['25년이상', '1층', '총2층']",37.609334,127.034007
2524388952,일반상가,월세,1/5,350,"5,000",99,99,,20250508,"['25년이내', '융자금없는', '1층', '총5층']",37.609148,127.031011
2524489394,일반상가,월세,1/4,350,"3,000",201,198,서향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.611107,127.035769
2524500100,일반상가,월세,2/6,790,"1억 5,000",337,337,북서향,20250508,"['10년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.610167,127.033735
2524391703,일반상가,매매,5/6,,"8억 5,000",294,159,남서향,20250508,"['25년이내', '고층', '주차가능', '엘리베이터']",37.61087,127.03574
2524488532,일반상가,월세,1/3,400,"5,000",49,49,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.603002,127.042156
2524456620,단지내상가,월세,1/2,170,"3,000",32,32,남서향,20250508,"['25년이내', '융자금없는', '1층', '주차가능']",37.607033,127.038378
2524424936,일반상가,월세,1/5,150,"3,000",79,79,동향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.603236,127.038903
2524422594,일반상가,월세,3/4,800,1억,405,405,동향,20250508,"['25년이상', '고층', '주차가능', '총4층']",37.605726,127.036739
2524419714,일반상가,월세,1/3,400,"5,000",47,47,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.603002,127.042156
2524565249,단지내상가,월세,4/35,320,"3,000",258,115,서향,20250508,"['15년이내', '융자금없는', '지상층(1층제외)', '주차가능']",37.60506,127.031004
2524566085,단지내상가,월세,4/35,200,"2,000",90,90,,20250508,"['15년이내', '융자금없는', '지상층(1층제외)', '주차가능']",37.60506,127.031004
2524565132,단지내상가,월세,1/33,240,"3,000",80,80,남향,20250508,"['15년이내', '융자금없는', '1층', '주차가능']",37.60506,127.031004
2524495635,일반상가,월세,1/2,60,"1,000",23,23,남서향,20250508,"['25년이상', '1층', '총2층', '남서향']",37.606969,127.034848
2524415397,일반상가,월세,1/4,80,"1,000",26,26,북향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.606946,127.035314
2524391321,일반상가,월세,2/5,230,"5,000",94,94,,20250508,"['25년이상', '융자금없는', '중층', '주차가능']",37.60595,127.031646
2524565687,단지내상가,매매,1/36,,4억,60,25,북향,20250508,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.60506,127.031004
2524390276,일반상가,월세,1/4,"1,200",2억,405,405,동향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.605726,127.036739
2524385879,일반상가,월세,B2/19,500,"7,000",693,531,서향,20250508,"['15년이내', '융자금적은', '지하층', '서향']",37.606852,127.029968
2524380526,일반상가,월세,B1/3,70,"1,000",82,82,남서향,20250508,"['25년이상', '지하층', '관리비10만원이하', '총3층']",37.605056,127.032242
2524372009,단지내상가,월세,1/41,160,"3,000",95,39,남동향,20250508,"['15년이내', '융자금없는', '역세권', '1층']",37.601833,127.040461
2524578040,일반상가,월세,1/3,380,1억,125,125,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.604225,127.037761
2524416169,일반상가,월세,3/3,120,"1,500",57,57,북향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.609404,127.03146
2524392983,일반상가,월세,1/5,350,"5,000",82,82,북향,20250508,"['25년이내', '융자금적은', '1층', '관리비20만원이하']",37.609148,127.031011
2524352689,일반상가,월세,2/5,450,"8,000",260,260,남서향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.606889,127.028697
2524544675,일반상가,월세,1/3,320,"5,000",110,110,서향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.606423,127.031471
2524431017,일반상가,월세,2/5,450,"8,000",260,149,북서향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.606889,127.028697
2523977578,일반상가,월세,1/3,"1,200",2억,405,347,동향,20250507,"['25년이상', '융자금없는', '1층', '주차가능']",37.605726,127.036739
2524087739,일반상가,월세,3/3,220,"4,000",139,139,남서향,20250507,"['25년이상', '융자금없는', '역세권', '고층']",37.603713,127.04301
2523819822,일반상가,월세,1/3,50,500,18,18,,20250507,"['25년이상', '1층', '총3층']",37.603808,127.035837
2524086277,일반상가,월세,2/3,250,"4,000",139,139,남동향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.603713,127.04301
2524220982,일반상가,월세,4/6,180,1억,142,142,동향,20250507,"['25년이내', '중층', '주차가능', '동향']",37.608204,127.03601
2524103495,복합상가,월세,1/41,160,"3,000",39,39,남동향,20250507,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.601833,127.040461
2524124447,일반상가,월세,2/4,130,"2,000",111,111,북향,20250507,"['25년이상', '융자금없는', '역세권', '중층']",37.603967,127.03886
2524102274,일반상가,월세,B1/5,110,"2,000",111,111,동향,20250507,"['10년이내', '융자금없는', '지하층', '엘리베이터']",37.606222,127.031975
2523932625,일반상가,월세,2/5,200,"5,000",139,139,남서향,20250507,"['25년이상', '융자금없는', '중층', '주차가능']",37.605839,127.031698
2524286388,일반상가,월세,1/6,200,"3,000",33,33,서향,20250507,"['25년이내', '1층', '관리비10만원이하', '서향']",37.611071,127.035488
2524126313,일반상가,월세,2/4,60,"1,000",33,33,남향,20250507,"['25년이상', '융자금없는', '역세권', '중층']",37.602685,127.038901
