articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524621238,일반상가,월세,1/5,150,"1,500",35,35,북서향,20250509,"['25년이상', '테라스', '역세권', '1층']",37.497594,127.126047
2524669304,일반상가,월세,1/4,330,"3,000",118,82,북동향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.496908,127.120768
2524673382,일반상가,월세,3/7,600,1억,304,264,남향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.494482,127.118056
2524640812,일반상가,월세,1/5,100,"2,000",114,49,북서향,20250509,"['25년이상', '1층', '주차가능', '총5층']",37.499271,127.120434
2524652874,일반상가,월세,1/3,345,"5,200",101,73,서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.495429,127.11956
2524681001,일반상가,월세,1/7,400,"7,000",130,91,북서향,20250509,"['4년이내', '역세권', '1층', '주차가능']",37.496519,127.125179
2524640508,일반상가,월세,1/5,150,"3,000",669,28,남서향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.50265,127.125778
2524660893,일반상가,월세,1/4,180,"3,000",84,84,남동향,20250509,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.494509,127.126729
2524654273,일반상가,월세,1/5,440,"7,000",120,112,남향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.496219,127.121001
2524678961,일반상가,월세,1/4,230,"3,000",69,66,남향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.496607,127.121026
2524609090,일반상가,월세,1/4,"1,500",3억,113,87,북서향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.497579,127.135134
2524610513,복합상가,월세,1/18,250,"5,000",60,40,북동향,20250509,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.502893,127.126118
2524490249,단지내상가,월세,4/4,170,"2,000",168,140,남동향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.496636,127.131525
2524449726,일반상가,월세,1/6,700,1억,234,200,남동향,20250508,"['10년이내', '1층', '주차가능', '천장에어컨']",37.492603,127.127762
2524365523,일반상가,월세,1/5,160,"2,000",29,20,북동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.501076,127.123662
2524585625,일반상가,월세,1/4,80,"1,000",26,26,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.493621,127.125089
2524436806,일반상가,월세,1/6,110,"2,000",135,27,남동향,20250508,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.499957,127.122891
2524407125,일반상가,월세,1/7,90,"1,500",33,33,북향,20250508,"['25년이상', '테라스', '1층', '관리비10만원이하']",37.498633,127.118124
2524407297,일반상가,월세,1/4,190,"3,000",114,52,북향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.495721,127.134882
2524406001,일반상가,월세,1/5,140,"3,000",120,29,북향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.495264,127.131287
2524459228,일반상가,월세,1/5,160,"2,000",25,23,남동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.501076,127.123662
2524450915,일반상가,월세,2/8,350,"8,000",243,156,남향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.494858,127.118428
2524412569,일반상가,월세,1/24,263,"4,200",77,38,북향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.49506,127.120441
2524433531,일반상가,월세,1/6,253,"3,000",123,99,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.502058,127.125945
2524446701,단지내상가,월세,1/2,200,"4,000",57,57,남향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.492918,127.124053
2524456557,단지내상가,월세,1/5,320,"5,000",51,22,동향,20250508,"['10년이내', '1층', '주차가능', '총5층']",37.497522,127.107235
2524469353,일반상가,월세,3/5,160,"3,000",152,152,북서향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.496689,127.136587
2524332656,일반상가,월세,1/5,270,"3,000",81,81,북동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.497262,127.121021
2524359180,일반상가,월세,1/5,266,"3,500",53,53,동향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.49571,127.118504
2524364787,일반상가,월세,1/5,250,"4,000",100,100,남서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.495769,127.119258
2524382028,일반상가,매매,1/16,,31억,147,105,북서향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.497734,127.13385
2524404880,일반상가,월세,1/3,80,"1,000",75,33,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.493167,127.135026
2524383712,일반상가,월세,1/4,100,"1,500",29,29,남동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.494366,127.125326
2524375932,일반상가,월세,2/4,100,"2,000",108,108,북동향,20250508,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.494371,127.133195
2524374698,일반상가,월세,1/6,140,"1,000",172,49,북동향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.49214,127.126891
2524366692,일반상가,월세,1/4,220,"2,000",88,82,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.497335,127.118698
2524385001,일반상가,월세,B1/5,250,"2,500",126,126,동향,20250508,"['4년이내', '지하층', '관리비20만원이하', '주차가능']",37.494654,127.134153
2524390597,일반상가,월세,1/3,75,"1,000",40,23,북서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.501381,127.124414
2524384573,일반상가,월세,1/4,100,"1,500",105,23,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.494361,127.13295
2524408290,일반상가,월세,1/4,120,"1,500",75,33,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.494666,127.133608
2524434483,일반상가,월세,1/4,163,"2,000",86,85,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.49768,127.121531
2524401459,일반상가,월세,1/4,85,"2,000",114,26,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.499271,127.120434
2524410891,일반상가,월세,1/4,80,"1,500",113,33,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.497342,127.120389
2524499424,일반상가,월세,2/15,670,1억,330,304,남향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.49401,127.120821
2524601971,일반상가,월세,3/6,260,"3,500",181,154,남동향,20250508,"['10년이내', '테라스', '중층', '주차가능']",37.492603,127.127762
2524548724,일반상가,월세,1/4,"1,800",2억,558,396,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.490776,127.120586
2524470170,일반상가,월세,1/3,220,"2,000",49,49,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.491507,127.12537
2524594308,일반상가,월세,1/8,600,2억,257,214,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.494199,127.122653
2524484783,일반상가,월세,5/7,140,"2,000",105,105,북서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.501198,127.127821
2524477854,일반상가,월세,1/6,130,"1,500",33,33,북동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.499975,127.125032
2524510140,단지내상가,매매,1/2,,"2억 3,000",32,13,,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.496358,127.116371
2524549389,일반상가,월세,1/4,135,"2,000",123,80,남동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.499765,127.122751
2524570241,일반상가,월세,2/4,400,"5,000",180,180,남동향,20250508,"['25년이상', '중층', '주차가능', '총4층']",37.49056,127.123951
2524542679,일반상가,월세,3/9,"8,000",12억,1796,1652,북향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.494013,127.122346
2524469290,일반상가,월세,1/6,135,"1,500",40,36,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.49864,127.126204
2524411842,일반상가,월세,2/4,800,5억,300,207,북동향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.497579,127.135134
2524408682,일반상가,월세,1/7,200,"2,000",213,52,남향,20250508,"['25년이상', '1층', '주차가능', '남향']",37.492483,127.135278
2524403388,일반상가,월세,1/5,80,"1,000",101,23,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.5017,127.124714
2524553778,일반상가,월세,6/6,550,1억,403,313,북서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.497504,127.133572
2524530680,일반상가,월세,1/5,120,"1,500",66,60,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.493239,127.125412
2524489053,일반상가,월세,B1/1,174,"2,000",29,27,남향,20250508,"['10년이내', '지하층', '관리비10만원이하', '주차가능']",37.497522,127.107235
2524487712,일반상가,월세,1/6,250,"3,000",85,66,북동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.499975,127.125032
2524376949,일반상가,월세,1/5,100,"1,000",33,33,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.496011,127.125785
2524553496,일반상가,매매,1/10,,22억,96,45,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.493714,127.119434
2524425162,일반상가,월세,1/11,350,"3,000",105,105,남서향,20250508,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.494267,127.124243
2524311184,일반상가,월세,1/6,135,"1,500",40,33,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.49864,127.126204
2524406044,단지내상가,매매,2/24,,"8억 8,000",173,77,북향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.49506,127.120441
2524596371,일반상가,월세,1/5,290,"3,000",156,105,동향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.501538,127.126726
2524595697,일반상가,월세,1/5,110,"1,500",50,42,북동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.499666,127.125438
2524435279,일반상가,월세,4/6,120,"2,000",80,68,북서향,20250508,"['25년이내', '역세권', '중층', '관리비10만원이하']",37.495074,127.12442
2524319389,일반상가,월세,1/6,125,"1,000",33,23,북동향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.502405,127.125384
2524371245,일반상가,월세,2/24,80,"2,000",87,38,북동향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.49506,127.120441
2524397420,복합상가,월세,1/12,165,"2,000",85,55,북동향,20250508,"['25년이내', '융자금없는', '1층', '관리비20만원이하']",37.494015,127.132673
2524318581,일반상가,월세,1/3,120,"3,000",45,33,북서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.494216,127.125538
2524436755,일반상가,월세,1/3,78,"1,000",27,27,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.500327,127.125909
2524499705,일반상가,월세,1/6,160,"2,000",66,66,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.491192,127.121371
2524524647,단지내상가,매매,3/5,,9억,91,38,북동향,20250508,"['10년이내', '중층', '주차가능', '총5층']",37.497522,127.107235
2524374888,일반상가,월세,2/4,150,"2,000",152,152,북향,20250508,"['25년이상', '중층', '총4층', '북향']",37.492628,127.135085
2524321000,일반상가,월세,1/8,130,"3,000",36,28,북동향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.497614,127.134425
2524318798,일반상가,월세,5/5,190,"4,000",82,67,남동향,20250508,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.496946,127.131623
2524312317,일반상가,월세,1/6,250,"3,000",55,47,북동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.493911,127.123882
2524381443,일반상가,매매,2/16,,42억,415,258,북서향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.497734,127.13385
2524371273,일반상가,월세,1/6,800,2억,263,148,남향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.495013,127.123871
2524356155,일반상가,월세,1/4,250,"4,000",84,84,북동향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.493605,127.133338
2524327064,단지내상가,월세,6/10,"7,500",10억,1730,1730,서향,20250508,"['25년이내', '융자금없는', '역세권', '중층']",37.497139,127.125493
2524315909,일반상가,월세,7/7,140,"2,000",105,82,북서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.501198,127.127821
2524301015,일반상가,월세,1/3,140,"1,000",39,39,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.50207,127.124585
2524315216,일반상가,월세,1/15,270,"5,000",67,46,동향,20250508,"['15년이내', '융자금적은', '역세권', '1층']",37.495729,127.122151
2524440526,일반상가,월세,1/5,150,"1,500",40,40,서향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.497594,127.126047
2524485614,일반상가,월세,3/5,360,"3,000",185,153,남서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.497009,127.120028
2524474213,일반상가,월세,B1/4,350,"5,000",336,336,남동향,20250508,"['25년이상', '지하층', '주차가능', '총4층']",37.497085,127.119173
2524528646,일반상가,월세,B1/15,900,1억,664,308,남동향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.49357,127.120026
2524576071,일반상가,월세,1/4,120,"1,500",30,27,남동향,20250508,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.494666,127.133608
2524565049,단지내상가,매매,2/6,,"1억 8,000",46,22,남향,20250508,"['25년이상', '지상층(1층제외)', '남향']",37.495549,127.12813
2524534110,일반상가,월세,B1/7,300,"5,000",202,202,북서향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.497679,127.133588
2524451199,일반상가,월세,B1/4,350,"5,000",336,334,북서향,20250508,"['25년이상', '지하층', '주차가능', '총4층']",37.497085,127.119173
2524525476,일반상가,월세,1/4,90,"1,000",26,26,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.496137,127.134744
2524375521,일반상가,월세,1/3,45,"1,000",18,15,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.497597,127.134894
2524384447,단지내상가,월세,1/1,150,"3,000",68,34,남향,20250508,"['10년이내', '융자금없는', '1층', '주차가능']",37.497522,127.107235
2524032786,일반상가,월세,1/5,170,"3,000",60,60,북동향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.498192,127.127404
2523943760,단지내상가,월세,1/3,50,"1,000",23,14,북동향,20250507,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.491999,127.13356
