articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524609743,일반상가,월세,2/15,70,"1,000",86,35,북서향,20250509,"['10년이내', '융자금없는', '지상층(1층제외)', '관리비20만원이하']",37.485774,127.142605
2524656467,일반상가,월세,6/8,500,1억,190,134,북동향,20250509,"['2년이내', '역세권', '고층', '주차가능']",37.492221,127.144325
2524695525,일반상가,매매,5/7,,"1억 4,000",80,30,남향,20250509,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.490272,127.143782
2524675030,일반상가,매매,4/7,,"1억 2,000",76,32,북향,20250509,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.48993,127.143628
2524432615,일반상가,월세,2/4,300,"5,000",165,132,북서향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.496043,127.145299
2524488199,일반상가,월세,1/5,200,"3,000",33,33,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.495983,127.145409
2524486340,일반상가,월세,1/4,80,"1,000",41,32,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.498737,127.142875
2524383809,일반상가,월세,6/6,120,"2,000",109,89,북향,20250508,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.494095,127.142857
2524525259,일반상가,월세,1/5,220,"5,000",42,42,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.495983,127.145409
2524484546,일반상가,월세,1/4,200,"3,000",33,33,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.496043,127.145299
2524387223,일반상가,월세,1/15,500,1억,131,60,북향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.492695,127.145544
2524548092,일반상가,월세,1/4,390,1억,117,85,남서향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.493743,127.143526
2524398521,일반상가,월세,1/2,400,"5,000",110,87,북서향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.495835,127.1476
2524411352,일반상가,월세,1/10,130,"2,000",40,31,북서향,20250508,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.494386,127.142623
