articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524667480,일반상가,월세,1/16,200,"2,000",42,37,북동향,20250509,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.482314,127.122117
2524613986,일반상가,월세,1/4,90,"2,000",109,28,남동향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.488914,127.127673
2524659795,단지내상가,월세,1/10,245,"3,000",82,40,서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.484048,127.120965
2524615064,단지내상가,월세,3/16,120,"2,000",29,29,남서향,20250509,"['10년이내', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.483462,127.123075
2524649705,일반상가,매매,2/11,,"2억 6,000",22,22,남동향,20250509,"['25년이내', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.47766,127.125007
2524642688,단지내상가,월세,1/15,280,"2,000",108,51,남향,20250509,"['10년이내', '융자금없는', '역세권', '1층']",37.4826,127.122808
2524640640,단지내상가,월세,B1/13,80,"1,000",88,40,북향,20250509,"['10년이내', '역세권', '지하층', '주차가능']",37.482913,127.121838
2524639652,단지내상가,월세,1/16,250,"5,000",62,31,남향,20250509,"['10년이내', '융자금적은', '역세권', '1층']",37.482314,127.122117
2524640306,단지내상가,월세,1/16,170,"2,000",54,28,서향,20250509,"['4년이내', '역세권', '1층', '주차가능']",37.482899,127.123361
2524636960,일반상가,월세,1/5,70,"1,000",33,29,북서향,20250509,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.483207,127.126147
2524639501,단지내상가,월세,1/16,350,"3,500",90,46,남향,20250509,"['4년이내', '융자금없는', '역세권', '1층']",37.482899,127.123361
2524612849,복합상가,매매,5/11,,"1억 5,000",23,23,북동향,20250509,"['10년이내', '역세권', '중층', '주차가능']",37.47766,127.125007
2524641447,단지내상가,월세,1/16,150,"2,000",44,22,서향,20250509,"['10년이내', '융자금없는', '역세권', '1층']",37.482314,127.122117
2524674145,복합상가,월세,B1/17,280,"3,000",202,101,남향,20250509,"['10년이내', '역세권', '지하층', '주차가능']",37.486872,127.120469
2524646435,일반상가,월세,1/6,100,"1,500",35,27,남서향,20250509,"['10년이내', '융자금적은', '1층', '관리비10만원이하']",37.488708,127.125234
2524636539,일반상가,월세,1/4,80,"2,000",39,26,북서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.482459,127.126672
2524642270,단지내상가,월세,1/15,400,"5,000",140,66,남향,20250509,"['10년이내', '융자금없는', '역세권', '1층']",37.4826,127.122808
2524641511,단지내상가,매매,1/16,,12억,113,56,서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.482314,127.122117
2524640163,단지내상가,월세,1/13,170,"3,000",71,34,북향,20250509,"['10년이내', '마당', '역세권', '1층']",37.482913,127.121838
2524659492,단지내상가,월세,1/16,180,"3,000",69,29,서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.483462,127.123075
2524632124,일반상가,월세,1/6,100,"2,000",45,33,동향,20250509,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.483207,127.126147
2524664832,단지내상가,월세,1/16,350,"3,500",90,47,북서향,20250509,"['4년이내', '융자금없는', '역세권', '1층']",37.482899,127.123361
2524603323,일반상가,월세,1/14,250,"3,000",75,37,북향,20250509,"['2년이내', '역세권', '1층', '주차가능']",37.48385,127.121602
2524605278,일반상가,월세,1/14,200,"3,000",69,34,북향,20250509,"['2년이내', '역세권', '1층', '주차가능']",37.48385,127.121602
2524546311,단지내상가,매매,B1/16,,11억,129,65,동향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.484809,127.121521
2524550020,단지내상가,월세,1/16,200,"2,000",154,77,동향,20250508,"['10년이내', '융자금없는', '역세권', '1층']",37.484809,127.121521
2524445983,일반상가,월세,B1/4,200,"3,000",286,238,북서향,20250508,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.485728,127.131355
2524547609,단지내상가,매매,B1/16,,"5억 6,000",103,51,동향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.484809,127.121521
2524548674,단지내상가,월세,B1/16,380,"5,000",208,105,동향,20250508,"['10년이내', '융자금없는', '역세권', '지하층']",37.484809,127.121521
2524546811,단지내상가,월세,B1/16,320,"5,000",171,85,동향,20250508,"['10년이내', '융자금없는', '역세권', '지하층']",37.484809,127.121521
2524476338,일반상가,월세,3/11,170,"2,000",112,53,남향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.4826,127.122808
2524544467,단지내상가,매매,3/13,,4억,85,39,북향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.484572,127.122377
2524494167,단지내상가,월세,3/3,200,"3,000",231,112,서향,20250508,"['25년이내', '융자금없는', '고층', '주차가능']",37.490628,127.1303
2524545635,단지내상가,월세,B1/16,400,"5,000",125,62,동향,20250508,"['10년이내', '융자금없는', '역세권', '지하층']",37.484809,127.121521
