articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524664379,일반상가,월세,1/5,245,"4,000",80,59,북서향,20250509,"['4년이내', '역세권', '1층', '주차가능']",37.512071,127.112162
2524641814,일반상가,월세,1/4,190,"3,000",23,23,남동향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.510192,127.118003
2524666839,일반상가,월세,1/4,"1,050","1억 8,000",169,132,남동향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.512203,127.11305
2524605729,일반상가,월세,1/5,800,"1억 5,000",102,85,남동향,20250509,"['25년이상', '1층', '주차가능', '총5층']",37.514416,127.109066
2524644171,일반상가,월세,1/7,140,"2,000",54,54,남동향,20250509,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.509534,127.125389
2524643150,일반상가,월세,1/6,225,"3,500",89,89,남동향,20250509,"['25년이내', '1층', '주차가능', '남동향']",37.512116,127.121853
2524606462,일반상가,월세,1/3,220,"2,000",40,23,남향,20250509,"['25년이상', '1층', '총3층', '남향']",37.513803,127.109782
2524642749,일반상가,월세,1/6,320,"5,000",125,125,남서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.513413,127.118703
2524643146,일반상가,월세,1/17,400,"4,000",78,49,남서향,20250509,"['2년이내', '역세권', '1층', '주차가능']",37.515136,127.114118
2524609868,일반상가,월세,B1/17,300,"5,000",189,157,동향,20250509,"['2년이내', '역세권', '지하층', '주차가능']",37.515689,127.109698
2524659946,일반상가,월세,1/7,140,"2,000",54,46,남향,20250509,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.509534,127.125389
2524641094,일반상가,월세,1/5,190,"3,500",92,92,북서향,20250509,"['25년이상', '1층', '주차가능', '총5층']",37.511074,127.121646
2524309146,일반상가,월세,1/3,220,"2,000",26,26,동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.513803,127.109782
2524612976,일반상가,매매,B1/7,,"2억 8,000",56,47,남향,20250508,"['2년이내', '역세권', '지하층', '관리비10만원이하']",37.510925,127.115289
2524307996,일반상가,월세,B1/5,80,"1,000",164,105,남동향,20250508,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.512005,127.116478
2524309645,복합상가,월세,4/16,450,"5,000",103,63,남동향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.515301,127.110348
2524375758,복합상가,월세,B2/15,550,1억,938,648,북서향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.516537,127.110808
2524312583,일반상가,매매,1/16,,"8억 5,000",63,35,북서향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.516298,127.113054
2524382174,일반상가,월세,1/4,190,"3,000",26,23,남동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.510192,127.118003
2524320822,일반상가,월세,2/6,"1,740",2억,596,297,북향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.514354,127.108606
2524386525,일반상가,월세,1/6,440,"3,000",297,82,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.515209,127.107826
2524308822,일반상가,월세,2/3,950,"1억 7,000",165,165,동향,20250508,"['25년이상', '중층', '주차가능', '총3층']",37.514079,127.108791
2524307896,일반상가,월세,1/5,900,"1억 6,000",157,89,동향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.514416,127.109066
2524384107,일반상가,월세,2/3,950,"1억 7,000",486,181,남향,20250508,"['25년이상', '중층', '주차가능', '총3층']",37.514079,127.108791
2524422296,단지내상가,월세,2/17,170,"2,100",64,39,남향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.515884,127.111647
2524392588,일반상가,월세,1/5,360,"5,000",161,72,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.510323,127.121257
2524400113,일반상가,월세,1/5,200,"5,000",120,96,북서향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.510415,127.124134
2524438549,일반상가,월세,1/6,200,"3,000",25,19,북동향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.510324,127.11701
2524424351,일반상가,월세,1/6,247,"3,500",344,89,,20250508,"['25년이내', '1층', '주차가능', '엘리베이터']",37.512116,127.121853
2524446281,단지내상가,월세,1/16,250,"4,000",37,21,남향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.516471,127.113163
2524342093,일반상가,월세,1/19,800,1억,181,139,동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.515544,127.114999
2524399363,일반상가,월세,1/5,150,"1,500",33,33,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.511092,127.11381
2524389228,일반상가,월세,전체층/2,"1,000","2억 5,000",251,251,남동향,20250508,"['15년이내', '역세권', '주차가능', '총2층']",37.511712,127.112745
2524394031,일반상가,월세,1/4,118,"1,400",75,39,북동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.50993,127.124612
2524389591,일반상가,월세,1/4,850,"1억 5,000",66,56,동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.514235,127.107989
2524422749,일반상가,월세,B1/5,800,"9,000",247,189,남동향,20250508,"['2년이내', '역세권', '지하층', '주차가능']",37.512348,127.112567
2524410516,일반상가,월세,1/5,230,"2,000",43,35,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.512368,127.111766
2524401964,일반상가,월세,1/3,150,"1,500",29,29,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.514635,127.112273
2524430322,단지내상가,매매,2/3,,27억,76,39,남서향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.515836,127.13223
2524446202,일반상가,월세,2/3,950,"1억 7,000",239,165,북서향,20250508,"['25년이상', '중층', '주차가능', '총3층']",37.514079,127.108791
2524334557,일반상가,월세,1/5,440,"5,000",119,105,북동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.511966,127.125759
2524471908,일반상가,월세,B1/4,420,"5,000",71,71,북서향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.514868,127.109847
2524309929,일반상가,월세,1/4,193,"3,000",21,21,동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.510226,127.117253
2524324275,일반상가,월세,1/5,450,"7,000",185,171,남동향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.51178,127.126111
2524304367,일반상가,월세,5/6,300,"7,000",165,158,서향,20250508,"['15년이내', '역세권', '고층', '주차가능']",37.509204,127.125201
2524371546,일반상가,월세,1/4,110,"1,000",34,29,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.513115,127.119043
2524379549,복합상가,월세,1/5,100,"2,000",86,45,북동향,20250508,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.510654,127.118763
2524421777,일반상가,월세,2/5,800,"9,000",163,163,남동향,20250508,"['2년이내', '역세권', '중층', '주차가능']",37.512348,127.112567
2524500385,일반상가,월세,1/4,160,"2,000",42,27,북동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.512223,127.112818
2524500851,일반상가,월세,1/4,190,"3,000",30,23,,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.510192,127.118003
2524449845,일반상가,월세,1/8,"2,300",2억,274,198,남향,20250508,"['25년이상', '1층', '주차가능', '남향']",37.512986,127.108053
