articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524681598,일반상가,월세,2/5,"1,600",2억,578,413,남향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.504519,127.089683
2524681633,일반상가,월세,1/4,"1,400",5억,228,228,북동향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.507238,127.090917
2524608891,일반상가,월세,1/5,190,"2,500",33,33,남향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.504519,127.089683
2524671203,일반상가,월세,1/4,"1,400",5억,247,228,북향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.507238,127.090917
2524671873,일반상가,월세,1/4,"1,400",5억,261,228,북향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.507142,127.091039
2524605376,일반상가,월세,1/5,110,"1,500",20,20,남동향,20250509,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.505012,127.093479
2524604937,일반상가,월세,1/5,125,"1,000",36,36,남동향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.505326,127.095559
2524661241,일반상가,월세,1/4,120,"2,000",39,29,서향,20250509,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.504708,127.095754
2524334803,일반상가,월세,1/5,100,"1,000",26,26,동향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.49946,127.094633
2524512604,일반상가,월세,1/4,100,"2,000",114,27,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.504591,127.095438
2524492730,일반상가,월세,1/5,180,"2,000",23,23,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.503673,127.089531
2524448697,일반상가,월세,1/4,120,"2,000",118,29,남향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.504708,127.095754
2524422754,일반상가,월세,B1/6,150,"3,000",165,115,동향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.503384,127.090542
2524334392,일반상가,월세,1/5,160,"2,000",42,33,북동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.503849,127.092637
2524490512,일반상가,월세,1/4,200,"3,000",33,30,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.502209,127.09628
2524452224,일반상가,월세,2/7,400,"5,000",135,119,남향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.504391,127.088779
2524438681,일반상가,월세,1/4,120,"2,000",33,33,서향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.504708,127.095754
2524469473,일반상가,월세,1/5,160,"2,000",49,33,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.503398,127.089115
2524466696,일반상가,월세,1/3,660,"7,000",122,109,동향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.506516,127.093825
2524308301,일반상가,월세,2/5,70,"1,000",60,59,동향,20250508,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.501161,127.091456
2524307028,일반상가,월세,B1/5,150,"1,500",226,226,동향,20250508,"['25년이상', '융자금없는', '지하층', '주차가능']",37.501369,127.09153
2524382543,일반상가,월세,B1/3,230,"3,000",143,143,동향,20250508,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.506516,127.093825
2524437213,일반상가,월세,1/5,210,"4,000",98,83,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.503338,127.096606
2524390298,일반상가,월세,1/4,240,"2,000",135,66,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.506355,127.090674
2524428878,일반상가,월세,1/3,168,"2,625",29,29,북서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.506106,127.089887
2524491503,일반상가,월세,1/3,455,"5,000",95,95,북향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.506754,127.094621
2524443312,일반상가,월세,1/4,120,"2,000",35,30,서향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.504708,127.095754
2524589705,일반상가,월세,1/5,690,1억,171,171,북서향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.506448,127.094176
2524385389,일반상가,월세,1/5,300,"2,500",143,99,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.501308,127.088179
2524468550,일반상가,월세,3/8,750,"1억 5,000",354,354,북향,20250508,"['25년이내', '융자금없는', '중층', '주차가능']",37.506802,127.094292
2524383648,일반상가,월세,1/3,660,"7,000",122,122,동향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.506516,127.093825
2524410003,일반상가,월세,1/4,120,"2,000",33,23,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.504224,127.095394
2524478414,일반상가,월세,1/4,330,"5,000",72,66,동향,20250508,"['25년이상', '테라스', '역세권', '1층']",37.501842,127.096663
2524571075,일반상가,월세,1/5,350,"2,000",115,115,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.504772,127.090187
2524594765,일반상가,월세,B1/3,230,"3,000",143,119,남동향,20250508,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.506516,127.093825
2524546520,일반상가,월세,1/5,350,"2,000",167,115,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.504772,127.090187
2524515843,일반상가,월세,1/4,100,"2,000",141,33,북향,20250508,"['25년이상', '1층', '총4층', '북향']",37.505828,127.093897
2524319645,일반상가,월세,1/5,130,"3,000",69,66,남향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.502113,127.09488
2524311676,일반상가,월세,1/4,300,"5,000",66,53,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.501361,127.096648
2524449271,일반상가,월세,1/5,110,"1,500",61,20,남향,20250508,"['10년이내', '1층', '주차가능', '총5층']",37.505012,127.093479
2524392100,일반상가,월세,3/6,260,"4,000",197,82,동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.503356,127.096803
2524449522,일반상가,월세,1/5,125,"1,000",130,38,남향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.505326,127.095559
2524386810,일반상가,월세,1/4,130,"2,000",71,26,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.504224,127.095394
2524480452,일반상가,월세,1/6,"1,300",5억,326,295,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.5033,127.092908
2524576021,일반상가,월세,1/5,80,"1,000",38,25,북향,20250508,"['4년이내', '1층', '세대분리', '관리비10만원이하']",37.499194,127.091735
2524492187,일반상가,월세,1/4,140,"3,000",35,35,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.507145,127.092017
2524496695,일반상가,월세,1/5,150,"4,000",56,39,서향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.503821,127.095634
2524490436,일반상가,월세,1/7,330,"5,000",67,49,남동향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.505901,127.097009
2524485348,일반상가,월세,B1/3,230,"3,000",143,125,남향,20250508,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.506516,127.093825
2524489757,일반상가,월세,1/9,700,"1억 5,000",224,148,북동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.503163,127.091323
2524538794,일반상가,월세,1/4,210,"3,500",33,33,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.502847,127.094723
2524377985,단지내상가,월세,1/5,110,"1,000",167,46,동향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.505485,127.095555
