articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524645590,일반상가,월세,1/4,380,"4,000",72,72,남동향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.509772,127.109317
2524614846,일반상가,월세,1/4,250,"4,000",56,56,동향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.510037,127.11133
2524607592,일반상가,월세,1/5,70,"1,000",30,30,북동향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.5027,127.117497
2524665799,일반상가,월세,1/4,160,"2,500",50,33,북서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.500579,127.112223
2524668960,일반상가,월세,1/5,320,"5,000",66,66,북서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.50274,127.112557
2524665339,일반상가,월세,5/5,300,"3,000",170,170,남향,20250509,"['25년이상', '역세권', '고층', '주차가능']",37.507167,127.108399
2524606698,일반상가,월세,1/4,160,"4,000",39,39,동향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.505012,127.110242
2524665186,일반상가,매매,1/2,,"9억 8,000",32,28,남서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.500136,127.112473
2524671275,일반상가,월세,3/3,"1,600",2억,310,261,남동향,20250509,"['2년이내', '고층', '주차가능', '엘리베이터']",37.509339,127.10601
2524605311,일반상가,월세,1/4,630,"1억 2,000",132,99,남향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.506244,127.1081
2524475041,일반상가,월세,1/8,"1,360","1억 3,000",210,171,북향,20250508,"['25년이내', '테라스', '1층', '주차가능']",37.510235,127.106239
2524521192,일반상가,월세,4/5,400,"7,000",145,123,북서향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.508442,127.107177
2524305157,일반상가,월세,1/4,340,"4,000",161,157,남서향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.500858,127.114855
2524383561,일반상가,월세,1/4,"2,000",2억,644,644,북동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.509184,127.113698
2524393816,일반상가,월세,1/4,300,"3,500",82,49,북서향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.505782,127.109439
2524412494,일반상가,월세,2/5,250,"5,000",139,139,북서향,20250508,"['15년이내', '융자금없는', '역세권', '중층']",37.502064,127.110854
2524406621,일반상가,월세,1/4,140,"1,500",178,33,남동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.508624,127.110805
2524400351,일반상가,월세,1/3,130,"2,000",33,33,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.508108,127.109639
2524388917,일반상가,월세,1/6,140,"2,500",33,32,북향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.504961,127.110756
2524558693,일반상가,월세,2/7,210,"2,500",144,82,북향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.508206,127.115422
2524573621,일반상가,월세,1/4,120,"2,000",50,33,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.508406,127.112577
2524469653,일반상가,월세,1/5,240,"5,000",66,43,남향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.508915,127.112837
2524417430,일반상가,월세,1/4,150,"3,500",46,33,북동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.50895,127.110855
2524469121,일반상가,월세,1/20,"2,200",3억,356,196,북향,20250508,"['25년이내', '테라스', '1층', '주차가능']",37.509102,127.104931
2524448865,단지내상가,월세,1/4,160,"4,000",101,39,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.505012,127.110242
2524412349,일반상가,월세,1/4,250,"4,000",95,56,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.510037,127.11133
2524463293,일반상가,월세,3/6,654,1억,136,115,서향,20250508,"['2년이내', '테라스', '역세권', '중층']",37.509874,127.109702
2524394502,일반상가,월세,1/4,120,"1,500",40,29,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.505059,127.110639
2524424570,단지내상가,월세,2/3,40,"1,000",49,29,북동향,20250508,"['25년이상', '중층', '주차가능', '천장에어컨']",37.505529,127.121166
2524464010,일반상가,월세,1/15,160,"2,500",42,38,서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.511368,127.108813
2524434396,일반상가,월세,1/7,900,"1억 5,000",143,132,남향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.502848,127.109823
2524459822,일반상가,월세,1/5,150,"3,000",42,42,서향,20250508,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.507805,127.105985
2524467726,일반상가,월세,2/5,160,"2,000",89,79,동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.507897,127.107125
2524418880,일반상가,월세,1/5,300,"5,000",229,99,남동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.507018,127.108576
2524430962,단지내상가,매매,1/3,,5억,57,41,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.505529,127.121166
2524447951,일반상가,월세,1/5,70,"1,000",130,33,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.5027,127.117497
2524451114,일반상가,월세,1/4,160,"2,500",87,33,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.500579,127.112223
2524436196,일반상가,월세,2/7,650,"5,000",150,122,남향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.502848,127.109823
2524447697,일반상가,월세,B1/4,260,"3,500",367,367,서향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.507677,127.116238
2524414974,일반상가,월세,1/15,160,"2,500",68,38,남서향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.511368,127.108813
2524505909,일반상가,월세,1/4,120,"2,000",33,33,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.508406,127.112577
2524517108,일반상가,월세,2/5,150,"2,500",99,66,남동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.510508,127.108477
2524516548,일반상가,월세,1/6,220,"2,000",72,50,서향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.510145,127.108451
2524501164,일반상가,월세,1/4,150,"3,000",53,43,북서향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.506804,127.116378
2524512512,일반상가,월세,1/6,270,"4,000",76,56,동향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.507606,127.1074
2524504209,일반상가,월세,1/4,150,"3,000",62,49,북서향,20250508,"['25년이상', '융자금적은', '1층', '관리비20만원이하']",37.506804,127.116378
2524483591,일반상가,월세,2/5,350,"7,000",189,149,북서향,20250508,"['25년이내', '중층', '주차가능', '엘리베이터']",37.503402,127.113622
2524501567,일반상가,월세,1/4,160,"1,800",60,48,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.507499,127.116294
2524498423,일반상가,월세,1/5,"1,750","1억 5,000",417,363,남동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.509571,127.111444
2524501101,일반상가,월세,2/5,120,"3,000",82,51,남동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.510508,127.108477
2524503704,일반상가,월세,1/5,150,"2,000",68,46,남동향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.506833,127.106681
2524415891,일반상가,월세,4/4,350,"5,000",161,161,서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.511144,127.107405
2524423176,단지내상가,월세,2/3,15,400,28,17,북동향,20250508,"['25년이상', '중층', '주차가능', '천장에어컨']",37.505529,127.121166
2524415995,일반상가,월세,1/7,400,"5,000",100,79,동향,20250508,"['10년이내', '융자금적은', '역세권', '1층']",37.505512,127.109693
2524517844,일반상가,월세,3/5,140,"2,500",82,51,남동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.510508,127.108477
2524511455,일반상가,월세,1/4,150,"2,700",82,63,서향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.502688,127.111275
2524514747,일반상가,월세,B1/2,300,"4,000",82,82,북서향,20250508,"['25년이상', '융자금적은', '역세권', '지하층']",37.509623,127.108961
2524475590,일반상가,월세,1/7,423,"5,000",99,79,동향,20250508,"['10년이내', '융자금없는', '역세권', '1층']",37.505512,127.109693
2524596133,일반상가,월세,1/5,160,"2,000",30,26,북동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.506802,127.108211
2524450561,일반상가,월세,2/5,250,"5,000",139,115,남향,20250508,"['15년이내', '역세권', '중층', '관리비10만원이하']",37.502064,127.110854
2524521963,일반상가,월세,2/5,110,"1,000",98,98,북동향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.502676,127.111741
2524551286,일반상가,월세,1/4,250,"3,500",34,33,,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.508593,127.106344
2524547029,일반상가,월세,1/3,490,"6,000",140,132,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.505786,127.108809
2524521064,일반상가,월세,2/5,550,1억,148,122,북서향,20250508,"['2년이내', '역세권', '중층', '주차가능']",37.508442,127.107177
2524515811,일반상가,월세,1/4,80,"1,200",36,26,남서향,20250508,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.506858,127.115679
2524500909,일반상가,월세,3/6,300,"5,000",129,102,남서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.510383,127.10869
2524517317,일반상가,월세,1/3,65,"1,000",46,30,남서향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.507642,127.114089
2524545274,일반상가,월세,1/1,105,"1,000",21,21,북서향,20250508,"['25년이상', '역세권', '1층', '북서향']",37.500713,127.112396
2524530744,일반상가,월세,1/8,650,1억,206,134,남서향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.502848,127.109823
2524585646,일반상가,월세,1/2,180,"1,000",36,28,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.500136,127.112473
2524568314,일반상가,월세,1/5,670,"1억 2,000",132,99,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.504845,127.108018
2524538781,일반상가,월세,B1/7,140,"4,000",152,135,서향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.501567,127.111006
2524524793,일반상가,월세,3/4,380,"9,000",242,204,남서향,20250508,"['25년이상', '융자금없는', '역세권', '고층']",37.500944,127.111529
2524512973,일반상가,월세,1/3,160,"1,000",46,34,동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.510639,127.110826
2524596471,일반상가,월세,1/5,70,"1,000",33,26,남동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.5027,127.117497
