articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524661096,단지내상가,월세,3/5,90,"1,000",46,34,남동향,20250509,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.520045,127.102646
2524404159,단지내상가,월세,1/39,290,"3,000",83,41,동향,20250508,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.517449,127.103605
2524586010,단지내상가,매매,2/5,,16억,70,52,남향,20250508,"['25년이상', '중층', '주차가능', '총5층']",37.518896,127.099312
2524580768,일반상가,월세,3/30,500,1억,214,165,남서향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.515166,127.102528
2524580199,단지내상가,월세,1/5,500,"5,000",36,16,남동향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.520757,127.104554
2524580186,복합상가,매매,3/30,,11억,89,37,남동향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.515166,127.102528
2524515211,단지내상가,매매,1/39,,"13억 5,000",64,32,북향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.516989,127.10231
2524333552,일반상가,월세,1/22,412,"4,000",80,69,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.515341,127.099574
2524392291,복합상가,월세,1/20,413,"4,000",82,69,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.515341,127.099574
2524590443,단지내상가,월세,2/5,210,"5,000",92,65,남서향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.520045,127.102646
2524584175,단지내상가,월세,1/5,620,"5,000",16,7,북향,20250508,"['2년이내', '1층', '주차가능', '총5층']",37.518385,127.110756
2524190077,단지내상가,매매,2/5,,18억,71,43,남향,20250507,"['25년이상', '중층', '관리비20만원이하', '주차가능']",37.518896,127.099312
2524277428,단지내상가,매매,3/5,,19억,105,66,남향,20250507,"['25년이상', '중층', '주차가능', '엘리베이터']",37.518896,127.099312
2524277091,단지내상가,월세,3/5,70,"1,500",97,33,남향,20250507,"['25년이상', '중층', '관리비20만원이하', '주차가능']",37.518896,127.099312
2523925768,단지내상가,월세,B1/39,140,"3,000",73,33,서향,20250507,"['15년이내', '융자금적은', '역세권', '지하층']",37.517449,127.103605
