articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524607398,일반상가,월세,1/4,70,"2,000",94,32,남서향,20250509,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.506636,127.133942
2524667570,일반상가,월세,1/5,270,"5,000",94,69,북동향,20250509,"['25년이상', '1층', '주차가능', '총5층']",37.503536,127.137634
2524641354,일반상가,월세,1/4,300,"5,000",126,99,남동향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.503407,127.129082
2524609703,일반상가,월세,1/4,80,"1,000",36,29,남서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.505801,127.131075
2524625168,일반상가,월세,B1/3,50,"1,000",120,99,남동향,20250509,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.50635,127.13358
2524407924,일반상가,월세,1/5,90,"1,000",89,49,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.500311,127.138451
2524357628,단지내상가,월세,1/2,154,"2,000",36,36,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.499268,127.136916
2524324231,일반상가,월세,B1/5,220,"3,000",209,170,남서향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.508613,127.127148
2524360720,일반상가,월세,1/4,40,"1,000",15,10,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.509084,127.127989
2524303985,일반상가,월세,4/5,95,"1,000",89,89,남향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.508598,127.127761
2524347672,일반상가,월세,1/3,390,"5,500",140,99,남향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.503535,127.13877
2524324397,일반상가,월세,1/7,520,1억,82,52,북서향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.508895,127.12684
2524396495,일반상가,월세,1/5,260,"4,000",128,99,북동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.506443,127.13034
2524459930,일반상가,월세,2/5,190,"3,000",148,136,북서향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.504297,127.127205
2524466822,일반상가,월세,B1/4,190,"3,000",158,158,북서향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.509523,127.127235
2524403026,일반상가,월세,1/4,130,"2,000",73,46,북향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.501716,127.13837
2524405645,일반상가,월세,1/3,50,500,101,33,남향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.499221,127.140275
2524522420,일반상가,월세,1/3,390,"5,500",140,100,남서향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.503535,127.13877
2524551832,일반상가,월세,2/10,150,"3,000",145,85,북향,20250508,"['10년이내', '지상층(1층제외)', '주차가능', '북향']",37.505799,127.138598
2524476968,일반상가,월세,3/4,200,"3,000",148,148,북서향,20250508,"['25년이상', '고층', '관리비20만원이하', '주차가능']",37.499881,127.139653
2524540341,일반상가,월세,1/4,80,"1,000",27,27,남동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.507134,127.127762
2524398392,일반상가,월세,1/4,90,"1,000",36,27,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.502016,127.140544
2524597733,일반상가,월세,1/5,75,"1,500",33,25,남향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.506998,127.127983
2524466118,일반상가,월세,B1/3,50,"1,000",99,99,남동향,20250508,"['25년이상', '지하층', '총3층', '남동향']",37.503821,127.140766
2524584221,일반상가,월세,1/4,55,500,45,33,북향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.502243,127.135461
2524388789,일반상가,월세,1/5,270,"5,000",66,66,북동향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.503536,127.137634
