articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524672029,일반상가,월세,6/7,360,"5,000",278,232,북동향,20250509,"['25년이상', '역세권', '고층', '주차가능']",37.504795,127.085585
2524636439,일반상가,월세,B1/4,200,"3,000",165,165,서향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.509573,127.07964
2524607981,일반상가,월세,1/4,210,"2,000",40,40,동향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.509898,127.079764
2524665595,단지내상가,월세,1/5,160,"2,000",36,18,남향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.511994,127.087056
2524653059,단지내상가,매매,5/5,,23억,255,121,서향,20250509,"['25년이내', '역세권', '고층', '주차가능']",37.510642,127.086255
2524673750,일반상가,월세,1/5,125,"3,000",5354,53,서향,20250509,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.508945,127.085958
2524648019,일반상가,월세,1/5,130,"1,000",31,30,남향,20250509,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.507262,127.081442
2524667325,단지내상가,매매,4/5,,31억,219,109,남향,20250509,"['25년이내', '역세권', '고층', '주차가능']",37.511994,127.087056
2524605837,일반상가,월세,1/6,130,"3,000",40,40,남서향,20250509,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.506741,127.087458
2524606947,일반상가,월세,1/3,170,"1,700",33,33,남향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.509009,127.084229
2524645179,일반상가,월세,1/8,310,"4,000",38,38,북동향,20250509,"['10년이내', '1층', '주차가능', '북동향']",37.50609,127.081019
2524612386,단지내상가,월세,2/5,726,1억,255,109,남향,20250509,"['25년이내', '융자금없는', '역세권', '중층']",37.511994,127.087056
2524652606,일반상가,월세,1/3,110,"2,000",59,43,남동향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.50741,127.081497
2524309711,일반상가,월세,2/4,262,"7,000",176,176,동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.510156,127.084447
2524305246,단지내상가,월세,2/5,70,"1,000",42,18,남향,20250508,"['25년이내', '역세권', '중층', '관리비20만원이하']",37.511994,127.087056
2524302335,일반상가,월세,1/5,85,"1,000",26,19,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.507021,127.082865
2524564003,일반상가,월세,1/3,260,"3,500",59,49,남서향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.506723,127.081151
2524504407,일반상가,월세,1/4,"1,000","1억 9,000",116,99,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.510633,127.080533
2524480570,일반상가,월세,3/5,540,"8,000",214,198,동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.509675,127.079817
2524484898,일반상가,월세,5/5,350,"5,000",248,248,남향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.510828,127.081246
2524503732,일반상가,월세,1/6,270,"4,000",66,66,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.509959,127.082372
2524492429,일반상가,월세,1/3,230,"2,000",76,38,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.507562,127.089343
2524547461,일반상가,매매,1/4,,43억,180,95,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.50628,127.089052
2524307386,일반상가,월세,1/5,250,"5,000",84,57,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.506689,127.089551
2524360055,일반상가,월세,B1/3,120,"2,000",104,99,남향,20250508,"['25년이상', '역세권', '지하층', '총3층']",37.505568,127.082861
2524315172,일반상가,월세,1/6,180,"3,000",29,26,서향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.509718,127.083344
2524305513,일반상가,월세,7/10,450,1억,143,118,북향,20250508,"['25년이내', '역세권', '고층', '북향']",37.511394,127.083653
2524307097,단지내상가,월세,B1/5,65,"1,000",24,11,남향,20250508,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.512104,127.084206
2524380830,일반상가,월세,B1/8,200,"2,000",141,141,서향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.510854,127.080322
2524394588,단지내상가,월세,7/11,960,1억,246,212,북향,20250508,"['25년이내', '융자금없는', '역세권', '중층']",37.5114,127.08349
2524375651,일반상가,월세,1/2,150,"1,000",16,16,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.509073,127.085929
2524377045,일반상가,월세,2/5,200,"2,000",118,115,서향,20250508,"['25년이내', '역세권', '중층', '관리비10만원이하']",37.509979,127.082823
2524383139,일반상가,월세,8/10,440,1억,125,125,북향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.511394,127.083653
2524393291,일반상가,월세,B1/4,250,"2,000",168,132,동향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.509133,127.083204
2524387496,일반상가,월세,1/3,700,1억,58,58,북향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.511381,127.084088
2524374732,일반상가,월세,3/4,230,"3,000",152,152,동향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.51016,127.082953
2524388391,일반상가,월세,1/5,140,"2,000",125,33,북동향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.506151,127.088653
2524387194,일반상가,월세,2/3,150,"2,000",262,72,북동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.505485,127.083153
2524391515,일반상가,월세,1/6,500,1억,337,39,북동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.508148,127.087495
2524386619,일반상가,월세,1/10,"2,500",5억,169,147,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.51141,127.083215
2524394176,일반상가,월세,1/4,550,1억,126,119,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.509707,127.081962
