articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524655511,일반상가,월세,3/5,230,"3,000",217,120,남동향,20250509,"['25년이내', '역세권', '중층', '주차가능']",37.477465,127.12735
2524613714,단지내상가,월세,1/2,190,"3,000",75,36,서향,20250509,"['10년이내', '1층', '주차가능', '총2층']",37.476421,127.142051
2524671270,일반상가,월세,B1/2,200,"3,000",200,98,,20250509,"['10년이내', '지하층', '주차가능', '엘리베이터']",37.47477,127.142825
2524663156,일반상가,월세,2/2,130,"1,000",52,25,동향,20250509,"['10년이내', '고층', '주차가능', '엘리베이터']",37.476421,127.142051
2524484119,단지내상가,월세,1/2,"1,800",2억,471,251,서향,20250508,"['10년이내', '1층', '주차가능', '총2층']",37.476383,127.143351
2524342795,단지내상가,월세,1/2,350,"7,000",167,72,동향,20250508,"['10년이내', '융자금없는', '1층', '주차가능']",37.479572,127.142455
2524343885,단지내상가,월세,2/2,180,"2,000",136,68,서향,20250508,"['10년이내', '고층', '주차가능', '총2층']",37.479572,127.142455
2524344055,단지내상가,월세,1/2,220,"3,000",95,40,동향,20250508,"['10년이내', '1층', '주차가능', '총2층']",37.479572,127.142455
2524313365,일반상가,월세,4/7,300,"4,000",263,143,북향,20250508,"['15년이내', '중층', '주차가능', '엘리베이터']",37.481753,127.142226
2524509874,일반상가,매매,4/12,,2억,74,39,남향,20250508,"['10년이내', '지상층(1층제외)', '주차가능', '천장에어컨']",37.481102,127.142397
2524570222,복합상가,월세,1/2,250,"3,000",157,47,동향,20250508,"['10년이내', '1층', '주차가능', '총2층']",37.474816,127.141576
2524535200,단지내상가,매매,1/15,,"4억 5,000",33,28,남동향,20250508,"['10년이내', '1층', '급매', '주차가능']",37.476383,127.143351
2524345576,일반상가,월세,5/12,90,"1,000",83,43,북향,20250508,"['10년이내', '중층', '주차가능', '북향']",37.481102,127.142397
2524554047,단지내상가,매매,1/2,,"8억 5,000",76,36,서향,20250508,"['10년이내', '1층', '주차가능', '총2층']",37.476421,127.142051
2524499832,일반상가,월세,B1/2,110,"1,000",145,61,서향,20250508,"['10년이내', '지하층', '주차가능', '총2층']",37.47477,127.142825
2524586737,일반상가,매매,1/2,,"2억 3,000",20,11,서향,20250508,"['10년이내', '1층', '주차가능', '엘리베이터']",37.476383,127.143351
