articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524615794,단지내상가,월세,4/5,140,"2,000",134,69,북동향,20250509,"['10년이내', '융자금없는', '고층', '주차가능']",37.526446,127.114913
2524620521,단지내상가,월세,3/5,180,"3,000",134,69,북동향,20250509,"['10년이내', '융자금없는', '중층', '주차가능']",37.526446,127.114913
2524569752,일반상가,월세,1/3,450,"5,000",99,99,북서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.536708,127.121592
2524492083,일반상가,월세,1/3,400,"1억 5,000",114,114,서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.536708,127.121592
2524492013,일반상가,월세,2/3,250,1억,114,114,서향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.536708,127.121592
2524491908,일반상가,월세,1/3,650,"2억 5,000",228,228,서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.536708,127.121592
2524397495,일반상가,월세,1/5,123,"2,500",127,42,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.529929,127.115014
2524077869,일반상가,월세,1/4,280,"5,000",590,45,남서향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.536683,127.122419
2524290064,단지내상가,월세,2/3,150,"3,000",151,122,남동향,20250507,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.532147,127.116843
2524240124,일반상가,월세,1/3,210,"3,000",49,49,남향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.537232,127.121859
2524082450,일반상가,월세,1/4,280,"5,000",49,49,동향,20250507,"['25년이상', '역세권', '1층', '총4층']",37.536683,127.122419
2524174681,일반상가,월세,4/5,150,"2,000",99,99,북향,20250507,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.531624,127.119237
2523983284,일반상가,월세,1/5,75,"1,000",40,33,북서향,20250506,"['25년이상', '1층', '주차가능', '총5층']",37.534549,127.115728
2523719054,일반상가,월세,1/5,60,"1,000",33,28,북서향,20250503,"['25년이상', '1층', '총5층', '북서향']",37.533925,127.117881
2523727044,일반상가,월세,1/5,75,"1,000",40,40,남서향,20250503,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.5292,127.117715
2523332390,단지내상가,매매,B1/2,,"7억 9,000",129,96,남서향,20250502,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.526615,127.116733
2523382226,일반상가,월세,2/7,150,"2,000",128,128,북동향,20250502,"['25년이상', '지상층(1층제외)', '주차가능', '북동향']",37.530449,127.113122
2523504420,일반상가,월세,1/2,195,"3,000",100,95,남서향,20250502,"['25년이상', '융자금적은', '마당', '1층']",37.527552,127.116668
2523526906,일반상가,월세,2/5,250,"3,000",165,165,남서향,20250502,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.533409,127.117137
2523549856,일반상가,월세,1/5,123,"2,500",40,40,남서향,20250502,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.529929,127.115014
