articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524611406,단지내상가,매매,B1/21,,"6억 7,000",342,169,남향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.522829,126.876614
2524624388,일반상가,월세,4/7,260,"5,000",198,198,북서향,20250509,"['25년이내', '중층', '관리비20만원이하', '주차가능']",37.535044,126.869164
2524646650,일반상가,월세,2/3,155,"2,500",67,60,남향,20250509,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.549896,126.864615
2524604258,일반상가,월세,1/3,65,"2,000",27,27,남향,20250509,"['25년이상', '1층', '총3층', '남향']",37.538221,126.866785
2524604716,일반상가,매매,B1/14,,"3억 1,000",168,138,남동향,20250509,"['10년이내', '역세권', '지하층', '주차가능']",37.546803,126.877196
2524614166,일반상가,매매,1/31,,20억,206,94,북서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.523711,126.87674
2524644227,일반상가,월세,2/4,420,"8,000",241,241,남서향,20250509,"['25년이내', '융자금적은', '역세권', '중층']",37.548549,126.867179
2524612795,일반상가,매매,1/31,,"14억 5,800",149,65,북동향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.523711,126.87674
2524613387,단지내상가,매매,B1/21,,4억,241,118,남향,20250509,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.522829,126.876614
2524618412,일반상가,월세,B1/20,100,"1,000",67,67,남향,20250509,"['25년이내', '역세권', '지하층', '주차가능']",37.527478,126.871653
2524604158,단지내상가,월세,1/14,350,1억,112,92,북동향,20250509,"['10년이내', '마당', '역세권', '1층']",37.546803,126.877196
2524612588,일반상가,월세,1/3,360,"3,000",136,136,남향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.523537,126.876128
2524608754,일반상가,월세,1/3,50,500,23,23,북서향,20250509,"['25년이상', '1층', '총3층', '북서향']",37.538121,126.867044
