articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524659690,일반상가,월세,2/10,120,"3,000",140,76,북향,20250509,"['25년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.517721,126.842002
2524644424,일반상가,월세,2/4,130,"2,000",218,218,남서향,20250509,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.532299,126.831137
2524660242,일반상가,월세,B1/5,250,"5,000",410,363,남서향,20250509,"['25년이상', '지하층', '주차가능', '엘리베이터']",37.518665,126.837488
2524645515,복합상가,매매,3/10,,"4억 2,000",104,56,북향,20250509,"['25년이내', '지상층(1층제외)', '관리비20만원이하', '주차가능']",37.517721,126.842002
2524664099,일반상가,월세,2/6,350,"3,000",163,133,남동향,20250509,"['2년이내', '지상층(1층제외)', '주차가능', '남동향']",37.536712,126.831718
2524680513,일반상가,월세,2/2,70,"1,000",21,21,남서향,20250509,"['15년이내', '융자금없는', '테라스', '고층']",37.519159,126.845664
2524633159,일반상가,월세,1/3,90,"1,000",46,46,서향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.521784,126.841882
2524612413,일반상가,월세,1/5,90,"2,000",37,31,서향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.518977,126.837114
2524474984,일반상가,월세,1/4,60,"1,000",35,27,동향,20250508,"['10년이내', '1층', '주차가능', '총4층']",37.533409,126.834655
2524329555,일반상가,월세,1/3,100,"2,000",33,23,남동향,20250508,"['25년이상', '1층', '총3층', '남동향']",37.52408,126.840088
2524411400,단지내상가,매매,1/6,,6억,63,50,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.522578,126.851071
2524358568,일반상가,월세,B1/3,50,"1,000",88,85,남향,20250508,"['25년이상', '지하층', '총3층', '남향']",37.516947,126.840887
2524483631,일반상가,매매,2/8,,"3억 5,000",103,72,남향,20250508,"['25년이상', '지상층(1층제외)', '주차가능', '남향']",37.519541,126.843349
2524382777,일반상가,월세,4/7,190,"2,000",239,221,남향,20250508,"['25년이내', '융자금적은', '중층', '주차가능']",37.541381,126.833159
2524490972,일반상가,매매,1/1,,"4억 6,000",44,25,동향,20250508,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.517879,126.844215
2524476650,일반상가,월세,B1/3,90,"1,000",198,165,남서향,20250508,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.53475,126.829456
2524547215,일반상가,월세,2/2,180,"3,000",84,84,남향,20250508,"['25년이상', '고층', '총2층', '남향']",37.517937,126.84286
2524385572,단지내상가,월세,1/2,90,"1,000",48,48,남향,20250508,"['15년이내', '1층', '주차가능', '총2층']",37.518765,126.847574
2524549605,일반상가,매매,1/10,,"17억 6,000",327,178,북서향,20250508,"['25년이내', '1층', '관리비10만원이하', '천장에어컨']",37.517721,126.842002
2524490820,일반상가,월세,1/2,50,"1,000",33,33,서향,20250508,"['25년이상', '1층', '총2층', '서향']",37.523787,126.842989
2524518781,일반상가,월세,5/5,180,"2,000",193,165,남동향,20250508,"['25년이상', '융자금없는', '고층', '주차가능']",37.521045,126.845213
2524469749,일반상가,월세,1/5,180,"3,500",68,57,서향,20250508,"['25년이내', '1층', '주차가능', '총5층']",37.528665,126.838175
2524419803,단지내상가,월세,B1/2,180,"2,000",44,44,북서향,20250508,"['10년이내', '융자금없는', '지하층', '관리비10만원이하']",37.517879,126.844215
2524563853,단지내상가,월세,1/1,130,"2,000",28,28,북동향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.517879,126.844215
2524355173,일반상가,월세,1/15,300,"3,000",143,109,남향,20250508,"['25년이내', '1층', '주차가능', '남향']",37.520878,126.844705
2524304615,일반상가,월세,1/6,420,"5,000",195,171,북동향,20250508,"['25년이상', '1층', '주차가능', '엘리베이터']",37.526929,126.84901
2524518532,일반상가,월세,2/3,150,"2,000",98,80,북동향,20250508,"['25년이상', '융자금적은', '역세권', '중층']",37.522575,126.851415
2524469893,일반상가,월세,1/5,120,"1,000",52,52,북동향,20250508,"['4년이내', '1층', '주차가능', '총5층']",37.532169,126.836779
2524357512,일반상가,월세,1/5,280,"3,000",100,99,북서향,20250508,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.520996,126.845926
2524333062,일반상가,월세,3/4,350,"6,000",399,330,남향,20250508,"['25년이상', '고층', '주차가능', '총4층']",37.536453,126.829376
2524415645,일반상가,월세,1/4,60,"1,000",24,24,북동향,20250508,"['10년이내', '1층', '관리비10만원이하', '총4층']",37.533409,126.834655
2524483368,일반상가,월세,1/5,70,"1,000",30,27,동향,20250508,"['25년이상', '융자금적은', '1층', '주차가능']",37.535984,126.834524
2524486549,일반상가,월세,5/7,210,"4,000",201,201,북서향,20250508,"['25년이내', '융자금없는', '고층', '주차가능']",37.526236,126.841092
2524563603,단지내상가,월세,1/1,125,"2,000",27,27,동향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.517879,126.844215
2524499569,일반상가,월세,2/2,"1,178","5,000",376,330,북동향,20250508,"['25년이내', '융자금없는', '고층', '주차가능']",37.520773,126.845606
2524430171,일반상가,월세,1/4,146,"2,000",92,92,남향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.536895,126.83321
2524550323,일반상가,매매,8/10,,"12억 5,000",260,256,북향,20250508,"['25년이내', '고층', '관리비10만원이하', '주차가능']",37.517721,126.842002
2524582772,복합상가,매매,1/9,,"2억 8,000",30,23,동향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.519033,126.841648
