articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524673636,일반상가,월세,1/3,45,"1,000",29,25,남동향,20250509,"['25년이상', '융자금없는', '1층', '총3층']",37.520044,126.875586
2524605103,일반상가,월세,1/4,120,"1,500",50,50,,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.524746,126.853058
2524611148,단지내상가,매매,2/5,,5억,68,59,남서향,20250509,"['25년이내', '역세권', '중층', '관리비10만원이하']",37.521067,126.875703
2524627242,일반상가,월세,1/3,70,"2,000",66,66,북동향,20250509,"['25년이상', '1층', '주차가능', '총3층']",37.526179,126.85042
2524634571,일반상가,월세,1/4,180,"4,000",58,58,남향,20250509,"['25년이상', '1층', '총4층', '남향']",37.518572,126.873485
2524672831,일반상가,월세,2/7,350,"8,000",249,200,북향,20250509,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.525143,126.858954
2524656139,일반상가,월세,1/2,150,"1,500",44,44,남향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.52111,126.857067
2524627261,일반상가,월세,2/3,100,"2,000",83,83,동향,20250509,"['25년이상', '역세권', '중층', '총3층']",37.524977,126.854659
2524614496,일반상가,월세,1/3,500,1억,113,107,북향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.521252,126.855646
2524627290,일반상가,월세,B1/6,250,"3,000",297,264,남향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.525403,126.857457
2524636123,일반상가,월세,1/6,250,"3,000",69,69,서향,20250509,"['25년이내', '역세권', '1층', '서향']",37.528102,126.862777
2524608228,일반상가,월세,1/4,120,"2,000",56,56,동향,20250509,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.524824,126.860203
2524640149,일반상가,매매,8/8,,"8억 1,000",209,131,동향,20250509,"['25년이내', '고층', '주차가능', '엘리베이터']",37.522411,126.862024
2524627269,일반상가,월세,1/6,245,"5,000",52,49,북서향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.508762,126.864762
2524453341,일반상가,월세,1/3,121,"1,500",27,27,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.525003,126.854875
2524334712,일반상가,월세,1/5,180,"3,000",53,53,서향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.519051,126.87365
2524321510,복합상가,매매,1/8,,"4억 9,500",54,39,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.527677,126.862773
2524383249,일반상가,월세,1/9,105,"1,000",43,43,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.524245,126.863707
2524428216,복합상가,월세,1/9,200,"6,000",126,88,북향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.524912,126.856878
2524425244,일반상가,매매,1/1,,10억,64,57,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.519023,126.851621
2524452805,일반상가,월세,3/5,160,"2,000",122,122,남향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.525524,126.858509
2524437514,일반상가,월세,2/4,450,"5,000",212,200,북향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.521361,126.857245
2524610994,일반상가,월세,1/4,50,500,16,15,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.516649,126.854751
2524383562,일반상가,월세,1/6,270,"3,000",104,104,북동향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.52331,126.864202
2524617056,일반상가,월세,1/3,440,"6,000",46,46,북향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.520973,126.853344
2524390623,일반상가,월세,3/3,90,"1,000",108,100,남동향,20250508,"['25년이상', '융자금없는', '고층', '총3층']",37.520028,126.874082
2524478304,일반상가,월세,6/6,140,"2,000",272,185,남향,20250508,"['25년이상', '역세권', '고층', '남향']",37.525345,126.85712
2524582879,일반상가,월세,3/6,300,"5,000",195,195,남향,20250508,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.519673,126.859087
2524427351,단지내상가,매매,1/1,,10억,59,59,동향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.519023,126.851621
2524382371,일반상가,월세,B1/3,130,"2,300",40,40,남서향,20250508,"['25년이상', '역세권', '지하층', '총3층']",37.520879,126.851615
2524335011,일반상가,매매,전체층/5,,"4억 5,000",132,132,북향,20250508,"['25년이내', '관리비20만원이하', '주차가능', '총5층']",37.512537,126.839239
2524611636,일반상가,월세,1/2,120,"4,000",40,40,서향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.519197,126.852596
2524416641,일반상가,월세,2/4,350,"5,000",201,185,서향,20250508,"['25년이상', '역세권', '중층', '총4층']",37.519637,126.852762
2524407162,단지내상가,월세,1/14,200,"2,000",37,37,동향,20250508,"['10년이내', '융자금없는', '1층', '관리비10만원이하']",37.519478,126.869287
2524365353,일반상가,월세,1/7,200,"5,000",61,36,북향,20250508,"['15년이내', '융자금없는', '1층', '주차가능']",37.512904,126.832614
2524333629,일반상가,월세,6/8,"1,150",2억,330,330,북서향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.522364,126.874996
2524358555,일반상가,월세,1/4,85,"1,500",49,49,북동향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.517483,126.872316
2524374262,일반상가,월세,1/12,290,"4,500",100,82,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.525697,126.863005
2524371555,일반상가,월세,1/5,200,"3,000",51,34,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.518858,126.873139
2524333935,일반상가,월세,2/4,100,"2,000",71,71,남향,20250508,"['25년이상', '중층', '관리비10만원이하', '총4층']",37.518545,126.874732
2524356416,일반상가,월세,B1/3,50,"1,000",47,43,동향,20250508,"['25년이상', '역세권', '지하층', '총3층']",37.52055,126.853301
2524333876,단지내상가,월세,3/8,"1,400","2억 7,000",413,330,북향,20250508,"['2년이내', '역세권', '중층', '주차가능']",37.522364,126.874996
2524306081,복합상가,월세,2/6,230,"3,000",181,181,남서향,20250508,"['25년이내', '지상층(1층제외)', '관리비20만원이하', '주차가능']",37.518388,126.872056
2524325653,일반상가,월세,1/5,300,"5,000",115,115,북향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.520939,126.872755
2524322587,단지내상가,매매,2/3,,2억,36,36,북향,20250508,"['25년이내', '중층', '관리비10만원이하', '주차가능']",37.51163,126.840174
2524321946,일반상가,월세,1/4,120,"2,000",105,105,남동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.525501,126.863125
2524421048,단지내상가,월세,1/5,100,"1,000",65,65,서향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.516028,126.85406
2524374802,일반상가,월세,5/7,400,1억,17160,171,남동향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.526385,126.863965
2524410018,일반상가,월세,3/7,120,"2,000",59,59,서향,20250508,"['25년이내', '융자금없는', '중층', '관리비20만원이하']",37.520174,126.869435
2524381168,일반상가,월세,1/6,90,"2,000",33,33,북향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.522882,126.864131
