articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524628343,일반상가,월세,3/5,130,"3,000",88,74,서향,20250509,"['10년이내', '역세권', '중층', '주차가능']",37.52499,126.892334
2524643297,일반상가,월세,4/4,150,"1,500",98,93,남향,20250509,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.527001,126.894145
2524427403,일반상가,월세,1/3,270,"5,000",33,33,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.526619,126.897103
2524474166,일반상가,월세,2/3,180,"2,000",90,82,동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.525283,126.8976
2524380972,일반상가,월세,1/5,200,"3,000",42,39,북향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.524634,126.897351
2524544563,일반상가,월세,2/3,230,"5,000",184,184,남서향,20250508,"['25년이내', '역세권', '중층', '관리비10만원이하']",37.525881,126.897401
2524430454,일반상가,월세,1/1,300,"5,000",22,22,서향,20250508,"['25년이상', '역세권', '1층', '서향']",37.526859,126.897105
2524418557,단지내상가,월세,1/5,140,"2,000",102,38,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.524103,126.897197
2524377151,일반상가,월세,1/4,800,"2억 5,000",198,198,서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.526939,126.897196
2524375692,일반상가,월세,1/5,190,"2,000",106,82,동향,20250508,"['25년이상', '역세권', '1층', '총5층']",37.524271,126.898413
2524581700,일반상가,월세,1/3,270,"5,000",60,40,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.526619,126.897103
2524615359,일반상가,월세,B1/3,100,"1,500",63,63,서향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.526619,126.897103
2524426858,일반상가,월세,B1/3,100,"1,500",28,28,남서향,20250508,"['25년이상', '역세권', '지하층', '총3층']",37.526619,126.897103
2524371305,단지내상가,월세,1/1,140,"1,000",25,23,서향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.524167,126.899048
