articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524553448,일반상가,월세,B1/10,90,"2,000",204,204,서향,20250508,"['25년이상', '융자금적은', '지하층', '주차가능']",37.527868,126.907936
2524421676,일반상가,월세,1/10,250,"3,000",396,120,동향,20250508,"['25년이상', '1층', '주차가능', '동향']",37.527868,126.907936
2524493001,단지내상가,월세,1/9,550,1억,312,237,남향,20250508,"['25년이내', '1층', '주차가능', '엘리베이터']",37.53091,126.90762
2523777402,일반상가,월세,1/9,170,"2,000",46,46,남향,20250503,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.53091,126.90762
2523500381,일반상가,월세,B1/16,230,"3,000",220,122,북동향,20250502,"['10년이내', '지하층', '관리비20만원이하', '주차가능']",37.526889,126.908348
2523529094,일반상가,월세,1/5,180,"3,000",42,38,북향,20250502,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.526029,126.908076
2523178912,일반상가,월세,1/10,250,"3,000",244,132,북동향,20250430,"['25년이상', '1층', '주차가능', '북동향']",37.527868,126.907936
2522851401,일반상가,월세,1/5,180,"3,000",39,39,북동향,20250429,"['10년이내', '융자금적은', '1층', '관리비10만원이하']",37.526029,126.908076
2522803503,일반상가,월세,1/7,160,"2,000",36,36,동향,20250429,"['25년이상', '1층', '동향']",37.52873,126.907606
2522888192,일반상가,월세,1/10,250,"3,000",354,99,동향,20250429,"['25년이상', '1층', '주차가능', '엘리베이터']",37.527868,126.907936
2522643720,일반상가,월세,1/1,"1,050",2억,340,340,서향,20250428,"['25년이상', '융자금없는', '1층', '서향']",37.529646,126.907815
2522591446,일반상가,월세,5/8,350,"5,000",382,272,동향,20250428,"['25년이내', '역세권', '중층', '주차가능']",37.530157,126.907064
2522136084,일반상가,월세,1/10,250,"3,000",139,116,동향,20250425,"['25년이상', '1층', '주차가능', '동향']",37.527868,126.907936
2522219809,복합상가,월세,5/8,350,"5,000",272,272,동향,20250425,"['25년이내', '역세권', '중층', '동향']",37.530157,126.907064
2521886008,일반상가,월세,B1/10,90,"2,000",330,204,북동향,20250424,"['25년이상', '융자금적은', '지하층', '주차가능']",37.527868,126.907936
2521977618,일반상가,월세,1/14,500,1억,267,146,동향,20250424,"['10년이내', '1층', '주차가능', '동향']",37.527339,126.908171
2521978454,일반상가,월세,1/11,300,"5,000",86,64,남향,20250424,"['15년이내', '융자금없는', '1층', '주차가능']",37.526463,126.90851
2521758479,일반상가,월세,1/14,500,1억,267,99,북동향,20250423,"['10년이내', '1층', '주차가능', '북동향']",37.527339,126.908171
2521586990,일반상가,월세,B1/4,100,"1,000",88,88,서향,20250422,"['25년이상', '지하층', '총4층', '서향']",37.525946,126.908132
2521412713,일반상가,월세,1/11,300,"5,000",74,64,남향,20250422,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.526463,126.90851
2521410488,일반상가,월세,3/4,120,"1,500",145,115,서향,20250422,"['25년이상', '고층', '주차가능', '총4층']",37.526372,126.909792
2521414047,일반상가,월세,1/4,70,"1,000",33,33,남향,20250421,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.526495,126.9094
2521411048,일반상가,월세,1/4,210,"3,000",99,99,남향,20250421,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.526495,126.9094
2520681424,일반상가,월세,1/5,180,"3,000",74,33,북서향,20250418,"['10년이내', '융자금적은', '1층', '관리비10만원이하']",37.526029,126.908076
2520252557,일반상가,월세,B1/4,100,"1,000",88,82,북동향,20250416,"['25년이상', '지하층', '주차가능', '총4층']",37.525946,126.908132
2520259706,일반상가,월세,1/15,153,"1,500",60,36,북향,20250416,"['25년이내', '1층', '주차가능', '북향']",37.528186,126.906706
2519751299,일반상가,월세,1/7,160,"2,000",33,33,동향,20250414,"['25년이상', '융자금없는', '1층', '주차가능']",37.52873,126.907606
2519650916,일반상가,월세,5/8,350,"5,000",383,272,동향,20250414,"['25년이내', '역세권', '중층', '주차가능']",37.530157,126.907064
2518741016,일반상가,월세,1/14,250,"3,000",244,138,동향,20250409,"['10년이내', '1층', '주차가능', '동향']",37.52776,126.907979
2518771808,일반상가,월세,2/5,90,800,382,92,동향,20250409,"['25년이상', '융자금적은', '중층', '주차가능']",37.5281,126.908698
