articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524658339,단지내상가,매매,1/3,,3억,23,18,남서향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.505518,126.895622
2524633641,단지내상가,월세,1/2,60,"1,000",49,26,북서향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.497072,126.894668
2524627281,일반상가,월세,B1/4,170,"1,500",189,165,북동향,20250509,"['25년이상', '지하층', '총4층', '북동향']",37.49229,126.901805
2524607887,단지내상가,월세,1/4,90,500,25,25,서향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.496449,126.902849
2524670962,일반상가,월세,1/4,70,"1,000",87,87,북동향,20250509,"['25년이상', '1층', '총4층', '북동향']",37.502315,126.90067
2524648333,일반상가,월세,전체층/5,150,"3,000",68,68,남향,20250509,"['4년이내', '주차가능', '총5층', '남향']",37.492591,126.907757
2524660534,일반상가,월세,1/3,95,"1,000",29,29,남동향,20250509,"['25년이상', '1층', '총3층', '남동향']",37.490409,126.90074
2524589731,일반상가,월세,1/4,100,500,28,28,동향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.496449,126.902849
2524531846,일반상가,월세,4/4,300,"5,000",249,191,북향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.494432,126.899843
2524586953,일반상가,월세,1/5,160,"2,000",39,39,북향,20250508,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.502543,126.896252
2524557067,일반상가,월세,B1/4,70,"1,000",87,87,남동향,20250508,"['25년이상', '지하층', '총4층', '남동향']",37.502315,126.90067
2524587292,일반상가,월세,1/4,240,"7,000",112,85,북동향,20250508,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.492843,126.907188
2524536797,일반상가,월세,2/7,300,"5,000",181,86,북서향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.493216,126.898397
2524336253,일반상가,월세,4/6,340,"5,000",368,340,남향,20250508,"['25년이내', '융자금없는', '역세권', '중층']",37.498466,126.894338
2524336838,일반상가,월세,5/6,340,"3,000",310,244,북동향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.49563,126.898628
2524625337,일반상가,월세,B1/3,40,500,85,82,서향,20250508,"['25년이상', '지하층', '총3층', '서향']",37.500865,126.894568
