articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524609814,일반상가,월세,4/4,100,"1,500",35,35,동향,20250509,"['2년이내', '융자금없는', '마당', '고층']",37.511151,126.898075
2524640248,일반상가,월세,1/16,130,"3,000",39,22,남서향,20250509,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.506033,126.899245
2524674943,일반상가,월세,전체층/4,50,"1,000",38,38,남동향,20250509,"['25년이상', '총4층', '남동향']",37.509516,126.903044
2524672131,일반상가,월세,B1/3,90,"2,000",91,91,남향,20250509,"['25년이상', '융자금없는', '지하층', '주차가능']",37.507641,126.902991
2524593436,단지내상가,매매,1/3,,4억,45,29,남향,20250508,"['10년이내', '1층', '주차가능', '총3층']",37.510206,126.900268
2524313868,일반상가,월세,1/1,400,"4,000",258,124,서향,20250508,"['25년이상', '1층', '서향']",37.508102,126.896976
2524335202,일반상가,월세,1/4,250,"2,000",30,30,북동향,20250508,"['2년이내', '1층', '주차가능', '총4층']",37.511151,126.898075
2523842442,일반상가,월세,1/4,45,500,21,20,남동향,20250507,"['25년이상', '1층', '주차가능', '총4층']",37.508244,126.90228
2523841865,일반상가,월세,3/5,340,1억,201,201,남향,20250507,"['25년이내', '역세권', '중층', '주차가능']",37.508647,126.895876
2523944120,일반상가,월세,2/5,190,"3,000",119,119,,20250507,"['10년이내', '중층', '관리비20만원이하', '주차가능']",37.509645,126.898039
2524293736,일반상가,월세,B1/2,140,"3,000",120,115,남서향,20250507,"['25년이내', '지하층', '주차가능', '총2층']",37.507519,126.902251
2523845332,일반상가,월세,1/4,75,"2,000",21,21,남향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.507523,126.902617
2524258992,일반상가,월세,1/1,120,"1,500",39,39,남서향,20250507,"['25년이상', '1층', '남서향']",37.508391,126.900454
2524204875,단지내상가,매매,1/3,,"3억 8,000",40,29,남향,20250507,"['15년이내', '1층', '급매', '관리비10만원이하']",37.510206,126.900268
2523840204,일반상가,월세,1/3,55,"1,000",21,21,북서향,20250507,"['25년이상', '1층', '총3층', '북서향']",37.508657,126.897116
2523986213,단지내상가,월세,1/1,70,"1,000",30,30,북서향,20250507,"['25년이상', '1층', '북서향']",37.50855,126.899417
2524290923,일반상가,월세,4/4,100,"1,500",40,35,북서향,20250507,"['2년이내', '고층', '주차가능', '총4층']",37.511151,126.898075
2524291792,일반상가,월세,1/4,250,"2,000",33,30,북서향,20250507,"['2년이내', '1층', '주차가능', '총4층']",37.511151,126.898075
2524042815,일반상가,월세,3/5,141,"1,500",95,95,남향,20250507,"['25년이상', '융자금적은', '중층', '주차가능']",37.508605,126.905162
2524273516,일반상가,월세,2/5,180,"2,000",198,198,남향,20250507,"['25년이상', '융자금적은', '중층', '주차가능']",37.506384,126.90008
2524041105,일반상가,월세,4/7,350,"5,000",228,228,북서향,20250506,"['25년이내', '융자금적은', '역세권', '중층']",37.508165,126.895731
2523916649,일반상가,월세,5/7,350,"5,000",228,228,북서향,20250505,"['25년이내', '역세권', '고층', '주차가능']",37.508165,126.895731
2523484472,일반상가,월세,1/4,200,"3,000",136,66,남향,20250502,"['25년이상', '1층', '주차가능', '총4층']",37.509686,126.907654
2523485778,일반상가,월세,1/1,180,"3,000",76,72,남서향,20250502,"['25년이상', '1층', '주차가능', '남서향']",37.507696,126.901035
2523575120,단지내상가,월세,1/7,250,"5,000",66,46,남서향,20250502,"['25년이내', '융자금적은', '역세권', '1층']",37.508089,126.895542
2523484488,일반상가,월세,B1/16,176,"4,000",250,147,남향,20250502,"['4년이내', '지하층', '주차가능', '남향']",37.506033,126.899245
2523486480,일반상가,월세,2/6,200,"2,000",206,198,남향,20250502,"['25년이상', '지상층(1층제외)', '주차가능', '남향']",37.506384,126.90008
2523487052,일반상가,월세,1/1,80,"1,000",17,17,북향,20250502,"['25년이내', '1층', '북향']",37.507317,126.901551
2523111287,일반상가,월세,1/5,225,"5,000",50,36,남향,20250430,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.508538,126.895514
2523130543,일반상가,월세,3/5,230,"5,000",189,189,남동향,20250430,"['25년이내', '중층', '주차가능', '엘리베이터']",37.506162,126.89957
2522790492,단지내상가,매매,1/3,,6억,84,55,북동향,20250429,"['15년이내', '1층', '주차가능', '엘리베이터']",37.510206,126.900268
2522967026,일반상가,월세,1/2,45,500,28,27,북향,20250429,"['25년이상', '1층', '총2층', '북향']",37.509437,126.904363
2522794042,일반상가,월세,1/4,55,"1,000",23,23,남동향,20250429,"['25년이상', '융자금없는', '1층', '주차가능']",37.508244,126.90228
2522830001,일반상가,월세,2/4,100,"1,000",99,99,남향,20250429,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.509589,126.907432
2522809981,일반상가,월세,2/5,70,"1,000",48,48,남동향,20250429,"['10년이내', '중층', '인터폰', '천장에어컨']",37.508066,126.903942
2522515479,단지내상가,매매,2/3,,3억,34,34,남서향,20250428,"['15년이내', '중층', '관리비10만원이하', '주차가능']",37.510206,126.900268
2522602955,일반상가,월세,2/9,800,"1억 5,000",361,277,동향,20250428,"['4년이내', '융자금적은', '지상층(1층제외)', '주차가능']",37.511303,126.898662
2522691498,일반상가,월세,1/3,100,"1,200",33,33,동향,20250428,"['25년이상', '1층', '주차가능', '총3층']",37.508016,126.900083
2522513174,일반상가,월세,1/4,200,"3,000",69,69,남향,20250428,"['25년이상', '1층', '주차가능', '총4층']",37.509686,126.907654
2522525908,일반상가,월세,1/4,170,"2,000",46,4,남향,20250428,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.508947,126.90602
2522671729,단지내상가,월세,1/5,120,"3,000",73,73,동향,20250428,"['25년이내', '1층', '주차가능', '인터폰']",37.5081,126.896456
2522400174,일반상가,월세,B1/4,45,500,67,67,북향,20250426,"['25년이상', '융자금없는', '지하층', '총4층']",37.509663,126.9042
2522198189,일반상가,월세,1/4,200,"3,000",66,66,남향,20250425,"['25년이상', '1층', '주차가능', '총4층']",37.509686,126.907654
2522096641,일반상가,월세,6/7,100,1억,131,131,남동향,20250425,"['25년이내', '테라스', '고층', '주차가능']",37.507162,126.901907
2522287238,일반상가,월세,1/4,70,"1,000",31,31,북서향,20250425,"['25년이상', '융자금없는', '1층', '총4층']",37.508565,126.902041
2522134646,일반상가,월세,1/1,65,"1,000",46,46,북서향,20250425,"['25년이상', '1층', '북서향']",37.50855,126.899417
2522041344,일반상가,월세,2/4,100,"1,000",100,100,남서향,20250424,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.509589,126.907432
2521824492,일반상가,월세,1/3,80,"3,000",80,54,남동향,20250424,"['25년이상', '융자금없는', '1층', '주차가능']",37.509718,126.898959
2521858838,일반상가,월세,3/4,90,"2,000",96,96,남동향,20250424,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.508947,126.90602
2522030870,일반상가,월세,1/4,65,"1,000",21,21,북동향,20250424,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.508733,126.901944
2521648980,일반상가,월세,1/4,50,"1,000",33,33,남향,20250423,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.509516,126.903044
2521415744,일반상가,월세,1/3,130,"1,000",85,85,남향,20250422,"['25년이내', '1층', '주차가능', '총3층']",37.509444,126.905283
2521628600,일반상가,월세,1/2,130,"2,000",36,36,남동향,20250422,"['25년이상', '1층', '총2층', '남동향']",37.50906,126.896752
2521584371,일반상가,월세,1/5,120,"2,000",35,35,북동향,20250422,"['25년이내', '1층', '주차가능', '총5층']",37.509043,126.899483
2521459219,일반상가,월세,1/3,60,"1,000",27,27,동향,20250422,"['25년이상', '융자금없는', '1층', '주차가능']",37.508733,126.901944
