articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524580649,일반상가,매매,1/8,,12억,103,53,동향,20250508,"['25년이내', '1층', '주차가능', '동향']",37.519283,126.888966
2524366962,단지내상가,월세,1/15,250,"3,000",59,38,동향,20250508,"['25년이내', '1층', '주차가능', '엘리베이터']",37.520279,126.888892
2524592820,복합상가,매매,1/15,,"6억 5,000",72,36,북동향,20250508,"['15년이내', '1층', '주차가능', '북동향']",37.519011,126.885969
2524547240,일반상가,매매,2/8,,6억,96,47,동향,20250508,"['15년이내', '지상층(1층제외)', '주차가능', '동향']",37.519658,126.889047
2524568207,일반상가,월세,8/8,300,1억,383,192,동향,20250508,"['25년이내', '고층', '주차가능', '동향']",37.519283,126.888966
2524355448,단지내상가,매매,2/18,,15억,278,139,북향,20250508,"['10년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.517918,126.887209
2524578334,단지내상가,월세,1/15,300,"4,000",209,129,동향,20250508,"['25년이내', '융자금없는', '1층', '동향']",37.521124,126.886999
2523040080,단지내상가,월세,1/5,55,"1,000",26,15,동향,20250507,"['25년이상', '1층', '주차가능', '총5층']",37.519317,126.884048
2524265266,일반상가,월세,1/8,330,"3,000",89,43,동향,20250507,"['15년이내', '1층', '급매', '주차가능']",37.519658,126.889047
2524080020,일반상가,월세,1/14,180,"3,000",68,33,북향,20250507,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.521356,126.885705
2524282207,단지내상가,월세,1/15,290,"5,000",113,56,남향,20250507,"['10년이내', '1층', '주차가능', '남향']",37.517918,126.887209
2524135707,단지내상가,월세,1/3,90,"1,000",37,28,동향,20250507,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.520444,126.882871
2524172394,복합상가,매매,1/15,,6억,80,40,서향,20250507,"['15년이내', '1층', '주차가능', '서향']",37.519011,126.885969
2524050264,단지내상가,월세,1/15,100,"1,000",37,28,동향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.520444,126.882871
2523180943,일반상가,월세,1/15,300,"4,000",132,132,남향,20250430,"['25년이내', '융자금적은', '1층', '주차가능']",37.521124,126.886999
2523026941,단지내상가,월세,1/18,295,"4,000",141,70,북향,20250430,"['10년이내', '1층', '주차가능', '엘리베이터']",37.517918,126.887209
2522975227,일반상가,월세,1/15,450,"8,000",249,125,동향,20250429,"['15년이내', '1층', '주차가능', '엘리베이터']",37.519011,126.885969
2522783126,복합상가,월세,1/18,270,"3,000",113,56,남향,20250429,"['10년이내', '융자금없는', '1층', '주차가능']",37.517918,126.887209
2522962892,복합상가,월세,1/8,300,"5,000",83,41,동향,20250429,"['15년이내', '1층', '주차가능', '동향']",37.519658,126.889047
2522977293,일반상가,월세,1/15,250,"4,000",117,59,동향,20250429,"['15년이내', '1층', '주차가능', '엘리베이터']",37.519011,126.885969
2522610554,단지내상가,월세,1/8,300,"5,000",41,41,동향,20250428,"['15년이내', '융자금적은', '1층', '주차가능']",37.519658,126.889047
2522629183,단지내상가,월세,1/15,300,"4,000",209,122,동향,20250428,"['2년이내', '1층', '주차가능', '동향']",37.521124,126.886999
2522216408,단지내상가,월세,1/1,150,"3,000",39,33,북향,20250425,"['10년이내', '1층', '북향']",37.520023,126.885464
2522210096,복합상가,월세,1/8,330,"3,000",43,43,동향,20250425,"['15년이내', '1층', '동향', '관리비80만원이하']",37.519658,126.889047
2522282252,단지내상가,월세,1/3,55,500,30,15,동향,20250425,"['25년이상', '1층', '총3층', '동향']",37.519317,126.884048
2522145984,복합상가,매매,1/18,,"12억 2,800",150,75,북동향,20250425,"['10년이내', '1층', '주차가능', '북동향']",37.517918,126.887209
2522128077,단지내상가,월세,1/2,115,"2,500",67,31,북향,20250425,"['25년이상', '1층', '주차가능', '총2층']",37.520971,126.887953
2522046380,단지내상가,월세,1/15,110,"2,000",40,27,동향,20250424,"['25년이내', '1층', '주차가능', '동향']",37.519022,126.887478
2521876820,일반상가,월세,1/14,230,"3,500",84,41,북향,20250424,"['2년이내', '역세권', '1층', '주차가능']",37.521356,126.885705
2521845963,일반상가,월세,1/2,260,"3,120",165,165,남향,20250424,"['25년이상', '1층', '주차가능', '총2층']",37.520437,126.887822
2521801334,일반상가,매매,1/18,,10억,100,50,남서향,20250423,"['10년이내', '1층', '주차가능', '남서향']",37.517918,126.887209
2521500887,일반상가,월세,1/8,"1,800",3억,644,397,남동향,20250422,"['10년이내', '융자금적은', '1층', '주차가능']",37.518597,126.888745
2521609543,일반상가,월세,1/8,590,"1억 4,000",207,106,동향,20250422,"['25년이내', '융자금적은', '1층', '주차가능']",37.519283,126.888966
2521184634,복합상가,월세,1/15,250,"3,000",118,59,,20250421,"['15년이내', '융자금적은', '1층', '주차가능']",37.519011,126.885969
2521314758,단지내상가,월세,1/1,150,"3,000",33,33,북향,20250421,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.520023,126.885464
2521335604,복합상가,월세,1/18,220,"3,000",88,44,북향,20250421,"['10년이내', '1층', '주차가능', '북향']",37.517918,126.887209
2521358234,일반상가,매매,1/15,,6억,81,40,북동향,20250421,"['15년이내', '1층', '주차가능', '북동향']",37.519011,126.885969
2521297461,일반상가,매매,1/15,,"6억 7,000",80,41,,20250421,"['15년이내', '1층', '주차가능']",37.519047,126.886306
2520730721,일반상가,매매,1/15,,6억,82,39,남향,20250418,"['15년이내', '1층', '주차가능', '남향']",37.519011,126.885969
2520829101,단지내상가,월세,1/3,50,500,26,15,동향,20250418,"['25년이상', '1층', '총3층', '동향']",37.519317,126.884048
2520056115,복합상가,매매,1/1,,6억,80,40,서향,20250415,"['15년이내', '1층', '주차가능', '천장에어컨']",37.519047,126.886306
2519896595,단지내상가,매매,1/14,,4억,60,30,동향,20250414,"['2년이내', '역세권', '1층', '주차가능']",37.521356,126.885705
2519898490,단지내상가,월세,1/14,400,"6,000",136,67,북향,20250414,"['2년이내', '역세권', '1층', '주차가능']",37.521356,126.885705
2519717159,복합상가,월세,1/18,330,"5,000",154,77,남향,20250414,"['10년이내', '1층', '주차가능', '엘리베이터']",37.517918,126.887209
2519139765,일반상가,매매,1/15,,6억,81,40,동향,20250410,"['15년이내', '1층', '주차가능', '동향']",37.519047,126.886306
2518803738,일반상가,매매,B2/14,,4억,127,63,북향,20250409,"['2년이내', '역세권', '지하층', '주차가능']",37.521356,126.885705
2518731207,일반상가,월세,1/15,250,"3,000",59,59,동향,20250409,"['15년이내', '1층', '주차가능', '동향']",37.519129,126.886681
