articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524628326,일반상가,월세,2/2,280,"5,000",288,213,서향,20250509,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.522163,126.886546
2524627832,일반상가,월세,3/7,160,"1,500",105,105,서향,20250509,"['25년이내', '중층', '관리비20만원이하', '주차가능']",37.52299,126.890443
2524616578,복합상가,매매,1/10,,"4억 5,000",70,36,서향,20250509,"['4년이내', '1층', '주차가능', '서향']",37.52406,126.890843
2524616895,복합상가,월세,3/8,100,"1,000",73,73,북향,20250509,"['10년이내', '융자금없는', '역세권', '중층']",37.522926,126.888784
2524329261,일반상가,월세,2/5,180,"2,000",102,82,서향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.524935,126.88844
2524329389,일반상가,월세,1/3,60,"1,000",13,13,남서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.524046,126.888273
2524563356,일반상가,월세,B1/3,130,"3,000",201,201,남향,20250508,"['25년이상', '융자금없는', '지하층', '총3층']",37.521539,126.890755
2524329245,일반상가,월세,2/3,100,"2,000",79,65,남서향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.524046,126.888273
2524581938,일반상가,월세,B1/7,90,"1,000",97,97,서향,20250508,"['25년이내', '융자금없는', '지하층', '주차가능']",37.52299,126.890443
2524386430,일반상가,월세,1/11,240,"2,400",76,37,동향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.524493,126.889005
2524329241,일반상가,월세,1/1,500,"5,000",260,129,남향,20250508,"['25년이상', '마당', '역세권', '1층']",37.523201,126.8885
2524270104,일반상가,월세,2/6,200,"2,000",126,126,북서향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.524522,126.88951
2524593992,일반상가,월세,1/2,220,"2,500",136,68,남향,20250508,"['15년이내', '융자금없는', '1층', '주차가능']",37.521603,126.890354
2524388625,일반상가,월세,1/1,300,"3,000",118,64,서향,20250508,"['10년이내', '역세권', '1층', '급매']",37.523405,126.886278
2524514887,일반상가,월세,B1/8,200,"2,000",305,201,북향,20250508,"['25년이상', '지하층', '주차가능', '북향']",37.521532,126.889513
2524367693,일반상가,월세,2/5,160,"2,000",102,85,서향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.524935,126.88844
2524580844,일반상가,월세,2/3,180,"2,000",131,107,동향,20250508,"['4년이내', '융자금없는', '중층', '관리비10만원이하']",37.521796,126.890953
2524564392,단지내상가,월세,1/12,200,"2,000",96,49,북향,20250508,"['2년이내', '1층', '주차가능', '북향']",37.522874,126.891155
2524329368,일반상가,월세,2/2,150,"2,000",49,49,북동향,20250508,"['25년이상', '고층', '주차가능', '총2층']",37.522771,126.890702
2524329311,일반상가,월세,1/4,110,"1,500",41,41,남향,20250508,"['25년이상', '1층', '총4층', '남향']",37.523142,126.891128
2524271219,일반상가,월세,1/1,70,"1,000",82,82,북향,20250507,"['25년이상', '역세권', '1층', '북향']",37.524297,126.888462
2524014242,일반상가,월세,1/3,110,"1,300",38,38,서향,20250507,"['25년이상', '1층', '총3층', '서향']",37.523283,126.889166
2524271124,일반상가,월세,1/10,184,"2,709",82,36,남동향,20250507,"['2년이내', '1층', '주차가능', '남동향']",37.523858,126.890048
2524096139,단지내상가,월세,10/10,"1,582","1억 5,828",515,396,남향,20250507,"['2년이내', '고층', '주차가능', '남향']",37.523858,126.890048
2524014271,일반상가,월세,1/7,100,"1,000",42,39,남서향,20250507,"['10년이내', '1층', '주차가능', '남서향']",37.523263,126.888904
2524069076,단지내상가,월세,1/10,397,"5,766",211,92,동향,20250507,"['2년이내', '1층', '주차가능', '엘리베이터']",37.523858,126.890048
2524040202,일반상가,월세,2/5,180,"2,000",80,80,남향,20250507,"['25년이상', '융자금적은', '역세권', '중층']",37.524935,126.88844
2524258329,일반상가,월세,1/3,200,"2,000",55,55,북향,20250507,"['25년이상', '융자금없는', '1층', '총3층']",37.521181,126.890926
2524000071,일반상가,월세,B1/7,90,"1,000",97,67,서향,20250507,"['25년이내', '지하층', '관리비10만원이하', '주차가능']",37.52299,126.890443
2524006396,단지내상가,매매,1/1,,6억,33,33,남향,20250507,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.523405,126.886278
2524085753,일반상가,월세,2/3,100,"2,000",79,79,서향,20250507,"['25년이상', '역세권', '중층', '총3층']",37.524046,126.888273
2524068279,단지내상가,월세,1/10,548,"8,116",224,92,동향,20250507,"['2년이내', '1층', '주차가능', '엘리베이터']",37.523858,126.890048
2524068842,단지내상가,월세,1/10,"1,507","2억 2,140",684,211,동향,20250507,"['2년이내', '1층', '주차가능', '엘리베이터']",37.523858,126.890048
2524041505,일반상가,월세,2/2,30,300,14,14,남향,20250507,"['25년이상', '융자금적은', '고층', '총2층']",37.522597,126.889319
2524068675,단지내상가,월세,1/10,563,"8,258",251,109,동향,20250507,"['2년이내', '1층', '주차가능', '엘리베이터']",37.523858,126.890048
2524100444,단지내상가,월세,1/1,"1,000",2억,655,258,남향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.523405,126.886278
2524205753,일반상가,월세,5/9,500,"5,000",210,210,북향,20250507,"['2년이내', '중층', '주차가능', '엘리베이터']",37.521512,126.889229
2523897442,단지내상가,매매,1/2,,"6억 2,000",42,30,서향,20250505,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.522163,126.886546
2523825854,일반상가,월세,1/11,100,"1,500",68,33,동향,20250504,"['2년이내', '역세권', '1층', '주차가능']",37.524493,126.889005
2523684161,일반상가,월세,1/3,180,"2,000",73,66,북향,20250503,"['25년이상', '융자금없는', '역세권', '1층']",37.524945,126.889842
2523718547,일반상가,월세,2/9,180,"2,000",77,59,서향,20250503,"['10년이내', '지상층(1층제외)', '관리비10만원이하', '주차가능']",37.521578,126.890514
2523436738,일반상가,월세,2/7,480,"4,500",315,315,서향,20250502,"['25년이내', '융자금없는', '지상층(1층제외)', '주차가능']",37.52299,126.890443
2523406549,일반상가,월세,1/1,500,"5,000",129,129,남향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.523201,126.8885
2523573900,단지내상가,월세,10/10,"1,582","1억 5,828",902,396,동향,20250502,"['2년이내', '고층', '주차가능', '엘리베이터']",37.523858,126.890048
2523591201,일반상가,월세,4/4,100,"1,000",52,52,동향,20250502,"['25년이상', '고층', '총4층', '동향']",37.521352,126.889592
2523436908,일반상가,월세,B1/4,100,"1,200",145,145,북향,20250502,"['25년이상', '융자금없는', '지하층', '총4층']",37.521915,126.8911
2523437377,일반상가,월세,2/7,320,"3,000",210,210,서향,20250502,"['25년이내', '융자금없는', '지상층(1층제외)', '주차가능']",37.52299,126.890443
2523462136,단지내상가,월세,2/10,"1,575","1억 5,746",895,393,남동향,20250502,"['2년이내', '지상층(1층제외)', '주차가능', '천장에어컨']",37.523858,126.890048
2523323847,일반상가,매매,1/1,,"7억 5,000",55,26,남동향,20250502,"['25년이상', '역세권', '1층', '남동향']",37.524677,126.889699
2523148809,일반상가,월세,1/2,110,"1,000",37,37,남서향,20250430,"['25년이상', '1층', '총2층', '남서향']",37.523173,126.890958
2523066459,일반상가,월세,1/7,100,"1,000",44,36,동향,20250430,"['10년이내', '1층', '주차가능', '동향']",37.523263,126.888904
2523193841,일반상가,월세,1/1,65,700,26,26,남동향,20250430,"['25년이상', '융자금적은', '역세권', '1층']",37.524876,126.890297
2523166885,일반상가,월세,1/3,180,"2,000",73,73,북향,20250430,"['25년이상', '역세권', '1층', '총3층']",37.524945,126.889842
2522892721,일반상가,월세,1/3,110,"1,300",38,32,서향,20250429,"['25년이상', '1층', '천장에어컨', '총3층']",37.523283,126.889166
2522959045,복합상가,월세,3/11,95,"1,000",63,30,남동향,20250429,"['2년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.524493,126.889005
2522828963,일반상가,월세,1/3,550,"6,000",90,74,동향,20250429,"['25년이상', '1층', '관리비20만원이하', '총3층']",37.52123,126.88955
2522549723,단지내상가,매매,1/1,,"6억 9,000",84,43,남향,20250428,"['10년이내', '역세권', '1층', '주차가능']",37.523405,126.886278
2522540671,단지내상가,매매,1/1,,"6억 5,000",44,44,북향,20250428,"['10년이내', '역세권', '1층', '주차가능']",37.523405,126.886278
2522387789,단지내상가,월세,1/12,250,"3,000",132,68,동향,20250426,"['2년이내', '1층', '주차가능', '동향']",37.522874,126.891155
2522448718,단지내상가,매매,1/1,,"2억 8,000",52,27,서향,20250426,"['10년이내', '역세권', '1층', '주차가능']",37.523405,126.886278
2522375056,단지내상가,월세,1/12,800,1억,206,106,남향,20250426,"['2년이내', '1층', '주차가능', '남향']",37.522874,126.891155
2522210468,일반상가,월세,1/2,220,"2,500",49,49,북향,20250425,"['15년이내', '1층', '주차가능', '총2층']",37.521603,126.890354
2522275753,단지내상가,월세,2/2,280,"5,000",369,213,동향,20250425,"['25년이상', '융자금없는', '역세권', '고층']",37.522163,126.886546
2522093910,일반상가,월세,1/2,200,"3,000",49,49,북동향,20250425,"['25년이상', '1층', '주차가능', '총2층']",37.522771,126.890702
2522326024,일반상가,월세,B1/3,40,500,42,42,서향,20250425,"['25년이상', '지하층', '총3층', '서향']",37.523355,126.889184
2521884744,일반상가,월세,B1/3,130,"3,000",201,191,남향,20250424,"['25년이상', '지하층', '관리비10만원이하', '총3층']",37.521539,126.890755
2522047493,일반상가,월세,1/6,230,"4,000",142,81,북향,20250424,"['25년이내', '역세권', '1층', '주차가능']",37.524199,126.89131
2522044503,일반상가,월세,1/6,230,"4,000",81,80,북향,20250424,"['25년이내', '역세권', '1층', '주차가능']",37.524199,126.89131
2521846130,일반상가,월세,전체층/2,330,"5,000",99,99,북동향,20250424,"['25년이상', '주차가능', '총2층', '북동향']",37.522771,126.890702
2522007717,일반상가,월세,1/2,220,"2,500",68,68,남향,20250424,"['15년이내', '융자금없는', '1층', '주차가능']",37.521603,126.890354
2521979696,일반상가,월세,1/3,550,"6,000",90,90,남동향,20250424,"['25년이상', '1층', '관리비20만원이하', '총3층']",37.52123,126.88955
2521714431,단지내상가,월세,1/12,260,"3,000",69,51,서향,20250423,"['2년이내', '1층', '주차가능', '서향']",37.522874,126.891155
2521702429,단지내상가,매매,1/1,,6억,61,33,남서향,20250423,"['10년이내', '역세권', '1층', '주차가능']",37.523405,126.886278
2521714142,단지내상가,월세,1/12,230,"3,000",67,49,북향,20250423,"['2년이내', '1층', '주차가능', '북향']",37.522874,126.891155
2521714670,단지내상가,월세,1/12,800,1억,143,106,남향,20250423,"['2년이내', '1층', '주차가능', '남향']",37.522874,126.891155
2521714899,단지내상가,월세,1/12,230,"3,000",64,48,북향,20250423,"['2년이내', '1층', '주차가능', '북향']",37.522874,126.891155
2521302644,일반상가,매매,1/11,,22억,213,104,남향,20250422,"['2년이내', '역세권', '1층', '주차가능']",37.524493,126.889005
2521410022,일반상가,월세,2/3,190,"2,500",134,107,서향,20250422,"['4년이내', '융자금적은', '중층', '총3층']",37.521796,126.890953
2520969562,일반상가,월세,B1/5,70,"1,000",105,99,서향,20250419,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.524935,126.88844
2520923727,일반상가,월세,B1/2,70,"2,000",82,82,북서향,20250419,"['25년이상', '융자금없는', '지하층', '총2층']",37.522643,126.890809
2520854149,일반상가,월세,3/4,180,"2,000",145,115,북향,20250418,"['25년이상', '융자금적은', '역세권', '고층']",37.524317,126.890901
2520711112,일반상가,월세,1/1,200,"5,000",54,49,서향,20250418,"['15년이내', '1층', '서향']",37.523247,126.890502
2520401481,일반상가,월세,2/3,150,"1,500",131,106,남동향,20250417,"['4년이내', '융자금적은', '중층', '총3층']",37.521762,126.891171
2520442048,일반상가,월세,1/10,230,"3,000",83,43,서향,20250417,"['2년이내', '1층', '주차가능', '엘리베이터']",37.52406,126.890843
2520556357,일반상가,월세,B1/12,"1,500",2억,1657,861,남향,20250417,"['2년이내', '지하층', '주차가능', '천장에어컨']",37.522874,126.891155
2519951544,일반상가,월세,1/2,75,"1,000",22,22,동향,20250415,"['25년이상', '1층', '총2층', '동향']",37.523248,126.89151
2520109101,일반상가,월세,1/3,200,"2,000",70,55,북향,20250415,"['25년이상', '1층', '총3층', '북향']",37.521181,126.890926
2519934100,단지내상가,매매,1/1,,"6억 1,000",82,44,북향,20250415,"['4년이내', '역세권', '1층', '주차가능']",37.523405,126.886278
2519683116,일반상가,월세,1/1,180,"2,000",39,39,동향,20250414,"['15년이내', '역세권', '1층', '동향']",37.52104,126.891617
2519670827,일반상가,월세,1/1,70,"1,500",20,20,남향,20250414,"['25년이상', '1층', '남향']",37.521112,126.891241
2519829837,일반상가,월세,1/10,190,"2,815",75,33,남동향,20250414,"['2년이내', '1층', '주차가능', '엘리베이터']",37.523858,126.890048
2519673084,일반상가,월세,B1/5,140,"2,000",188,188,북향,20250414,"['25년이상', '융자금없는', '지하층', '관리비10만원이하']",37.524293,126.891049
2519621798,일반상가,월세,1/10,131,"1,911",69,30,동향,20250414,"['2년이내', '1층', '주차가능', '엘리베이터']",37.523858,126.890048
