articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524633039,일반상가,월세,1/14,100,"1,500",59,24,남동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.520788,126.92693
2524633358,일반상가,월세,1/10,290,"2,500",31,31,남동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.520662,126.929049
2524651440,복합상가,월세,B1/10,130,"1,500",92,56,북동향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.51956,126.929051
2524632864,일반상가,월세,1/10,230,"2,000",52,26,남동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.521783,126.926563
2524617279,일반상가,월세,B1/13,136,"2,000",137,66,남서향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.52937,126.919918
2524667369,일반상가,월세,B1/13,470,"7,000",246,154,북서향,20250509,"['10년이내', '융자금없는', '역세권', '지하층']",37.526583,126.918157
2524616124,일반상가,월세,1/12,"1,045","8,000",130,130,남서향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.530963,126.92114
2524667682,일반상가,월세,1/5,300,"3,000",50,35,북서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.518891,126.931968
2524671862,일반상가,월세,1/13,260,"4,000",23,23,북동향,20250509,"['25년이내', '융자금없는', '역세권', '1층']",37.529617,126.92156
2524667108,단지내상가,매매,B1/2,,13억,357,155,북동향,20250509,"['25년이내', '역세권', '지하층', '주차가능']",37.52021,126.931761
2524668512,단지내상가,월세,B1/2,550,"7,000",429,211,북동향,20250509,"['25년이내', '역세권', '지하층', '주차가능']",37.519834,126.932297
2524631774,일반상가,월세,1/5,680,"7,000",53,51,남서향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.521463,126.925089
2524616645,일반상가,월세,1/12,400,1억,78,43,북동향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.529617,126.92156
2524616313,일반상가,월세,3/10,"1,000",2억,297,297,북동향,20250509,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.530318,126.920875
2524617917,일반상가,월세,2/10,"1,600","2억 5,000",528,274,북서향,20250509,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.524603,126.926887
2524633738,일반상가,월세,B1/18,110,"1,500",105,52,남동향,20250509,"['25년이상', '융자금없는', '지하층', '관리비20만원이하']",37.522011,126.930124
2524634127,일반상가,월세,B1/23,635,"8,800",253,101,남동향,20250509,"['25년이상', '융자금없는', '역세권', '지하층']",37.523401,126.923491
2524632779,일반상가,월세,4/10,460,1억,277,152,남동향,20250509,"['25년이상', '융자금없는', '역세권', '중층']",37.521783,126.926563
2524633549,일반상가,월세,1/10,450,"5,000",39,39,남동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.520662,126.929049
2524631902,일반상가,월세,4/5,"1,000",1억,452,396,남서향,20250509,"['25년이상', '융자금없는', '역세권', '고층']",37.521463,126.925089
2524615678,일반상가,월세,B1/11,170,"3,000",75,75,남동향,20250509,"['25년이상', '융자금없는', '역세권', '지하층']",37.529064,126.921913
2524615980,일반상가,월세,1/4,660,1억,109,66,남서향,20250509,"['15년이내', '융자금없는', '역세권', '1층']",37.530265,126.92182
2524631860,일반상가,월세,2/5,800,"8,000",251,155,남서향,20250509,"['25년이상', '융자금없는', '역세권', '중층']",37.521463,126.925089
2524651822,일반상가,월세,2/5,215,"4,000",128,94,북서향,20250509,"['25년이상', '역세권', '중층', '총5층']",37.518891,126.931968
2524633649,일반상가,월세,B1/18,125,"1,840",140,72,남동향,20250509,"['25년이상', '융자금없는', '지하층', '남동향']",37.522011,126.930124
2524649510,복합상가,월세,B1/15,150,"5,000",84,39,북서향,20250509,"['10년이내', '역세권', '지하층', '주차가능']",37.519816,126.928023
2524632815,일반상가,월세,1/10,700,1억,270,103,남동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.521783,126.926563
2524617083,일반상가,월세,1/13,300,"4,000",39,39,북서향,20250509,"['25년이내', '융자금없는', '역세권', '1층']",37.529933,126.919182
2524618026,일반상가,월세,2/17,450,1억,140,70,북동향,20250509,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.520618,126.930465
2524617657,일반상가,월세,1/11,400,"3,650",92,92,남서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.526807,126.917195
2524617209,일반상가,월세,3/13,255,1억,210,100,남서향,20250509,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.52937,126.919918
2524633475,일반상가,월세,1/10,450,"5,000",39,39,남동향,20250509,"['25년이상', '융자금없는', '1층', '주차가능']",37.520814,126.929292
