articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524468322,일반상가,월세,1/5,"1,000",1억,303,248,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.521298,126.905454
2524501226,일반상가,월세,7/8,500,1억,343,343,서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.521529,126.905287
2524421667,일반상가,월세,1/3,20,200,16,16,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.519938,126.906704
2524426517,일반상가,월세,3/6,65,700,83,83,남동향,20250508,"['25년이상', '중층', '남동향']",37.519628,126.907895
2524114986,일반상가,월세,3/6,20,300,183,9,남동향,20250507,"['25년이상', '중층', '남동향']",37.519628,126.907895
2524216922,일반상가,월세,1/2,90,"1,000",11,11,남서향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.520041,126.905536
2524207687,일반상가,월세,2/5,700,1억,352,314,서향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.521142,126.905246
2523702077,단지내상가,월세,2/18,130,"1,500",57,57,북향,20250503,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.522219,126.906726
2523357514,일반상가,월세,5/5,700,"5,000",332,273,남향,20250502,"['25년이상', '역세권', '고층', '총5층']",37.521298,126.905454
2523398752,일반상가,월세,2/5,700,1억,352,314,서향,20250502,"['25년이상', '역세권', '중층', '주차가능']",37.521104,126.905421
2523370455,일반상가,월세,1/1,150,"3,000",17,16,남서향,20250502,"['25년이상', '역세권', '1층', '남서향']",37.520091,126.905532
2523387323,일반상가,월세,1/3,150,"3,000",26,17,남서향,20250501,"['25년이상', '융자금없는', '역세권', '1층']",37.520353,126.905687
2523200561,일반상가,월세,1/2,150,"3,000",21,16,남향,20250430,"['25년이상', '역세권', '1층', '총2층']",37.520144,126.905549
2522558032,일반상가,월세,1/2,160,"2,000",33,33,북향,20250428,"['25년이상', '역세권', '1층', '총2층']",37.522398,126.906109
2522600916,일반상가,월세,5/5,550,"5,000",96,82,북서향,20250428,"['25년이상', '융자금적은', '역세권', '고층']",37.521298,126.905454
2522512700,일반상가,매매,2/2,,12억,89,89,남동향,20250428,"['25년이상', '역세권', '급매', '고층']",37.520765,126.907334
2521492943,일반상가,월세,2/18,"1,200","1억 5,000",891,576,북향,20250422,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.522219,126.906726
2521414024,일반상가,월세,1/3,750,1억,198,198,남향,20250422,"['25년이상', '역세권', '1층', '총3층']",37.522417,126.905365
2521417218,일반상가,월세,1/3,140,"2,000",39,39,동향,20250422,"['25년이상', '융자금적은', '역세권', '1층']",37.520414,126.908097
2521507098,일반상가,월세,1/2,130,"1,500",23,23,남서향,20250422,"['25년이상', '1층', '총2층', '남서향']",37.519556,126.90769
2520704924,일반상가,월세,1/1,160,"2,000",40,40,북향,20250418,"['25년이상', '역세권', '1층', '북향']",37.522398,126.906109
2520899746,일반상가,월세,1/2,130,"1,500",39,39,남서향,20250418,"['25년이상', '1층', '총2층', '남서향']",37.519615,126.907636
2519661555,복합상가,매매,1/9,,"7억 5,000",13,13,북동향,20250414,"['25년이상', '역세권', '1층', '급매']",37.520603,126.905677
2519295629,일반상가,월세,2/5,800,"1억 5,000",352,352,서향,20250411,"['25년이상', '역세권', '중층', '주차가능']",37.521104,126.905421
