articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524614087,일반상가,월세,1/2,120,"5,000",28,28,남동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.513563,126.904882
2524480990,일반상가,월세,1/4,70,"1,000",38,38,북동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.513177,126.906326
2524442216,일반상가,월세,1/4,400,1억,220,140,남동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.514131,126.907696
2524415700,일반상가,월세,1/5,210,"4,000",75,75,북서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.515174,126.908804
2524556114,일반상가,월세,3/6,150,"1,500",115,110,북향,20250508,"['25년이내', '융자금없는', '역세권', '중층']",37.514933,126.908345
2524479429,일반상가,월세,3/5,150,"1,500",168,105,북향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.514982,126.908489
2524449979,복합상가,월세,1/5,280,"5,000",38,38,북서향,20250508,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.510232,126.904933
2524086248,일반상가,월세,B1/4,500,1억,347,347,북서향,20250507,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.514131,126.907696
2524042612,일반상가,월세,1/2,50,500,29,29,남향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.516414,126.913908
2523918058,일반상가,월세,B1/4,500,1억,370,347,남동향,20250507,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.514131,126.907696
2524118741,일반상가,월세,B1/3,100,"1,000",77,40,북서향,20250507,"['25년이상', '역세권', '지하층', '총3층']",37.512153,126.906677
2524167788,일반상가,월세,1/4,250,"5,000",80,77,남동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.514131,126.907696
2524087038,일반상가,월세,1/4,600,1억,220,208,남동향,20250507,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.514131,126.907696
2523916641,일반상가,월세,1/4,400,1억,69,69,남서향,20250507,"['25년이상', '역세권', '1층', '총4층']",37.513762,126.905833
2524085423,일반상가,월세,1/4,250,"5,000",66,24,남동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.514131,126.907696
