articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524661587,일반상가,월세,4/5,320,"4,000",191,152,서향,20250509,"['25년이상', '융자금없는', '역세권', '고층']",37.54777,126.972107
2524611651,일반상가,월세,2/3,300,"3,000",158,158,남서향,20250509,"['25년이상', '역세권', '중층', '총3층']",37.544181,126.971861
2524470222,일반상가,월세,1/2,120,"2,000",35,35,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.545661,126.973431
2524374082,일반상가,월세,1/2,680,1억,122,122,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.544386,126.971751
2524576790,복합상가,월세,3/3,320,"4,000",245,245,동향,20250508,"['25년이상', '역세권', '고층', '총3층']",37.544,126.971833
2524482954,단지내상가,월세,2/24,130,"3,000",85,48,북향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.54137,126.971696
2524483109,단지내상가,월세,2/24,120,"3,000",78,44,북향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.54137,126.971696
2524482370,단지내상가,월세,2/24,110,"2,500",73,42,북향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.54137,126.971696
2524350301,일반상가,월세,1/2,300,"4,000",90,81,남향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.544364,126.971627
2524469644,일반상가,월세,1/11,686,"1억 2,700",423,224,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.5427,126.971992
2524064908,일반상가,월세,1/4,600,"1억 3,000",60,52,남향,20250507,"['25년이상', '역세권', '1층', '천장에어컨']",37.542107,126.971671
2523875240,일반상가,월세,1/4,450,1억,143,143,동향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.547003,126.971526
2523879989,일반상가,월세,3/5,350,"5,000",111,111,동향,20250507,"['25년이상', '역세권', '중층', '총5층']",37.548555,126.971489
2523880204,일반상가,월세,2/5,300,"5,000",111,111,동향,20250507,"['25년이상', '역세권', '중층', '총5층']",37.548555,126.971489
2524066091,일반상가,매매,전체층/5,,105억,783,783,남향,20250507,"['25년이상', '역세권', '급매', '주차가능']",37.545498,126.97267
2523710262,일반상가,월세,1/1,200,"5,000",34,34,남동향,20250503,"['25년이상', '융자금없는', '역세권', '1층']",37.54606,126.974142
2523322620,일반상가,월세,1/5,650,1억,234,234,서향,20250502,"['25년이상', '융자금적은', '역세권', '1층']",37.54777,126.972107
2523362517,일반상가,월세,1/5,650,1억,231,231,서향,20250502,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.54777,126.972107
2523477849,일반상가,월세,1/4,550,"1억 9,000",188,188,남향,20250502,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.542107,126.971671
2523499070,단지내상가,월세,2/24,250,"6,000",163,93,동향,20250502,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.54137,126.971696
2523322720,단지내상가,월세,1/7,430,"5,000",137,137,서향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.547221,126.972092
2523496745,단지내상가,월세,2/24,230,"5,500",152,87,동향,20250502,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.54137,126.971696
2523500133,단지내상가,월세,2/24,360,"8,500",237,136,동향,20250502,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.54137,126.971696
2523572959,단지내상가,월세,1/24,251,"5,010",99,55,,20250502,"['2년이내', '역세권', '1층', '주차가능']",37.54137,126.971696
2523553716,일반상가,월세,2/2,150,"3,000",56,56,동향,20250502,"['25년이상', '역세권', '고층', '총2층']",37.543025,126.97223
2523328551,단지내상가,월세,1/5,900,"1억 2,000",207,165,동향,20250502,"['25년이상', '역세권', '1층', '총5층']",37.548555,126.971489
2523265151,일반상가,월세,2/2,227,"2,200",95,95,남동향,20250502,"['25년이상', '역세권', '고층', '총2층']",37.544091,126.971477
2523266717,일반상가,월세,1/7,430,"5,000",156,132,서향,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.547221,126.972092
2523194707,일반상가,월세,1/5,900,"1억 2,000",207,207,동향,20250430,"['25년이상', '융자금적은', '역세권', '1층']",37.548555,126.971489
2523124140,일반상가,월세,1/3,80,"1,000",33,33,동향,20250430,"['25년이상', '융자금없는', '역세권', '1층']",37.548267,126.971495
2523187887,단지내상가,월세,1/24,137,"2,730",55,30,동향,20250430,"['2년이내', '역세권', '1층', '주차가능']",37.54137,126.971696
2523211344,일반상가,월세,1/1,80,"1,000",23,23,동향,20250430,"['25년이상', '역세권', '1층', '동향']",37.54655,126.972169
2523191133,단지내상가,월세,1/24,765,"1억 5,300",304,169,,20250430,"['2년이내', '역세권', '1층', '주차가능']",37.54137,126.971696
2523191386,단지내상가,월세,1/24,336,"6,720",134,74,,20250430,"['2년이내', '역세권', '1층', '주차가능']",37.54137,126.971696
2523028519,일반상가,월세,2/3,300,"3,000",119,119,동향,20250430,"['25년이상', '융자금없는', '역세권', '중층']",37.544453,126.971518
2523194590,일반상가,월세,4/6,320,"4,000",191,152,북향,20250430,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.54777,126.972107
2523190919,단지내상가,월세,1/24,200,"3,990",79,44,,20250430,"['2년이내', '역세권', '1층', '주차가능']",37.54137,126.971696
2523191635,단지내상가,월세,1/24,315,"6,310",126,69,,20250430,"['2년이내', '역세권', '1층', '주차가능']",37.54137,126.971696
2522683477,일반상가,월세,B1/11,250,"2,000",148,132,동향,20250428,"['25년이상', '역세권', '지하층', '동향']",37.547655,126.97151
2522101228,일반상가,월세,2/3,250,"3,000",132,132,남향,20250425,"['25년이상', '역세권', '중층', '총3층']",37.541633,126.97156
2522101658,일반상가,월세,2/7,300,"3,000",156,156,서향,20250425,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.547221,126.972092
2522179502,일반상가,월세,3/4,150,"2,000",54,54,남동향,20250425,"['25년이상', '역세권', '고층', '총4층']",37.545379,126.972821
2522107886,일반상가,월세,2/4,300,"3,000",138,138,남동향,20250425,"['25년이상', '역세권', '중층', '총4층']",37.54242,126.972386
2522064705,일반상가,월세,1/2,300,"4,000",66,66,남향,20250424,"['25년이상', '융자금없는', '역세권', '1층']",37.544364,126.971627
2521834812,일반상가,매매,1/3,,38억,116,116,서향,20250424,"['25년이내', '역세권', '1층', '총3층']",37.543954,126.971638
2521963210,일반상가,월세,1/4,450,1억,143,138,동향,20250424,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.547003,126.971526
2521732474,복합상가,월세,2/24,100,"2,500",40,40,동향,20250423,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.54137,126.971696
2521732648,복합상가,월세,1/24,180,"4,000",79,43,동향,20250423,"['2년이내', '역세권', '1층', '주차가능']",37.54137,126.971696
2521397277,일반상가,월세,3/5,300,"5,000",111,109,동향,20250422,"['25년이상', '융자금적은', '역세권', '중층']",37.548555,126.971489
2521482633,일반상가,월세,1/4,450,1억,143,132,동향,20250422,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.547003,126.971526
2521396643,일반상가,월세,1/5,600,"8,000",111,109,동향,20250422,"['25년이상', '융자금적은', '역세권', '1층']",37.548555,126.971489
2521397486,일반상가,월세,1/7,430,"5,000",156,138,서향,20250422,"['25년이상', '역세권', '1층', '주차가능']",37.547221,126.972092
2521254853,단지내상가,월세,1/24,300,"5,000",169,94,북향,20250421,"['2년이내', '역세권', '1층', '주차가능']",37.54137,126.971696
2521255194,단지내상가,월세,1/24,220,"4,500",111,61,북향,20250421,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.54137,126.971696
