articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524476729,일반상가,월세,1/4,120,"2,000",26,26,남동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.539231,126.957408
2524440382,일반상가,월세,1/3,70,"1,000",26,26,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.53928,126.957639
2524282234,일반상가,월세,1/4,120,"2,000",98,29,남동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.539231,126.957408
2523900995,단지내상가,매매,1/4,,"13억 5,000",359,189,북동향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.539485,126.957229
2523252999,일반상가,월세,1/5,350,"5,000",109,109,북동향,20250502,"['2년이내', '융자금없는', '역세권', '1층']",37.539122,126.95831
2522519850,일반상가,월세,1/4,120,"2,000",39,26,남동향,20250428,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.539231,126.957408
2522559771,일반상가,월세,전체층/4,340,"5,000",91,91,북동향,20250428,"['4년이내', '역세권', '주차가능', '총4층']",37.539048,126.958417
2522402673,일반상가,월세,1/4,120,"2,000",28,26,남동향,20250426,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.539231,126.957408
2522232724,단지내상가,매매,2/4,,"2억 5,000",53,28,북동향,20250425,"['25년이내', '역세권', '중층', '관리비10만원이하']",37.539485,126.957229
2522231844,단지내상가,월세,4/4,120,"3,000",138,77,남서향,20250425,"['25년이내', '융자금없는', '역세권', '고층']",37.539485,126.957229
2521973112,단지내상가,월세,1/4,70,"1,000",65,33,서향,20250424,"['25년이내', '융자금적은', '역세권', '1층']",37.539485,126.957229
2521196223,일반상가,월세,1/4,120,"2,000",49,26,남동향,20250421,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.539231,126.957408
2520863043,일반상가,월세,B1/6,110,"1,000",45,36,남향,20250418,"['10년이내', '역세권', '지하층', '주차가능']",37.539283,126.958218
2520494416,일반상가,월세,전체층/4,120,"3,000",39,26,남동향,20250417,"['25년이상', '융자금없는', '역세권', '관리비10만원이하']",37.539231,126.957408
2520539037,단지내상가,매매,B1/6,,18억,633,572,북향,20250417,"['25년이내', '역세권', '지하층', '주차가능']",37.539485,126.957229
2519785738,일반상가,월세,1/3,70,"1,000",27,26,남동향,20250414,"['25년이상', '융자금없는', '역세권', '1층']",37.53928,126.957639
2519854286,단지내상가,매매,2/4,,"1억 9,000",52,27,남동향,20250414,"['25년이내', '역세권', '중층', '관리비20만원이하']",37.539485,126.957229
2518771713,단지내상가,월세,2/4,160,"3,000",47,47,남서향,20250409,"['25년이내', '융자금없는', '역세권', '중층']",37.539485,126.957229
