articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524476284,일반상가,월세,1/4,185,"4,200",33,33,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.5503,126.974852
2524581961,복합상가,월세,1/2,150,"2,000",56,56,북동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.55077,126.971809
2524366464,일반상가,월세,B1/9,400,"5,000",178,178,동향,20250508,"['4년이내', '역세권', '지하층', '동향']",37.552193,126.972112
2524214978,일반상가,월세,1/6,550,"6,000",113,113,동향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.550914,126.971827
2524023296,일반상가,월세,1/9,600,1억,121,121,동향,20250507,"['4년이내', '융자금없는', '역세권', '1층']",37.552193,126.972112
2524065208,일반상가,월세,B2/9,100,"2,000",32,32,동향,20250507,"['4년이내', '역세권', '지하층', '관리비20만원이하']",37.552193,126.972112
2523963770,일반상가,월세,B1/10,100,"1,000",107,107,동향,20250507,"['25년이상', '역세권', '지하층', '주차가능']",37.553821,126.972347
2524276183,일반상가,월세,1/9,600,1억,121,92,동향,20250507,"['4년이내', '역세권', '1층', '동향']",37.552193,126.972112
2523952841,일반상가,월세,1/2,300,"5,000",103,103,동향,20250506,"['25년이상', '융자금없는', '역세권', '1층']",37.552112,126.972095
2523323662,일반상가,월세,1/1,160,"3,000",45,45,동향,20250502,"['25년이상', '역세권', '1층', '동향']",37.55051,126.971736
2523454668,일반상가,월세,1/4,185,"4,000",34,33,북향,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.5503,126.974852
2523558850,일반상가,월세,B1/9,350,1억,178,175,동향,20250502,"['4년이내', '역세권', '지하층', '엘리베이터']",37.552193,126.972112
2523529423,일반상가,월세,1/6,900,2억,238,190,동향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.550914,126.971827
2523195412,일반상가,월세,B1/6,130,"2,000",121,99,동향,20250430,"['25년이내', '역세권', '지하층', '관리비10만원이하']",37.552955,126.976299
2522919244,일반상가,월세,1/9,500,"9,000",121,115,북향,20250429,"['4년이내', '역세권', '1층', '주차가능']",37.552193,126.972112
2522900109,복합상가,월세,3/7,400,"5,000",125,125,동향,20250429,"['25년이상', '역세권', '중층', '동향']",37.550914,126.971827
2522900199,복합상가,월세,1/7,550,"6,000",113,113,동향,20250429,"['25년이상', '역세권', '1층', '동향']",37.550914,126.971827
2522664350,일반상가,월세,1/9,250,"4,500",60,55,북향,20250428,"['4년이내', '역세권', '1층', '주차가능']",37.552193,126.972112
2522629953,일반상가,월세,B1/9,400,"4,000",178,165,북향,20250428,"['4년이내', '역세권', '지하층', '주차가능']",37.552193,126.972112
2522760927,일반상가,월세,2/9,500,1억,114,114,동향,20250428,"['4년이내', '역세권', '지상층(1층제외)', '동향']",37.552193,126.972112
2522563124,일반상가,월세,1/3,240,"4,000",35,34,서향,20250428,"['25년이상', '역세권', '1층', '총3층']",37.553419,126.974336
2522722435,일반상가,월세,1/2,100,"1,000",34,34,북서향,20250428,"['25년이상', '역세권', '1층', '총2층']",37.550238,126.97375
2522665800,복합상가,월세,1/9,300,"5,000",60,60,남동향,20250428,"['4년이내', '역세권', '1층', '남동향']",37.552193,126.972112
2522221087,일반상가,월세,1/2,300,"5,000",60,60,동향,20250425,"['25년이상', '역세권', '1층', '총2층']",37.552112,126.972095
2522212670,일반상가,월세,B1/9,400,"5,000",178,166,동향,20250425,"['4년이내', '융자금없는', '역세권', '지하층']",37.552193,126.972112
2522141904,일반상가,월세,1/2,100,"1,000",33,33,북향,20250425,"['25년이상', '역세권', '1층', '총2층']",37.550238,126.97375
2521916050,일반상가,월세,B2/9,100,"2,000",33,33,동향,20250424,"['4년이내', '역세권', '지하층', '동향']",37.552193,126.972112
