articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524334628,단지내상가,매매,1/24,,"5억 5,000",120,61,남동향,20250508,"['15년이내', '역세권', '1층', '남동향']",37.537914,126.967988
2524279709,단지내상가,월세,1/15,120,"5,000",27,27,동향,20250507,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.538861,126.969809
2523676927,일반상가,월세,1/3,250,"3,000",82,82,남향,20250503,"['25년이상', '융자금없는', '역세권', '1층']",37.53743,126.970139
2523580858,복합상가,매매,1/15,,"8억 3,000",91,51,남향,20250502,"['25년이내', '역세권', '1층', '주차가능']",37.537507,126.969665
2523408915,일반상가,월세,1/3,250,"3,000",92,82,남향,20250502,"['25년이상', '융자금적은', '역세권', '1층']",37.53743,126.970139
2523023965,단지내상가,월세,1/24,182,"2,000",114,58,서향,20250430,"['15년이내', '역세권', '1층', '주차가능']",37.537914,126.967988
2522627332,단지내상가,매매,1/28,,10억,92,92,남서향,20250428,"['25년이내', '역세권', '1층', '주차가능']",37.536098,126.969178
2522656165,단지내상가,월세,1/24,230,"3,000",109,56,서향,20250428,"['15년이내', '융자금없는', '역세권', '1층']",37.537914,126.967988
2522592404,복합상가,매매,1/34,,"4억 6,000",29,29,,20250428,"['25년이내', '역세권', '1층']",37.538627,126.970339
2521571232,단지내상가,월세,1/28,85,"1,000",26,26,북동향,20250422,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.536098,126.969178
2521293527,일반상가,월세,1/3,250,"3,000",99,82,남향,20250421,"['25년이상', '역세권', '1층', '총3층']",37.53743,126.970139
2520289097,단지내상가,매매,1/34,,"11억 5,000",212,106,동향,20250416,"['25년이내', '역세권', '1층', '주차가능']",37.538627,126.970339
2520329402,단지내상가,월세,1/13,120,"5,000",55,27,동향,20250416,"['25년이내', '융자금없는', '역세권', '1층']",37.538861,126.969809
2519135350,단지내상가,매매,1/34,,3억,48,38,,20250410,"['25년이내', '역세권', '1층', '주차가능']",37.538627,126.970339
