articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524160734,단지내상가,매매,4/4,,11억,935,454,서향,20250507,"['25년이내', '고층', '주차가능', '총4층']",37.534027,126.950417
2524286429,일반상가,월세,1/4,100,"1,000",60,59,북서향,20250507,"['10년이내', '1층', '총4층', '북서향']",37.534521,126.951978
2523801639,단지내상가,매매,1/4,,2억,50,21,남향,20250503,"['25년이내', '1층', '주차가능', '엘리베이터']",37.534027,126.950417
2523798540,단지내상가,매매,4/4,,5억,281,136,남서향,20250503,"['25년이내', '고층', '주차가능', '총4층']",37.534027,126.950417
2523680376,일반상가,월세,1/4,75,"1,000",58,29,남서향,20250503,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.534027,126.950417
2523798442,단지내상가,매매,1/4,,"2억 8,000",70,29,남서향,20250503,"['25년이내', '1층', '주차가능', '총4층']",37.534027,126.950417
2523588549,일반상가,매매,1/4,,"2억 2,000",60,24,남서향,20250502,"['25년이내', '1층', '주차가능', '총4층']",37.534027,126.950417
2523306723,복합상가,월세,2/4,40,800,58,24,남서향,20250502,"['25년이내', '중층', '관리비10만원이하', '주차가능']",37.534027,126.950417
2523517216,단지내상가,매매,1/1,,24억,146,72,서향,20250502,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.535362,126.952359
2523303151,복합상가,월세,1/4,40,500,14,10,남서향,20250502,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.534027,126.950417
2522957187,단지내상가,월세,1/4,70,"1,000",35,14,남향,20250429,"['25년이내', '융자금없는', '1층', '주차가능']",37.534027,126.950417
2522948038,단지내상가,매매,4/4,,"2억 7,000",152,74,남향,20250429,"['25년이내', '급매', '고층', '주차가능']",37.534027,126.950417
2522872742,일반상가,매매,2/4,,"2억 7,000",145,62,남서향,20250429,"['25년이내', '중층', '주차가능', '총4층']",37.534027,126.950417
2522143290,일반상가,월세,1/4,40,500,24,10,남동향,20250425,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.534027,126.950417
2521914021,일반상가,월세,2/4,40,300,20,8,서향,20250424,"['25년이내', '융자금없는', '중층', '관리비10만원이하']",37.534027,126.950417
2521804947,단지내상가,월세,1/4,60,"1,000",37,15,남동향,20250423,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.534027,126.950417
2521358450,일반상가,월세,1/4,100,"1,000",59,59,북서향,20250421,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.534521,126.951978
2520174936,일반상가,월세,4/5,220,"3,000",180,141,남서향,20250415,"['25년이내', '융자금없는', '고층', '주차가능']",37.534188,126.950942
2519918037,단지내상가,월세,1/1,200,"2,000",72,63,서향,20250414,"['25년이내', '1층', '주차가능', '서향']",37.535362,126.952359
2519325484,복합상가,월세,2/4,65,"1,000",69,29,남서향,20250411,"['25년이내', '중층', '관리비20만원이하', '주차가능']",37.534027,126.950417
2519329612,복합상가,매매,1/4,,"8,000",19,8,남서향,20250411,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.534027,126.950417
2519321941,복합상가,매매,1/4,,3억,79,33,남향,20250411,"['25년이내', '1층', '주차가능', '엘리베이터']",37.534027,126.950417
