articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524655298,일반상가,월세,1/2,269,"4,000",120,119,동향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.537278,126.960265
2524632731,일반상가,월세,3/5,250,"4,000",85,70,,20250509,"['2년이내', '융자금없는', '테라스', '역세권']",37.537742,126.959496
2524658408,일반상가,월세,1/5,300,"5,000",83,82,남서향,20250509,"['2년이내', '역세권', '1층', '주차가능']",37.537742,126.959496
2524477060,일반상가,월세,1/2,200,"4,000",21,21,동향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.538737,126.960848
2524473885,일반상가,매매,1/6,,"4억 5,000",20,19,남동향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.537714,126.958677
2524380499,일반상가,월세,2/4,200,"2,000",66,66,남서향,20250508,"['10년이내', '융자금없는', '역세권', '중층']",37.537045,126.958775
2524475716,일반상가,월세,1/2,80,"1,000",56,56,북동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.53681,126.959376
2524553440,일반상가,월세,2/2,90,"1,000",59,59,동향,20250508,"['25년이상', '역세권', '고층', '총2층']",37.537536,126.959357
2524476616,일반상가,월세,1/3,50,"1,000",9,9,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.538077,126.963142
2524514884,복합상가,월세,1/2,80,"1,000",83,56,서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.53681,126.959376
2524524496,일반상가,월세,3/5,250,"4,000",85,85,남향,20250508,"['2년이내', '역세권', '중층', '관리비20만원이하']",37.537742,126.959496
2524476869,일반상가,월세,1/3,120,"1,000",36,36,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.537174,126.958474
2524282399,일반상가,월세,1/3,100,"2,000",29,15,남서향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.5384,126.959068
2523916764,일반상가,매매,4/4,,39억,457,307,남서향,20250507,"['25년이상', '역세권', '고층', '총4층']",37.538401,126.958786
2523996563,일반상가,월세,1/5,120,"1,000",33,28,북향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.538795,126.960651
2524252360,일반상가,월세,2/4,200,"2,000",66,60,남동향,20250507,"['25년이내', '융자금없는', '역세권', '중층']",37.537045,126.958775
2523916523,일반상가,매매,B1/5,,57억,349,178,남서향,20250507,"['2년이내', '역세권', '지하층', '관리비20만원이하']",37.537742,126.959496
2524253358,일반상가,월세,1/2,70,700,26,26,남서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.538845,126.95881
2524273509,일반상가,월세,1/5,160,"2,000",80,80,북서향,20250507,"['15년이내', '역세권', '1층', '주차가능']",37.537779,126.95902
2523916718,일반상가,월세,1/5,100,"2,000",55,39,남향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.5384,126.959068
2523657823,일반상가,월세,1/3,100,"2,000",20,20,남서향,20250503,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.5384,126.959068
2523563929,일반상가,월세,1/4,300,"5,000",62,62,북향,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.537027,126.959389
2523272040,일반상가,월세,1/3,130,"3,000",46,46,,20250502,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.538077,126.963142
2523449512,일반상가,월세,1/5,300,"5,000",42,42,남서향,20250502,"['2년이내', '융자금없는', '역세권', '1층']",37.537742,126.959496
2523512056,일반상가,월세,1/3,50,"1,000",19,13,북향,20250502,"['25년이상', '역세권', '1층', '총3층']",37.538077,126.963142
2523558827,복합상가,월세,1/5,300,"5,000",83,83,남서향,20250502,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.537742,126.959496
2523443736,일반상가,월세,1/4,220,"4,000",60,60,남서향,20250502,"['15년이내', '융자금없는', '역세권', '1층']",37.537821,126.959447
2523579658,일반상가,월세,1/2,165,"1,500",57,57,동향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.536361,126.960798
2523124301,일반상가,월세,1/1,130,"1,500",29,29,남동향,20250430,"['25년이상', '역세권', '1층', '남동향']",37.537237,126.959326
2523144453,일반상가,월세,3/5,250,"4,000",85,84,남서향,20250430,"['2년이내', '테라스', '역세권', '중층']",37.537742,126.959496
2522877508,일반상가,월세,1/3,160,"2,000",62,62,남향,20250429,"['25년이내', '융자금없는', '역세권', '1층']",37.538326,126.959115
2522877024,일반상가,월세,1/3,100,"2,000",18,18,남서향,20250429,"['25년이상', '융자금없는', '역세권', '1층']",37.5384,126.959068
2522959091,일반상가,매매,1/5,,"4억 5,000",23,19,남서향,20250429,"['2년이내', '역세권', '1층', '주차가능']",37.537714,126.958677
2522531652,일반상가,월세,B1/4,60,"1,000",70,70,북동향,20250428,"['15년이내', '융자금없는', '역세권', '지하층']",37.537968,126.959863
2522759386,일반상가,월세,1/3,150,"3,000",52,52,남서향,20250428,"['25년이상', '역세권', '1층', '총3층']",37.538845,126.95881
2522647644,일반상가,월세,1/3,100,"2,000",19,19,동향,20250428,"['25년이상', '역세권', '1층', '총3층']",37.5384,126.959068
2522527174,일반상가,월세,1/2,600,1억,116,116,남서향,20250428,"['25년이상', '역세권', '1층', '총2층']",37.537414,126.959806
2522704532,일반상가,월세,2/4,180,"2,000",113,113,북서향,20250428,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.536187,126.960441
2522402597,일반상가,월세,1/2,200,"4,000",26,21,남동향,20250426,"['25년이내', '역세권', '1층', '총2층']",37.538737,126.960848
2522224971,일반상가,월세,1/2,80,"1,000",83,83,서향,20250425,"['25년이상', '역세권', '1층', '총2층']",37.53681,126.959376
2522125722,일반상가,월세,1/3,120,"1,000",37,37,남동향,20250425,"['25년이상', '역세권', '1층', '총3층']",37.537174,126.958474
2522287862,일반상가,월세,1/2,200,"4,000",38,25,동향,20250425,"['25년이내', '역세권', '1층', '총2층']",37.538737,126.960848
2522159742,일반상가,월세,1/3,120,"1,000",74,74,남동향,20250425,"['25년이상', '역세권', '1층', '총3층']",37.537174,126.958474
2522066461,일반상가,월세,1/3,170,"3,000",56,56,북향,20250424,"['25년이상', '융자금없는', '역세권', '1층']",37.537592,126.960059
2521768728,일반상가,월세,1/2,200,"4,000",33,21,동향,20250423,"['25년이내', '역세권', '1층', '총2층']",37.538724,126.960909
2521765673,단지내상가,월세,1/2,250,"3,000",32,32,북동향,20250423,"['25년이상', '융자금적은', '역세권', '1층']",37.536726,126.95983
2521512799,일반상가,월세,1/3,100,"2,000",59,15,남서향,20250422,"['25년이상', '역세권', '1층', '총3층']",37.5384,126.959068
2521117198,일반상가,월세,1/2,269,"4,000",75,75,북동향,20250421,"['25년이상', '융자금없는', '역세권', '1층']",37.537278,126.960265
2521333004,일반상가,월세,1/2,100,"2,000",19,19,북향,20250421,"['10년이내', '역세권', '1층', '총2층']",37.536723,126.958412
2520906482,일반상가,월세,1/1,150,"1,000",26,26,북서향,20250419,"['25년이상', '역세권', '1층', '북서향']",37.537679,126.960634
2520750195,일반상가,월세,B1/3,150,"3,000",150,150,서향,20250418,"['25년이상', '융자금없는', '역세권', '지하층']",37.538845,126.95881
2520743980,일반상가,월세,1/2,269,"4,000",120,120,북동향,20250418,"['25년이상', '역세권', '1층', '총2층']",37.537278,126.960265
2520865597,일반상가,월세,1/3,150,"3,000",82,66,남서향,20250418,"['25년이상', '역세권', '1층', '총3층']",37.538845,126.95881
2520463346,일반상가,월세,1/2,120,"3,000",56,56,서향,20250417,"['25년이상', '융자금적은', '역세권', '1층']",37.536042,126.960535
2520552887,복합상가,월세,1/3,200,"2,000",55,55,북서향,20250417,"['25년이내', '역세권', '1층', '총3층']",37.538549,126.959998
2520501645,일반상가,월세,1/3,50,"1,000",13,13,북동향,20250417,"['25년이상', '융자금없는', '역세권', '1층']",37.538077,126.963142
2520300900,일반상가,월세,1/2,200,"4,000",27,27,동향,20250416,"['25년이내', '융자금없는', '1층', '관리비10만원이하']",37.538737,126.960848
2519988191,일반상가,월세,1/4,90,"1,000",56,56,남향,20250415,"['25년이내', '역세권', '1층', '총4층']",37.538362,126.961716
2520034626,일반상가,월세,1/1,170,"2,000",27,27,북향,20250415,"['25년이상', '역세권', '1층', '북향']",37.536833,126.959676
2520031250,일반상가,월세,1/2,269,"4,000",58,58,동향,20250415,"['25년이상', '역세권', '1층', '총2층']",37.537278,126.960265
2520031615,일반상가,매매,1/2,,8억,12,12,남향,20250415,"['25년이상', '역세권', '1층', '총2층']",37.537043,126.958899
2519996738,일반상가,월세,1/2,110,"2,000",39,19,북향,20250415,"['25년이상', '역세권', '1층', '총2층']",37.538077,126.963142
2519789522,일반상가,월세,B1/4,60,"1,000",70,69,북동향,20250414,"['15년이내', '융자금없는', '역세권', '지하층']",37.537968,126.959863
2519835588,일반상가,월세,1/3,120,"1,000",74,37,남동향,20250414,"['25년이상', '역세권', '1층', '총3층']",37.537174,126.958474
2519635683,일반상가,월세,1/3,100,"2,000",15,15,남서향,20250414,"['25년이상', '융자금없는', '역세권', '1층']",37.5384,126.959068
2519501014,일반상가,월세,1/3,50,"1,000",11,11,,20250412,"['25년이상', '역세권', '1층', '총3층']",37.538077,126.963142
2519358162,일반상가,월세,1/5,300,"5,000",83,80,남동향,20250411,"['2년이내', '역세권', '1층', '주차가능']",37.537742,126.959496
2519099897,일반상가,월세,1/3,160,"2,000",59,54,서향,20250410,"['25년이내', '융자금없는', '역세권', '1층']",37.538326,126.959115
2518925005,일반상가,월세,1/2,80,"1,000",66,56,북동향,20250410,"['25년이상', '역세권', '1층', '총2층']",37.53681,126.959376
2518916615,일반상가,월세,1/4,150,"2,000",24,24,남서향,20250410,"['25년이상', '융자금없는', '역세권', '1층']",37.536187,126.960441
2518798577,일반상가,월세,1/1,120,"3,000",56,56,남서향,20250409,"['25년이상', '역세권', '1층', '남서향']",37.536042,126.960535
