articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524484180,일반상가,매매,B1/5,,"3억 3,000",18,12,남향,20250508,"['10년이내', '지하층', '주차가능', '총5층']",37.534221,126.955449
2524398739,일반상가,월세,1/5,70,"2,000",22,18,북서향,20250508,"['2년이내', '융자금없는', '1층', '관리비10만원이하']",37.533439,126.955241
2524547664,단지내상가,월세,1/19,135,"3,000",21,19,남동향,20250508,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.533771,126.957142
2524351811,단지내상가,월세,1/2,360,"7,000",78,78,남서향,20250508,"['25년이상', '융자금적은', '테라스', '1층']",37.534295,126.958402
2523421236,일반상가,월세,1/5,80,"2,000",30,18,남서향,20250507,"['2년이내', '융자금없는', '1층', '주차가능']",37.533439,126.955241
2524216872,일반상가,매매,1/6,,8억,31,31,남동향,20250507,"['25년이상', '1층', '주차가능', '남동향']",37.533893,126.95749
2524051677,일반상가,월세,1/2,250,"5,000",180,152,동향,20250507,"['4년이내', '융자금적은', '1층', '관리비10만원이하']",37.535513,126.960036
2524051316,일반상가,매매,2/5,,"2억 7,000",9,7,남동향,20250507,"['4년이내', '중층', '주차가능', '총5층']",37.534605,126.956389
2524051193,일반상가,매매,1/2,,"3억 8,000",10,6,남동향,20250507,"['25년이상', '1층', '주차가능', '에어컨']",37.535513,126.960036
2524051826,일반상가,매매,3/4,,3억,13,9,남서향,20250507,"['4년이내', '테라스', '고층', '관리비10만원이하']",37.5339,126.95583
2523516654,일반상가,월세,1/5,750,"8,000",320,297,남향,20250502,"['25년이상', '1층', '주차가능', '총5층']",37.533767,126.95669
2523350667,복합상가,월세,4/4,50,"1,000",56,56,남서향,20250502,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.533667,126.960589
2522943745,일반상가,월세,1/4,170,"2,000",38,38,남서향,20250429,"['10년이내', '융자금없는', '1층', '관리비10만원이하']",37.534656,126.958898
2522817091,단지내상가,월세,3/5,"1,000",2억,708,528,북서향,20250429,"['25년이상', '융자금적은', '중층', '주차가능']",37.533647,126.958289
2522817058,단지내상가,월세,B1/5,230,"4,000",264,165,북서향,20250429,"['25년이상', '융자금적은', '지하층', '주차가능']",37.533647,126.958289
2522565118,복합상가,월세,1/18,650,"7,000",237,183,남동향,20250428,"['4년이내', '융자금없는', '테라스', '1층']",37.532821,126.955685
2522575040,단지내상가,월세,1/19,140,"3,000",19,19,남향,20250428,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.533771,126.957142
2522409800,일반상가,월세,2/4,150,"1,500",46,46,북서향,20250426,"['10년이내', '중층', '관리비10만원이하', '총4층']",37.534656,126.958898
2522403119,일반상가,월세,1/14,650,"5,000",143,137,북동향,20250426,"['4년이내', '1층', '주차가능', '북동향']",37.534241,126.959457
2522450616,일반상가,월세,2/4,250,"3,000",76,76,북향,20250426,"['2년이내', '중층', '관리비10만원이하', '주차가능']",37.53481,126.959319
2522140029,일반상가,월세,1/1,400,"7,000",78,78,남동향,20250425,"['25년이상', '1층', '주차가능', '남동향']",37.534295,126.958402
2522005271,일반상가,월세,1/1,70,"1,000",26,26,남향,20250424,"['25년이상', '1층', '남향']",37.534452,126.957759
2522015810,일반상가,월세,4/4,150,"2,000",97,97,남동향,20250424,"['25년이상', '고층', '관리비10만원이하', '총4층']",37.535427,126.960155
2522006980,일반상가,월세,1/5,80,"1,000",20,20,남서향,20250424,"['4년이내', '융자금없는', '1층', '관리비10만원이하']",37.533304,126.956
2521675499,일반상가,월세,2/5,250,"3,000",161,161,남향,20250423,"['25년이상', '중층', '주차가능', '총5층']",37.533767,126.95669
2521607438,일반상가,월세,1/4,250,"3,000",76,76,북서향,20250422,"['2년이내', '융자금없는', '1층', '관리비10만원이하']",37.53481,126.959319
2521205496,일반상가,월세,1/2,70,"1,000",36,36,남향,20250421,"['25년이상', '1층', '주차가능', '인터폰']",37.53446,126.95649
2520908988,일반상가,월세,1/4,110,"1,050",30,30,남향,20250419,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.534702,126.958575
2520666801,단지내상가,월세,1/18,650,"7,000",199,199,남동향,20250418,"['4년이내', '1층', '주차가능', '남동향']",37.532821,126.955685
2520675636,일반상가,매매,1/1,,4억,21,21,북동향,20250417,"['25년이상', '1층', '북동향']",37.535759,126.959871
2520292167,일반상가,매매,1/4,,7억,25,25,북향,20250416,"['2년이내', '1층', '주차가능', '총4층']",37.53434,126.954997
2520194474,일반상가,매매,1/4,,"1억 5,000",11,8,남향,20250415,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.534696,126.958409
2519341258,일반상가,월세,1/2,70,"1,000",42,42,남향,20250411,"['25년이상', '융자금없는', '1층', '총2층']",37.534454,126.95658
2519284896,일반상가,월세,전체층/1,70,"1,000",23,18,북향,20250411,"['25년이상', '천장에어컨', '북향']",37.534273,126.955392
2519100359,일반상가,월세,1/18,700,"7,000",55,52,남동향,20250410,"['4년이내', '융자금없는', '1층', '주차가능']",37.532821,126.955685
2518972291,일반상가,월세,1/3,75,"1,000",25,25,남향,20250410,"['25년이상', '융자금없는', '1층', '총3층']",37.534467,126.957364
