articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524531820,일반상가,월세,1/4,100,"2,000",40,40,서향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.548709,126.97021
2524276328,일반상가,월세,1/5,100,"2,000",40,24,서향,20250507,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.548709,126.97021
2524154419,복합상가,매매,1/4,,4억,29,21,북동향,20250507,"['25년이내', '1층', '총4층', '북동향']",37.549514,126.964029
2523224094,일반상가,월세,1/3,100,"1,000",33,33,남향,20250502,"['25년이상', '1층', '총3층', '남향']",37.549538,126.969087
2523451980,일반상가,월세,2/3,60,700,188,39,서향,20250502,"['25년이상', '중층', '관리비10만원이하', '총3층']",37.548581,126.970249
2523504591,일반상가,월세,1/3,142,"2,000",62,62,남향,20250502,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.549233,126.966905
2522842028,일반상가,매매,B1/4,,7억,26,25,서향,20250429,"['25년이내', '지하층', '관리비10만원이하', '총4층']",37.547424,126.96867
2522562621,일반상가,월세,1/3,50,"1,000",26,15,남동향,20250428,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.549225,126.968702
2522704293,일반상가,월세,1/4,90,"2,000",33,27,남서향,20250428,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.548442,126.96362
2522121354,일반상가,월세,1/5,180,"2,000",41,40,남동향,20250425,"['25년이상', '1층', '관리비10만원이하', '천장에어컨']",37.548816,126.97022
2521917984,일반상가,월세,1/2,50,"1,000",15,15,남향,20250424,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.549225,126.968702
2521118423,일반상가,월세,1/2,50,"1,000",16,16,서향,20250421,"['25년이상', '융자금없는', '1층', '총2층']",37.549165,126.970162
2521118400,일반상가,월세,1/5,150,"2,000",42,42,서향,20250421,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.548709,126.97021
2520954145,일반상가,월세,1/1,55,"1,000",20,20,남향,20250419,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.549186,126.968704
2520534530,일반상가,매매,2/4,,"4억 4,000",43,43,남향,20250417,"['25년이내', '중층', '주차가능', '총4층']",37.550099,126.967974
2518851902,일반상가,월세,1/5,180,"2,000",40,40,서향,20250410,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.548709,126.97021
