articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524603384,단지내상가,월세,2/34,700,1억,191,100,서향,20250509,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.525937,126.967496
2524533664,복합상가,월세,2/43,300,"3,000",110,50,북동향,20250508,"['10년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.525937,126.967496
2524533218,복합상가,월세,2/43,200,"2,000",110,34,북동향,20250508,"['10년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.525937,126.967496
2524522477,복합상가,월세,1/34,500,"5,000",121,64,남서향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.525937,126.967496
2524522723,복합상가,월세,1/34,200,"3,000",43,23,북향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.525937,126.967496
2524522662,복합상가,월세,1/39,700,1억,194,102,남서향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.525937,126.967496
2524375046,일반상가,월세,5/7,350,"3,000",160,160,남서향,20250508,"['25년이상', '고층', '주차가능', '남서향']",37.524092,126.959324
2524552648,단지내상가,매매,B1/10,,2억,25,13,남동향,20250508,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.531105,126.955052
2524448515,일반상가,월세,1/4,150,"3,000",33,33,남동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.52367,126.968445
2524448207,일반상가,매매,1/1,,"29억 5,000",24,24,남동향,20250508,"['25년이상', '역세권', '1층', '남동향']",37.525915,126.965309
2524010015,단지내상가,월세,2/39,440,"7,000",229,78,북동향,20250507,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.526998,126.964778
2524131119,단지내상가,매매,2/2,,7억,80,42,동향,20250507,"['10년이내', '역세권', '고층', '주차가능']",37.525937,126.967496
2524062942,일반상가,월세,B1/3,150,"2,000",107,107,남동향,20250507,"['25년이상', '역세권', '지하층', '총3층']",37.526529,126.963965
2524062747,일반상가,월세,3/3,530,"8,000",194,175,남서향,20250507,"['25년이상', '역세권', '고층', '총3층']",37.526529,126.963965
2524299347,단지내상가,월세,1/39,300,"5,000",54,28,남향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.525937,126.967496
2523906183,단지내상가,월세,2/2,750,"8,000",349,158,동향,20250507,"['10년이내', '역세권', '고층', '주차가능']",37.525937,126.967496
2524110905,일반상가,월세,2/3,400,"5,000",99,99,남서향,20250507,"['25년이상', '융자금적은', '역세권', '중층']",37.526529,126.963965
2524110559,일반상가,월세,3/3,530,"8,000",194,194,남동향,20250507,"['25년이상', '융자금적은', '역세권', '고층']",37.526529,126.963965
2524130338,단지내상가,월세,1/2,270,"5,000",54,28,동향,20250507,"['10년이내', '융자금없는', '역세권', '1층']",37.525937,126.967496
2523881021,단지내상가,매매,1/2,,40억,121,64,북동향,20250507,"['4년이내', '역세권', '1층', '주차가능']",37.525937,126.967496
2524127925,단지내상가,월세,2/2,220,"3,000",73,38,북서향,20250507,"['10년이내', '융자금없는', '역세권', '고층']",37.525937,126.967496
2523880718,단지내상가,매매,2/2,,7억,81,42,서향,20250507,"['4년이내', '역세권', '고층', '주차가능']",37.525937,126.967496
2523880817,단지내상가,월세,1/2,210,"3,000",45,24,동향,20250507,"['4년이내', '역세권', '1층', '주차가능']",37.525937,126.967496
2524096381,단지내상가,매매,2/2,,"9억 8,000",65,34,동향,20250507,"['10년이내', '역세권', '고층', '주차가능']",37.525937,126.967496
2524288564,단지내상가,월세,1/34,200,"2,000",46,29,동향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.525937,126.967496
2524095880,단지내상가,월세,2/2,380,"3,000",136,71,동향,20250507,"['10년이내', '융자금없는', '역세권', '고층']",37.525937,126.967496
2524009382,복합상가,월세,2/2,690,1억,169,99,남동향,20250507,"['10년이내', '융자금없는', '역세권', '고층']",37.525937,126.967496
2524142258,일반상가,월세,5/7,"1,200","1억 3,000",495,347,동향,20250507,"['25년이상', '역세권', '고층', '주차가능']",37.525569,126.964043
2523878585,단지내상가,월세,1/39,300,"3,000",61,35,동향,20250507,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.525937,126.967496
2523879293,단지내상가,월세,2/2,350,"4,000",95,50,북동향,20250507,"['4년이내', '역세권', '고층', '주차가능']",37.525937,126.967496
2523878324,단지내상가,월세,1/2,330,"5,000",41,41,남향,20250507,"['4년이내', '역세권', '1층', '주차가능']",37.525937,126.967496
2523879007,단지내상가,월세,2/2,800,1억,52,52,동향,20250507,"['4년이내', '역세권', '고층', '주차가능']",37.525937,126.967496
2523878821,단지내상가,월세,1/2,700,1억,123,73,북동향,20250507,"['4년이내', '역세권', '1층', '주차가능']",37.525937,126.967496
