articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524655180,일반상가,월세,B1/3,"2,800","3억 3,600",310,207,북동향,20250509,"['2년이내', '역세권', '지하층', '주차가능']",37.53691,126.9992
2524613369,일반상가,월세,1/2,700,"5,000",247,247,남동향,20250509,"['25년이상', '1층', '주차가능', '총2층']",37.534058,126.998424
2524527225,일반상가,월세,B2/4,"1,800",5억,497,497,북향,20250508,"['25년이내', '융자금없는', '역세권', '지하층']",37.538487,127.002041
2524534782,일반상가,월세,3/4,270,"3,000",99,99,남동향,20250508,"['25년이상', '고층', '관리비10만원이하', '총4층']",37.534771,127.010274
2524513178,일반상가,월세,1/2,930,"1억 5,000",89,89,남향,20250508,"['25년이상', '1층', '총2층', '남향']",37.534719,127.007413
2524518082,일반상가,월세,4/5,210,"2,500",69,69,북향,20250508,"['25년이상', '융자금없는', '고층', '관리비20만원이하']",37.533009,127.00648
2524342959,단지내상가,월세,1/12,900,2억,204,91,동향,20250508,"['2년이내', '융자금없는', '1층', '주차가능']",37.533662,127.006794
2524397538,일반상가,월세,3/6,550,"7,000",133,133,서향,20250508,"['10년이내', '역세권', '중층', '주차가능']",37.531665,127.005929
2524524488,일반상가,월세,1/5,"1,700",3억,131,131,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.536796,127.000056
2524515934,일반상가,월세,3/3,150,"1,500",93,93,북향,20250508,"['25년이상', '고층', '총3층', '북향']",37.533211,127.005151
2524450126,일반상가,월세,2/2,300,"3,000",45,40,,20250508,"['25년이상', '고층', '총2층']",37.535402,127.000813
2524349055,일반상가,월세,1/10,220,"2,000",33,33,동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.530943,127.007361
2524523554,일반상가,월세,1/7,"3,000",4억,351,351,동향,20250508,"['25년이상', '1층', '주차가능', '동향']",37.534112,127.006535
2524501477,복합상가,월세,1/3,"7,220","8억 6,640",944,631,북서향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.53691,126.9992
2524399730,단지내상가,매매,1/18,,"13억 4,900",89,37,동향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.532397,127.007264
2524554824,일반상가,월세,7/15,"3,000",5억,1808,931,남향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.535086,126.99792
2524524089,일반상가,월세,2/2,600,"7,000",80,80,남향,20250508,"['25년이상', '고층', '총2층', '남향']",37.53641,126.998725
2524523734,일반상가,월세,B1/2,"1,200",1억,165,165,북서향,20250508,"['2년이내', '지하층', '주차가능', '총2층']",37.536493,126.997401
2524481749,일반상가,월세,B1/10,"3,200",4억,823,819,남향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.535028,126.997164
2524578387,일반상가,매매,B1/4,,23억,348,348,동향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.54243,127.002706
2524556580,일반상가,월세,B1/4,480,"5,000",294,294,북동향,20250508,"['25년이상', '지하층', '관리비20만원이하', '총4층']",37.533259,127.004197
2524531565,일반상가,월세,B1/4,700,1억,187,187,남향,20250508,"['2년이내', '지하층', '주차가능', '총4층']",37.533718,127.002792
2524555498,일반상가,월세,9/11,900,"1억 5,000",153,138,서향,20250508,"['10년이내', '융자금없는', '고층', '주차가능']",37.533541,127.006525
2524532681,일반상가,월세,1/6,759,"9,100",243,130,남동향,20250508,"['25년이상', '1층', '주차가능', '남동향']",37.534875,127.007569
2524533011,일반상가,월세,B1/6,"1,622",2억,670,470,남동향,20250508,"['25년이상', '지하층', '주차가능', '남동향']",37.534875,127.007569
2524570730,일반상가,월세,B1/10,"2,800",4억,819,819,남향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.535028,126.997164
2524529276,복합상가,월세,B2/4,350,"3,500",119,119,북향,20250508,"['25년이상', '지하층', '주차가능', '총4층']",37.533337,127.003236
2524563841,일반상가,월세,1/7,"3,000",4억,395,330,동향,20250508,"['25년이상', '1층', '주차가능', '동향']",37.534112,127.006535
2524556697,일반상가,월세,B1/2,"1,200",1억,171,165,동향,20250508,"['2년이내', '지하층', '주차가능', '총2층']",37.536493,126.997401
2524306496,일반상가,월세,2/4,200,1억,59,59,동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.53678,126.999722
2524505772,단지내상가,월세,B1/18,330,"4,000",212,90,동향,20250508,"['10년이내', '융자금없는', '역세권', '지하층']",37.532397,127.007264
2524348650,단지내상가,월세,1/13,190,"5,000",31,31,서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.530302,127.007738
2524396400,일반상가,월세,2/4,275,"3,000",103,103,서향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.532598,127.006239
2524300420,일반상가,월세,B1/2,300,"5,000",45,45,남동향,20250508,"['25년이상', '융자금적은', '지하층', '총2층']",37.537787,126.994976
2524498657,복합상가,월세,3/3,220,"3,000",28,28,남동향,20250508,"['25년이상', '고층', '총3층', '남동향']",37.535184,127.010479
2524502678,복합상가,월세,2/5,200,"4,000",78,78,남향,20250508,"['15년이내', '중층', '관리비10만원이하', '총5층']",37.53396,127.00541
2524504198,복합상가,월세,1/3,"2,140","2억 5,680",236,158,북서향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.53691,126.9992
2524531162,일반상가,월세,6/6,320,"4,000",60,60,남향,20250508,"['15년이내', '고층', '남향', '관리비30만원이하']",37.533944,127.005592
2524356051,일반상가,매매,1/15,,"11억 5,000",35,25,북향,20250508,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.534469,127.007913
2524530664,일반상가,월세,1/11,700,1억,102,102,남서향,20250508,"['10년이내', '융자금없는', '1층', '주차가능']",37.533541,127.006525
2524535452,단지내상가,월세,3/6,830,"1억 5,000",160,160,북서향,20250508,"['10년이내', '테라스', '중층', '주차가능']",37.535266,127.009752
2524530859,일반상가,월세,4/11,550,1억,98,98,서향,20250508,"['10년이내', '중층', '주차가능', '서향']",37.533541,127.006525
2524568325,일반상가,월세,2/3,320,"4,000",54,54,북동향,20250508,"['25년이상', '중층', '천장에어컨', '총3층']",37.535184,127.010479
2524530090,일반상가,월세,9/11,900,"1억 5,000",138,138,서향,20250508,"['10년이내', '고층', '주차가능', '서향']",37.533541,127.006525
2524524926,일반상가,월세,B1/5,500,"5,000",167,148,남향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.536796,127.000056
2524328499,단지내상가,월세,1/18,"2,500",3억,522,281,남서향,20250508,"['25년이내', '1층', '주차가능', '남서향']",37.53358,127.008687
2523891400,일반상가,월세,3/4,860,"1억 5,000",174,140,남향,20250507,"['25년이내', '고층', '주차가능', '총4층']",37.533876,127.001198
2523822767,일반상가,월세,4/8,500,1억,89,89,서향,20250507,"['4년이내', '중층', '주차가능', '서향']",37.534004,127.006006
2523891454,일반상가,월세,2/4,"1,860",3억,315,315,남향,20250507,"['25년이내', '중층', '주차가능', '총4층']",37.533876,127.001198
2523789418,일반상가,월세,2/8,"2,198",3억,391,259,남서향,20250507,"['2년이내', '지상층(1층제외)', '주차가능', '남서향']",37.534083,127.008395
2523893134,일반상가,월세,4/5,230,"2,500",99,69,남서향,20250507,"['25년이상', '고층', '관리비20만원이하', '주차가능']",37.533009,127.00648
2524192949,일반상가,월세,B1/10,"3,200",4억,872,819,남향,20250507,"['25년이상', '역세권', '지하층', '주차가능']",37.535028,126.997164
2524268167,일반상가,월세,B1/8,"2,500",3억,565,280,남서향,20250507,"['2년이내', '지하층', '주차가능', '남서향']",37.534083,127.008395
2524118952,일반상가,월세,3/6,800,"8,000",176,176,남동향,20250507,"['2년이내', '중층', '주차가능', '남동향']",37.533671,127.005708
2524258802,단지내상가,월세,B1/3,160,"2,000",73,73,남서향,20250507,"['25년이상', '융자금적은', '지하층', '총3층']",37.533338,127.006763
2524126672,일반상가,월세,B1/2,"1,200",1억,170,170,서향,20250507,"['2년이내', '지하층', '주차가능', '총2층']",37.536493,126.997401
2524122948,단지내상가,월세,B3/18,"1,200",2억,535,268,남서향,20250507,"['25년이내', '지하층', '주차가능', '남서향']",37.53358,127.008687
2524286014,일반상가,월세,2/4,320,"5,000",88,88,서향,20250507,"['25년이내', '중층', '관리비10만원이하', '총4층']",37.534837,127.001095
2523891842,일반상가,월세,1/12,"2,000",4억,391,174,동향,20250507,"['2년이내', '1층', '주차가능', '동향']",37.533662,127.006794
2524288608,일반상가,월세,5/5,400,"5,000",55,55,남향,20250507,"['25년이상', '역세권', '고층', '주차가능']",37.536796,127.000056
2523892331,일반상가,월세,B1/5,"1,500",3억,184,184,남서향,20250507,"['2년이내', '지하층', '주차가능', '총5층']",37.535558,127.010139
2524181314,단지내상가,월세,3/4,"1,300",2억,607,328,북향,20250507,"['25년이내', '융자금없는', '고층', '주차가능']",37.53358,127.008687
2523891194,일반상가,월세,2/4,"2,000",3억,379,317,서향,20250507,"['4년이내', '중층', '주차가능', '엘리베이터']",37.537013,127.012761
2523822562,일반상가,월세,B1/2,320,"5,000",60,57,북동향,20250507,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.536554,126.998325
2524123204,일반상가,월세,1/5,"1,300",2억,167,145,남서향,20250507,"['2년이내', '1층', '주차가능', '총5층']",37.535558,127.010139
2523947574,일반상가,매매,2/15,,12억,147,71,남향,20250507,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.535086,126.99792
2524119718,일반상가,월세,1/2,"3,500",3억,329,329,남동향,20250507,"['15년이내', '1층', '주차가능', '총2층']",37.536594,126.998099
2523814638,일반상가,월세,4/4,"1,000",2억,138,138,동향,20250507,"['2년이내', '역세권', '고층', '주차가능']",37.531193,127.009968
2523892114,일반상가,월세,1/12,"1,000",2억,205,83,동향,20250507,"['2년이내', '1층', '주차가능', '동향']",37.533662,127.006794
2524288975,일반상가,월세,1/2,350,"5,000",99,43,남향,20250507,"['25년이상', '1층', '주차가능', '총2층']",37.536521,126.998765
2523891302,일반상가,월세,4/8,"1,703","2억 5,000",413,281,남향,20250507,"['2년이내', '중층', '주차가능', '남향']",37.534083,127.008395
2523737602,단지내상가,월세,1/12,"1,000",2억,186,83,동향,20250503,"['2년이내', '1층', '주차가능', '천장에어컨']",37.533662,127.006794
2523757355,일반상가,월세,2/6,720,1억,147,147,남서향,20250503,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.531665,127.005929
2523788919,일반상가,월세,1/5,"3,500",6억,531,531,남서향,20250503,"['10년이내', '역세권', '1층', '주차가능']",37.537084,127.00139
2523724221,일반상가,월세,1/4,180,"3,000",18,18,남동향,20250503,"['25년이상', '1층', '총4층', '남동향']",37.534771,127.010274
2523737964,단지내상가,월세,2/12,460,1억,116,46,남동향,20250503,"['2년이내', '지상층(1층제외)', '주차가능', '남동향']",37.533662,127.006794
2523739363,단지내상가,매매,2/18,,10억,128,51,동향,20250503,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.532397,127.007264
2523784282,일반상가,월세,B2/4,"1,800",5억,586,497,북서향,20250503,"['25년이내', '역세권', '지하층', '주차가능']",37.538487,127.002041
2523636329,일반상가,월세,2/2,145,"2,000",43,43,남동향,20250503,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.532315,127.005642
