articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524632576,일반상가,월세,1/5,500,"5,000",178,178,남서향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.541668,126.962329
2524377934,일반상가,월세,B1/5,150,"2,000",188,188,동향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.541771,126.961922
2524472878,단지내상가,월세,1/3,400,"5,000",109,81,남향,20250508,"['4년이내', '융자금없는', '1층', '주차가능']",37.547598,126.962701
2524311808,일반상가,월세,1/5,500,"5,000",178,149,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.541668,126.962329
2524591514,일반상가,월세,3/4,500,1억,167,167,북동향,20250508,"['4년이내', '융자금없는', '역세권', '고층']",37.539758,126.961101
2524197737,일반상가,월세,B1/5,350,"5,000",197,197,북향,20250507,"['25년이상', '역세권', '지하층', '주차가능']",37.540043,126.961991
2524194841,일반상가,월세,1/5,150,"2,000",19,19,서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.539677,126.961684
2523623683,일반상가,월세,1/5,280,"3,000",105,102,동향,20250503,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.541319,126.961239
2523356412,일반상가,월세,3/4,320,"5,000",128,104,북동향,20250502,"['4년이내', '역세권', '고층', '주차가능']",37.542919,126.960323
2523504806,일반상가,월세,3/5,230,"5,000",184,180,북동향,20250502,"['25년이상', '역세권', '중층', '엘리베이터']",37.539677,126.961684
2523598043,일반상가,월세,1/5,280,"3,000",105,105,북동향,20250502,"['25년이내', '테라스', '역세권', '1층']",37.541319,126.961239
2523376223,일반상가,월세,3/5,320,"5,000",184,184,서향,20250501,"['25년이상', '융자금없는', '역세권', '중층']",37.53977,126.961798
2523263024,일반상가,월세,B1/5,180,"3,000",82,82,남동향,20250501,"['2년이내', '마당', '지하층', '관리비20만원이하']",37.545532,126.958462
2523325841,일반상가,월세,3/5,320,"5,000",184,150,서향,20250501,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.53977,126.961798
2523196186,단지내상가,월세,B2/1,130,"2,000",66,34,남동향,20250430,"['2년이내', '융자금없는', '지하층', '관리비10만원이하']",37.547598,126.962701
2523177359,복합상가,월세,1/5,110,"1,000",24,24,동향,20250430,"['25년이내', '역세권', '1층', '주차가능']",37.539905,126.962358
2523156719,일반상가,월세,3/5,320,"5,000",184,150,서향,20250430,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.539677,126.961684
2523016446,일반상가,월세,2/4,80,"1,500",36,36,남동향,20250430,"['25년이상', '역세권', '중층', '총4층']",37.540601,126.958868
2522636080,일반상가,월세,1/3,130,"2,500",24,24,서향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.540839,126.962247
2522707223,일반상가,월세,1/4,450,"6,000",148,148,남향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.541432,126.962563
2522351485,일반상가,월세,1/3,91,"1,500",46,46,남향,20250426,"['25년이상', '1층', '총3층', '남향']",37.548559,126.96325
