articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524616787,일반상가,월세,B1/3,90,"1,000",44,33,북서향,20250509,"['10년이내', '지하층', '관리비10만원이하', '총3층']",37.546911,126.981609
2524518659,일반상가,월세,1/3,110,"1,500",56,56,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.552299,126.976576
2524374839,일반상가,월세,1/2,100,"1,200",42,42,남서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.54949,126.982156
2524533658,일반상가,월세,1/2,180,"3,000",44,44,동향,20250508,"['25년이상', '융자금없는', '1층', '총2층']",37.548632,126.977972
2524470637,일반상가,월세,B1/5,252,"4,800",234,195,남향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.545945,126.97697
2524403952,일반상가,월세,1/5,130,"1,500",59,33,남향,20250508,"['10년이내', '1층', '주차가능', '총5층']",37.551281,126.981355
2524600228,일반상가,월세,1/5,400,"6,000",81,81,서향,20250508,"['2년이내', '역세권', '1층', '천장에어컨']",37.553002,126.976708
2524414505,일반상가,월세,2/2,250,"3,000",48,44,남동향,20250508,"['25년이상', '융자금없는', '고층', '총2층']",37.54765,126.983949
2524545548,일반상가,월세,1/3,140,"2,000",50,50,남동향,20250508,"['25년이상', '융자금없는', '1층', '총3층']",37.549772,126.982015
2524123699,일반상가,월세,1/5,380,"5,000",109,109,남동향,20250507,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.545943,126.9773
2524276107,일반상가,월세,1/3,300,2억,147,113,,20250507,"['25년이상', '1층', '총3층', '현관보안']",37.546444,126.981547
2523803207,일반상가,월세,B1/4,70,"1,000",83,72,북향,20250503,"['25년이상', '지하층', '관리비10만원이하', '총4층']",37.54888,126.976235
2523217398,복합상가,월세,1/4,150,"3,000",25,25,남동향,20250502,"['10년이내', '1층', '주차가능', '총4층']",37.550642,126.979098
2523598774,일반상가,월세,1/1,150,"2,000",68,26,남향,20250502,"['25년이상', '테라스', '1층', '현관보안']",37.548764,126.980553
2523512839,일반상가,월세,1/5,280,"5,000",71,69,서향,20250502,"['2년이내', '역세권', '1층', '총5층']",37.552991,126.976775
2523520135,일반상가,월세,1/5,60,"1,000",14,14,남동향,20250502,"['10년이내', '역세권', '1층', '총5층']",37.552838,126.976905
2523205259,일반상가,월세,1/4,300,"3,000",119,119,북서향,20250430,"['25년이내', '역세권', '1층', '주차가능']",37.54682,126.97587
2523118089,일반상가,월세,1/4,110,"1,000",36,5,동향,20250430,"['25년이상', '테라스', '1층', '관리비10만원이하']",37.549205,126.975989
2523124815,일반상가,월세,2/5,600,1억,348,348,,20250430,"['25년이상', '융자금없는', '중층', '총5층']",37.550004,126.976162
2523099778,일반상가,월세,전체층/4,500,1억,125,125,남향,20250430,"['2년이내', '융자금없는', '주차가능', '총4층']",37.547558,126.983042
2522818382,단지내상가,월세,B1/6,380,"5,000",73,59,서향,20250429,"['2년이내', '지하층', '관리비10만원이하', '주차가능']",37.547204,126.978268
