articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524635156,일반상가,월세,1/4,100,"1,000",43,43,북향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.624519,126.918868
2524622659,일반상가,월세,1/2,115,"3,500",62,62,동향,20250509,"['25년이상', '융자금없는', '1층', '총2층']",37.614486,126.912117
2524622912,일반상가,전세,1/2,,"5,000",33,33,동향,20250509,"['25년이상', '융자금없는', '1층', '총2층']",37.614486,126.912117
2524634946,일반상가,월세,1/3,160,"3,000",61,61,남서향,20250509,"['25년이상', '1층', '총3층', '남서향']",37.624715,126.919352
2524352943,일반상가,월세,5/5,250,"7,000",177,177,남동향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.617427,126.919149
2524356994,일반상가,월세,B1/4,70,700,132,132,북향,20250508,"['25년이상', '융자금없는', '지하층', '관리비10만원이하']",37.613856,126.912795
2524361377,일반상가,월세,2/3,60,"1,000",48,48,북서향,20250508,"['25년이상', '중층', '총3층', '북서향']",37.625862,126.91848
2524361140,일반상가,월세,1/3,90,"2,000",21,21,북향,20250508,"['25년이상', '1층', '총3층', '북향']",37.623334,126.917676
2524625176,일반상가,월세,1/5,140,"4,000",23,23,동향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.617427,126.919149
2524355341,일반상가,월세,2/4,150,"3,000",145,145,남서향,20250508,"['25년이내', '중층', '관리비10만원이하', '주차가능']",37.616721,126.912882
2524436485,일반상가,월세,2/4,180,"3,000",97,97,북향,20250508,"['25년이내', '역세권', '중층', '총4층']",37.617973,126.917884
2524358939,일반상가,월세,6/6,150,"3,000",116,116,남동향,20250508,"['25년이상', '역세권', '고층', '남동향']",37.619609,126.919193
2524594903,단지내상가,매매,1/17,,4억,16,16,남동향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.623094,126.919393
2524419868,일반상가,월세,1/5,60,"1,000",37,37,동향,20250508,"['10년이내', '융자금없는', '역세권', '1층']",37.621421,126.917408
2524356445,일반상가,월세,1/4,100,"1,000",87,43,북서향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.624519,126.918868
2524353053,일반상가,월세,1/3,260,"5,000",99,99,북향,20250508,"['15년이내', '역세권', '1층', '총3층']",37.620447,126.919051
2524357300,일반상가,월세,1/4,220,"3,000",44,44,남동향,20250508,"['25년이내', '역세권', '1층', '총4층']",37.618461,126.919039
2524357201,일반상가,월세,1/4,140,"2,000",33,33,북동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.619218,126.91815
2524353371,일반상가,월세,3/3,130,"2,000",74,74,남동향,20250508,"['25년이상', '역세권', '고층', '총3층']",37.619076,126.91944
2524357112,일반상가,월세,1/3,150,"1,000",52,52,북향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.620418,126.918725
2524354952,일반상가,월세,1/4,80,"1,000",106,42,남향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.615176,126.915685
2524349557,일반상가,월세,1/3,230,"4,000",39,39,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.620801,126.919109
2524355122,일반상가,월세,2/4,80,"1,500",59,59,북서향,20250508,"['25년이상', '역세권', '중층', '총4층']",37.619733,126.919012
2524357725,일반상가,월세,1/4,220,"4,000",282,40,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.611965,126.916611
2524356332,복합상가,월세,1/2,100,"1,500",72,26,남서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.620201,126.91635
2524356979,일반상가,월세,2/4,600,1억,160,160,동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.618354,126.919712
2524357383,일반상가,월세,1/3,150,"2,000",89,49,서향,20250508,"['25년이상', '1층', '총3층', '서향']",37.623666,126.917933
2524355953,일반상가,월세,1/4,100,"1,000",65,65,남서향,20250508,"['15년이내', '1층', '세대당 1.5대이상', '총4층']",37.621801,126.912672
2524359639,일반상가,월세,B1/3,150,"1,000",144,144,북향,20250508,"['25년이상', '역세권', '지하층', '총3층']",37.618139,126.917499
2524359135,일반상가,월세,1/2,150,"3,000",49,49,남서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.619774,126.917369
2524353558,일반상가,월세,1/5,140,"3,000",40,40,북동향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.61847,126.916648
2524353282,일반상가,월세,1/4,100,"2,000",24,24,남향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.618475,126.917272
2524354675,일반상가,월세,1/5,125,"3,000",46,44,북서향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.613494,126.914474
2524354765,일반상가,월세,1/3,180,"4,000",79,79,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.620648,126.917016
2524353176,일반상가,월세,1/3,70,"2,000",39,39,북동향,20250508,"['25년이상', '1층', '총3층', '북동향']",37.619178,126.915049
2524493931,일반상가,월세,3/4,230,"3,000",157,157,남동향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.615709,126.917979
2524525475,일반상가,월세,1/2,250,"3,000",241,241,남동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.61523,126.916831
2524377822,일반상가,월세,1/3,140,"1,500",33,33,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.622307,126.919498
2524361591,일반상가,월세,2/6,120,"1,500",53,53,남동향,20250508,"['25년이상', '지상층(1층제외)', '남동향']",37.618793,126.915913
2524361669,일반상가,월세,1/3,100,"1,500",33,33,남동향,20250508,"['25년이상', '1층', '총3층', '남동향']",37.620868,126.916347
2524360948,일반상가,월세,2/6,110,"2,000",81,81,북향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '북향']",37.620675,126.917626
2524343380,일반상가,월세,1/3,70,"1,000",33,33,북향,20250508,"['25년이상', '1층', '총3층', '북향']",37.620341,126.915563
2524479965,일반상가,월세,1/4,400,1억,66,66,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.612289,126.916048
2524353461,일반상가,월세,1/4,300,"7,000",138,138,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.622699,126.919186
2524355237,일반상가,월세,1/5,160,"3,000",40,40,남향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.620928,126.917249
2524302993,일반상가,월세,5/5,170,"5,000",197,197,북동향,20250508,"['25년이내', '융자금없는', '고층', '관리비20만원이하']",37.623276,126.917529
2524343118,일반상가,월세,1/14,83,"1,000",49,49,북향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.612643,126.916144
2524327170,일반상가,월세,1/2,100,"1,500",26,26,남동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.620201,126.91635
2524327151,일반상가,월세,1/2,150,"2,700",49,49,남동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.620143,126.916495
2524351276,일반상가,월세,1/2,130,"1,000",85,49,남서향,20250508,"['25년이상', '1층', '총2층', '남서향']",37.617195,126.917102
2524349352,일반상가,월세,1/5,190,"2,000",66,66,북동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.614295,126.91726
2524351417,일반상가,월세,1/4,250,"5,000",90,90,북서향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.618673,126.918311
2524342074,일반상가,월세,1/5,70,"2,000",33,33,북서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.620616,126.917265
2524349629,일반상가,월세,B1/5,170,"2,000",119,119,남동향,20250508,"['25년이내', '역세권', '지하층', '총5층']",37.619714,126.918425
2524343306,일반상가,월세,B1/5,200,"3,000",131,131,남향,20250508,"['25년이내', '역세권', '지하층', '총5층']",37.620093,126.919003
2524428272,일반상가,월세,1/3,200,"4,000",72,60,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.619437,126.919341
2524359901,일반상가,월세,2/5,250,"3,000",118,118,남동향,20250508,"['25년이내', '역세권', '중층', '총5층']",37.619714,126.918425
2524351341,일반상가,월세,1/4,100,"2,000",59,59,남향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.617289,126.917152
2524349945,일반상가,월세,1/4,70,"1,500",26,26,북서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.619429,126.917594
2524351711,일반상가,월세,1/2,185,"4,000",250,23,북서향,20250508,"['25년이내', '역세권', '1층', '총2층']",37.619401,126.918371
2524350929,일반상가,월세,2/5,220,"3,000",147,147,남동향,20250508,"['25년이내', '역세권', '중층', '총5층']",37.618755,126.918697
2524350229,일반상가,월세,1/5,120,"2,000",102,66,서향,20250508,"['25년이상', '1층', '총5층', '서향']",37.6139,126.912665
2524351062,일반상가,월세,1/4,60,"1,000",35,35,동향,20250508,"['25년이상', '1층', '총4층', '동향']",37.621661,126.916563
2524349719,일반상가,월세,3/5,400,"8,000",168,168,남동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.620372,126.916078
2524351186,일반상가,월세,1/4,130,"2,000",91,91,남향,20250508,"['25년이내', '1층', '주차가능', '총4층']",37.613941,126.913244
2524350294,일반상가,월세,1/5,160,"2,000",145,40,북서향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.619162,126.915688
2524359549,일반상가,월세,1/3,60,"1,000",33,33,북동향,20250508,"['25년이상', '1층', '총3층', '북동향']",37.621042,126.914287
2524349494,일반상가,월세,1/6,850,"1억 6,000",320,320,동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.621265,126.918888
2524358182,일반상가,월세,2/4,352,"5,000",184,184,북서향,20250508,"['25년이상', '역세권', '중층', '총4층']",37.619578,126.918119
2524349780,일반상가,월세,1/6,63,"1,000",24,24,서향,20250508,"['10년이내', '1층', '주차가능', '서향']",37.61525,126.91323
2524351633,일반상가,월세,B1/4,150,"2,000",90,90,서향,20250508,"['25년이상', '역세권', '지하층', '총4층']",37.619669,126.919369
2524350139,일반상가,월세,B1/5,280,"4,000",159,159,남동향,20250508,"['25년이상', '역세권', '지하층', '총5층']",37.619287,126.918553
2524350831,일반상가,월세,1/1,350,"7,000",94,94,북서향,20250508,"['25년이상', '역세권', '1층', '북서향']",37.618573,126.918245
2524349858,일반상가,월세,1/4,120,"3,500",94,94,북향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.613719,126.913182
2524351474,일반상가,월세,2/3,85,"1,000",80,80,동향,20250508,"['25년이상', '중층', '총3층', '동향']",37.620052,126.915879
2524360830,일반상가,월세,1/4,282,"7,500",109,109,남동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.618733,126.918061
2524427559,일반상가,월세,8/10,350,"7,000",194,194,동향,20250508,"['25년이상', '융자금없는', '역세권', '고층']",37.619616,126.920392
2524438984,일반상가,월세,2/3,320,"8,000",160,160,남동향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.619732,126.919478
2524453896,일반상가,월세,1/6,150,"2,000",70,56,남동향,20250508,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.61497,126.91555
2524359030,일반상가,월세,2/4,170,"3,000",86,86,남서향,20250508,"['25년이상', '역세권', '중층', '총4층']",37.619945,126.918929
2524361769,일반상가,월세,1/3,270,"8,000",35,35,남서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.618701,126.919893
