articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524394290,일반상가,월세,1/8,110,"2,000",91,54,북동향,20250508,"['10년이내', '1층', '주차가능', '북동향']",37.615945,126.907481
2524540248,일반상가,매매,1/6,,"2억 9,500",32,28,북동향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.609604,126.914412
2524380158,일반상가,월세,1/4,80,"1,000",35,35,남향,20250508,"['25년이상', '융자금없는', '1층', '총4층']",37.605514,126.909397
2524424502,일반상가,월세,1/3,90,"1,000",27,27,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.608787,126.913427
2524400708,일반상가,월세,1/3,75,"1,000",35,35,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.612004,126.915251
2524409785,일반상가,월세,1/4,168,"2,000",64,64,북동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.609953,126.913469
2524373765,일반상가,월세,1/7,400,"7,500",92,92,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.611443,126.91657
2524370994,일반상가,월세,1/6,130,"3,000",54,54,동향,20250508,"['10년이내', '1층', '주차가능', '동향']",37.615945,126.907481
2524478461,일반상가,월세,5/6,140,"2,000",170,170,북동향,20250508,"['25년이내', '융자금적은', '고층', '관리비10만원이하']",37.61822,126.905829
2524483536,일반상가,월세,1/1,50,500,33,33,남동향,20250508,"['25년이상', '1층', '남동향']",37.61123,126.911476
2524596141,일반상가,월세,2/2,80,"3,000",105,99,남동향,20250508,"['25년이상', '고층', '총2층', '남동향']",37.614316,126.909003
2523986658,일반상가,매매,B1/6,,"3억 5,000",41,32,남동향,20250507,"['10년이내', '지하층', '주차가능', '남동향']",37.60545,126.908509
2523881572,복합상가,월세,1/7,650,1억,1030,760,동향,20250507,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.607934,126.912638
2524292061,일반상가,월세,1/4,70,"1,000",26,26,북동향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.60942,126.914936
2523881743,복합상가,월세,1/7,400,"7,000",418,350,동향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.607934,126.912638
2523809377,일반상가,매매,B1/5,,"4억 3,000",43,43,남향,20250507,"['10년이내', '지하층', '관리비10만원이하', '주차가능']",37.605461,126.909029
2524006905,일반상가,월세,2/5,107,"3,000",93,93,북향,20250507,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.612138,126.915388
2524104585,일반상가,월세,1/5,100,"2,000",48,48,서향,20250507,"['25년이상', '1층', '주차가능', '총5층']",37.608992,126.911139
2523988740,일반상가,매매,1/5,,"3억 3,000",55,55,남향,20250507,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.610168,126.913515
2523881881,복합상가,월세,B1/7,250,"3,000",610,511,동향,20250507,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.607959,126.912746
2524271961,일반상가,월세,1/3,65,"1,000",33,33,서향,20250507,"['25년이상', '1층', '총3층', '서향']",37.608018,126.912976
2524240735,일반상가,월세,1/5,210,"3,000",70,70,동향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.607564,126.914999
2523935738,일반상가,월세,1/8,140,"3,000",65,54,북동향,20250506,"['10년이내', '1층', '주차가능', '북동향']",37.615945,126.907481
2523824553,일반상가,월세,1/3,70,"2,000",76,76,남동향,20250504,"['25년이내', '융자금적은', '1층', '관리비10만원이하']",37.612328,126.910533
2523672892,일반상가,월세,3/8,300,"3,000",160,160,북동향,20250503,"['10년이내', '역세권', '중층', '주차가능']",37.612658,126.913978
2523672511,일반상가,월세,2/7,"1,300","2억 5,000",347,347,서향,20250503,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.611296,126.916405
