articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524625489,단지내상가,매매,1/3,,6억,76,27,서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.601756,126.936831
2524350480,일반상가,월세,1/3,400,"3,000",104,104,남향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.60168,126.929099
2524516356,단지내상가,월세,B1/1,100,"1,000",90,46,남서향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.600088,126.937924
2524511115,일반상가,월세,5/5,"1,000",1억,609,502,북동향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.60251,126.92585
2524406719,일반상가,월세,1/2,250,"4,000",78,78,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.605316,126.924134
2524434292,일반상가,월세,3/6,300,"3,000",243,243,남서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.604535,126.924861
2524452881,일반상가,월세,2/4,100,"1,000",101,101,북서향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.604299,126.923785
2524397676,일반상가,월세,3/6,600,"3,000",396,396,남향,20250508,"['25년이내', '중층', '주차가능', '엘리베이터']",37.60201,126.928262
2524512088,일반상가,월세,3/5,970,1억,396,396,북동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.60251,126.92585
2524470087,일반상가,월세,1/4,155,"3,000",30,30,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.601422,126.931699
2524392092,일반상가,월세,1/3,230,"2,000",27,27,남향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.601158,126.934157
2524507874,단지내상가,월세,1/1,120,"2,000",40,38,남동향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.605121,126.92462
2524428066,일반상가,월세,2/6,120,"2,000",65,65,서향,20250508,"['15년이내', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.602523,126.922757
2524511647,일반상가,월세,1/3,65,"1,000",20,20,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.606444,126.926306
2524546865,일반상가,월세,5/5,"1,000",1억,717,502,동향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.60251,126.92585
2524453417,일반상가,월세,1/6,130,"2,000",38,38,북향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.608567,126.926407
2524473883,단지내상가,월세,2/3,130,1억,100,100,북동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.608492,126.931249
2524458014,일반상가,월세,1/3,220,"5,000",28,28,남서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.601626,126.929657
2524467089,일반상가,매매,1/13,,12억,227,133,북향,20250508,"['10년이내', '1층', '주차가능', '북향']",37.6022,126.927173
2524425300,일반상가,월세,1/6,150,"3,000",65,65,서향,20250508,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.602523,126.922757
2524427934,일반상가,월세,1/3,230,"2,000",35,35,남향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.601199,126.933933
2524565123,일반상가,월세,1/5,200,"2,000",83,83,북동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.608378,126.928417
2524342670,일반상가,월세,1/3,120,"2,000",33,33,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.607794,126.931911
2524343875,일반상가,월세,1/3,100,"1,000",33,33,남동향,20250508,"['25년이상', '1층', '총3층', '남동향']",37.60324,126.926884
2524455794,일반상가,월세,B1/5,"1,000",1억,578,578,북서향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.606023,126.924072
2524356241,일반상가,월세,1/5,575,"1억 2,000",132,132,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.601434,126.931368
2524422846,일반상가,월세,1/3,80,"2,000",33,33,남동향,20250508,"['25년이상', '1층', '총3층', '남동향']",37.603003,126.926672
2524347589,일반상가,월세,1/1,100,"1,000",39,39,동향,20250508,"['25년이상', '역세권', '1층', '동향']",37.601813,126.931842
2524392567,일반상가,월세,1/4,80,"1,800",61,61,남서향,20250508,"['25년이상', '1층', '총4층', '남서향']",37.602462,126.925427
2524427994,일반상가,월세,1/2,250,"3,000",105,105,남서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.602929,126.9263
