articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524646717,일반상가,월세,7/24,"3,500",5억,2212,1187,남서향,20250509,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.619643,126.921498
2524608212,단지내상가,월세,1/1,80,"1,000",34,34,남서향,20250509,"['15년이내', '융자금없는', '역세권', '1층']",37.618477,126.934914
2524612294,일반상가,월세,1/4,65,"1,000",26,26,동향,20250509,"['25년이상', '융자금적은', '역세권', '1층']",37.617065,126.932703
2524604329,일반상가,월세,1/2,90,"2,000",26,23,남서향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.621029,126.924799
2524504046,일반상가,월세,1/5,100,"1,000",45,45,서향,20250508,"['10년이내', '1층', '주차가능', '풀옵']",37.624575,126.929812
2524335512,단지내상가,월세,4/4,300,"5,000",195,195,남서향,20250508,"['15년이내', '고층', '주차가능', '총4층']",37.611634,126.937701
2524421878,일반상가,월세,1/5,55,500,13,13,서향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.621212,126.923778
2524424336,일반상가,월세,1/3,90,"2,000",33,33,남동향,20250508,"['25년이상', '1층', '총3층', '남동향']",37.622535,126.926873
2524355051,일반상가,월세,2/6,360,"5,000",147,147,북서향,20250508,"['10년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.61842,126.933218
2524350709,일반상가,월세,1/3,200,"3,000",28,28,북서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.611455,126.930852
2524583461,단지내상가,월세,1/1,110,"1,500",73,34,서향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.614758,126.932869
2524397395,일반상가,월세,1/5,350,"4,000",121,121,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.622355,126.920051
2524431342,단지내상가,월세,1/1,110,"2,000",34,34,서향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.614758,126.932869
2524419738,일반상가,월세,1/3,300,"5,000",71,71,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.619816,126.92337
2524556767,일반상가,월세,B1/3,50,"1,500",77,77,남서향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.610072,126.931107
2524603664,일반상가,월세,7/24,"1,300",3억,958,514,남서향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.619643,126.921498
2524346963,일반상가,월세,B1/9,150,"3,000",61,61,남서향,20250508,"['10년이내', '역세권', '지하층', '관리비10만원이하']",37.617452,126.933309
2524453454,일반상가,월세,B1/9,120,"2,000",84,84,북향,20250508,"['4년이내', '역세권', '지하층', '관리비20만원이하']",37.609807,126.931834
2524465240,일반상가,월세,1/5,100,"1,000",26,25,남향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.621469,126.926828
2524421051,일반상가,월세,1/4,80,"1,000",20,17,서향,20250508,"['10년이내', '1층', '주차가능', '총4층']",37.623688,126.929684
2524410469,일반상가,월세,2/3,100,"2,000",89,89,남서향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.616362,126.924274
2524424464,일반상가,월세,1/5,80,"1,000",36,36,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.616906,126.932935
2524290699,일반상가,월세,1/3,270,"5,000",80,80,남서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.617197,126.923221
2523815827,일반상가,월세,1/3,500,"7,000",36,36,남서향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.619292,126.921497
2524290820,일반상가,월세,1/2,110,"2,000",27,27,남동향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.618328,126.92375
2523832310,일반상가,월세,1/7,130,"3,000",28,28,남서향,20250507,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.624114,126.92023
2524190083,단지내상가,월세,1/1,80,"1,000",46,46,남서향,20250507,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.618477,126.934914
2524118939,일반상가,월세,1/5,80,"2,000",21,20,북향,20250507,"['4년이내', '역세권', '1층', '주차가능']",37.621326,126.924403
2523981917,단지내상가,월세,2/2,70,"1,000",99,52,동향,20250507,"['15년이내', '융자금없는', '고층', '관리비20만원이하']",37.616537,126.926692
2523811155,일반상가,월세,1/2,65,"1,000",16,16,동향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.619062,126.924247
2523909489,일반상가,월세,1/2,60,500,21,20,동향,20250507,"['25년이상', '1층', '총2층', '동향']",37.624348,126.928116
2524118050,단지내상가,월세,1/2,150,"2,000",50,33,남향,20250507,"['15년이내', '융자금없는', '1층', '관리비20만원이하']",37.616537,126.926692
2524066202,단지내상가,매매,1/2,,"2억 9,500",19,19,,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.611781,126.934179
