articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524624518,일반상가,월세,1/3,80,"1,000",28,28,북향,20250509,"['25년이상', '1층', '총3층', '북향']",37.599229,126.909107
2524623709,일반상가,월세,1/4,110,"2,000",33,33,북서향,20250509,"['25년이상', '1층', '주차가능', '총4층']",37.59584,126.909134
2524623240,일반상가,월세,2/3,130,"2,000",73,73,남향,20250509,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.598947,126.914262
2524622587,일반상가,월세,1/3,140,"2,000",96,63,남서향,20250509,"['25년이상', '1층', '총3층', '남서향']",37.595862,126.910269
2524438972,일반상가,월세,1/4,80,"1,000",33,33,남동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.59625,126.912334
2524438894,일반상가,월세,2/4,400,"6,000",291,291,동향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.593267,126.913821
2524435569,단지내상가,월세,1/5,130,"2,000",26,26,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.59846,126.913613
2524440012,일반상가,월세,5/5,300,"4,000",202,202,북서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.59846,126.913613
2524594526,일반상가,월세,1/5,110,"1,500",59,59,북동향,20250508,"['25년이상', '역세권', '1층', '총5층']",37.590892,126.909208
2524514960,일반상가,월세,1/4,180,"5,000",100,100,서향,20250508,"['25년이상', '테라스', '1층', '관리비10만원이하']",37.597575,126.910312
2524456566,일반상가,월세,1/2,400,"5,000",133,133,남향,20250508,"['10년이내', '역세권', '1층', '총2층']",37.598679,126.913027
2524483055,일반상가,월세,1/3,140,"2,000",49,49,남동향,20250508,"['25년이상', '1층', '총3층', '남동향']",37.595862,126.910269
2524429031,일반상가,월세,1/4,300,"6,000",119,119,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.593267,126.913821
2524428276,일반상가,월세,1/3,210,"2,000",59,59,남향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.598356,126.911464
2524429487,일반상가,월세,1/4,160,"3,000",61,61,북동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.597624,126.913476
2524537324,일반상가,월세,1/4,80,"1,000",30,30,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.59625,126.912334
2524448495,일반상가,월세,1/14,160,"2,500",83,52,북동향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.595911,126.909454
2524349226,일반상가,월세,1/3,100,"2,000",33,33,남향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.593656,126.91315
2524397821,일반상가,월세,1/3,180,"3,500",77,77,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.59775,126.910588
2524419572,일반상가,월세,1/4,300,"5,000",72,72,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.596598,126.909159
2524341552,일반상가,월세,2/3,550,"6,000",136,136,남동향,20250508,"['25년이상', '테라스', '마당', '역세권']",37.598647,126.915346
2524432198,일반상가,월세,2/2,200,"4,000",204,204,북동향,20250508,"['25년이상', '고층', '총2층', '북동향']",37.596471,126.908464
2524434445,일반상가,월세,1/3,60,"1,000",33,33,남향,20250508,"['25년이상', '융자금없는', '1층', '총3층']",37.600451,126.907613
2524555136,일반상가,월세,B1/4,70,"1,000",97,97,남향,20250508,"['25년이상', '융자금적은', '지하층', '관리비10만원이하']",37.590517,126.905689
2524521101,일반상가,월세,1/4,200,"4,000",88,88,남향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.599416,126.909761
2524435517,일반상가,월세,1/6,110,"3,000",82,53,서향,20250508,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.600215,126.910473
2523915620,일반상가,월세,1/4,210,"2,000",88,88,동향,20250507,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.591273,126.912741
2524261270,일반상가,월세,1/2,250,"3,000",169,91,서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.593155,126.913681
2524276611,일반상가,월세,B1/3,50,"1,000",56,55,남동향,20250507,"['25년이상', '융자금없는', '지하층', '총3층']",37.596274,126.907295
2523915489,일반상가,월세,1/3,160,"1,000",67,67,동향,20250507,"['25년이상', '1층', '총3층', '동향']",37.60088,126.910112
