articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524607167,일반상가,월세,1/3,90,"1,500",29,29,서향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.601135,126.918912
2524624915,일반상가,월세,2/5,300,"5,000",181,181,남동향,20250509,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.606075,126.918319
2524670459,일반상가,월세,1/5,90,"2,500",61,28,남서향,20250509,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.60129,126.913155
2524606861,일반상가,월세,4/6,180,"2,000",172,172,동향,20250509,"['25년이내', '중층', '관리비20만원이하', '주차가능']",37.604745,126.910304
2524372806,일반상가,월세,1/1,180,"3,000",71,71,서향,20250508,"['25년이상', '역세권', '1층', '서향']",37.602018,126.915112
2524615024,일반상가,월세,1/2,60,"1,000",35,36,북향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.602246,126.908559
2524445362,일반상가,월세,2/5,250,"3,000",140,140,북향,20250508,"['25년이상', '중층', '관리비20만원이하', '주차가능']",37.605624,126.914715
2524535953,단지내상가,월세,2/14,380,1억,86,86,동향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.60058,126.915682
2524500442,일반상가,월세,8/9,280,"5,000",167,167,북서향,20250508,"['25년이내', '융자금없는', '역세권', '고층']",37.610323,126.917267
2524545549,일반상가,월세,1/3,220,"5,000",73,73,서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.604649,126.915857
2524571613,일반상가,월세,2/5,100,"1,000",83,76,북향,20250508,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.607317,126.91372
2524576140,일반상가,월세,1/5,70,"1,000",25,25,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.607317,126.91372
2524617796,일반상가,월세,1/2,55,"1,000",37,37,북향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.602652,126.907899
2524330190,일반상가,월세,B1/4,70,"1,000",121,121,북향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.602719,126.920586
2524593757,일반상가,월세,1/2,230,"2,000",56,56,동향,20250508,"['25년이상', '1층', '총2층', '동향']",37.602104,126.910183
2524464005,일반상가,월세,1/11,130,"2,000",39,39,남향,20250508,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.602986,126.918964
2524342430,일반상가,월세,1/2,90,"1,500",33,33,남향,20250508,"['25년이상', '1층', '총2층', '남향']",37.606073,126.916178
2524467582,일반상가,월세,4/6,350,"7,000",320,279,북동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.606122,126.92247
2524374534,일반상가,매매,2/15,,19억,253,253,동향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.600158,126.915545
2524309651,일반상가,월세,B1/4,60,"1,000",67,67,남동향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.607007,126.921509
2524426794,일반상가,월세,1/6,96,"1,500",38,31,서향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.60461,126.910822
2524442707,일반상가,월세,1/5,190,"2,000",46,46,동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.605897,126.910376
2524460649,일반상가,월세,1/3,100,"2,000",36,36,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.605943,126.918335
2524452237,일반상가,월세,1/3,90,"1,500",33,33,동향,20250508,"['25년이상', '융자금적은', '1층', '총3층']",37.603881,126.918313
2524437297,일반상가,월세,B1/6,130,"2,000",132,132,서향,20250508,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.603719,126.918651
2524500129,일반상가,월세,7/9,180,"4,000",102,102,북서향,20250508,"['25년이내', '융자금없는', '역세권', '고층']",37.610323,126.917267
2524403052,일반상가,월세,1/11,130,"2,000",76,39,남향,20250508,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.602986,126.918964
2524401857,일반상가,월세,3/5,100,"2,000",130,130,서향,20250508,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.607435,126.910918
2524433482,일반상가,월세,1/5,165,"2,000",41,41,,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.601875,126.918543
2524428954,일반상가,월세,1/2,70,700,30,30,남향,20250508,"['25년이상', '1층', '총2층', '남향']",37.605742,126.911799
2524398842,일반상가,월세,1/5,105,"1,500",33,33,서향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.605624,126.914715
2524330195,일반상가,월세,1/4,70,"1,000",24,24,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.602719,126.920586
2524340875,일반상가,월세,1/2,90,"1,000",42,42,북향,20250508,"['25년이상', '1층', '총2층', '북향']",37.605643,126.914352
2524400586,일반상가,월세,1/3,70,"2,000",34,34,서향,20250508,"['25년이상', '1층', '총3층', '서향']",37.605174,126.918403
2524423645,일반상가,월세,1/5,125,"3,000",32,32,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.602542,126.918411
