articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524664947,일반상가,매매,1/6,,"2억 6,000",29,25,북동향,20250509,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.599837,126.923805
2524624122,일반상가,월세,1/3,570,"1억 5,000",93,93,남동향,20250509,"['25년이상', '역세권', '1층', '급매']",37.590569,126.917104
2524561693,단지내상가,월세,1/3,200,"3,000",63,36,서향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.594972,126.920916
2524452316,일반상가,월세,1/2,100,"1,500",20,20,남서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.59433,126.916067
2524562729,일반상가,월세,B1/5,250,"3,000",149,149,북향,20250508,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.599261,126.917507
2524499006,일반상가,월세,4/7,160,"2,000",125,125,남동향,20250508,"['25년이내', '중층', '관리비10만원이하', '주차가능']",37.598556,126.919791
2524479005,일반상가,매매,B1/15,,15억,395,395,동향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.59949,126.918843
2524470153,일반상가,월세,6/6,650,1억,509,414,북동향,20250508,"['25년이내', '고층', '주차가능', '엘리베이터']",37.602149,126.926328
2524470231,일반상가,월세,2/8,100,"1,000",60,60,서향,20250508,"['25년이내', '지상층(1층제외)', '관리비10만원이하', '주차가능']",37.601119,126.921569
2524461600,일반상가,월세,1/3,80,"1,500",23,23,남동향,20250508,"['25년이상', '1층', '총3층', '남동향']",37.595279,126.91835
2524461180,일반상가,월세,1/3,130,"3,000",77,77,북동향,20250508,"['25년이상', '1층', '총3층', '북동향']",37.601862,126.924661
2524426942,일반상가,월세,1/3,200,"4,000",36,36,북향,20250508,"['25년이내', '융자금없는', '1층', '총3층']",37.593586,126.918917
2524339660,일반상가,월세,1/5,185,"3,000",59,59,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.588068,126.917038
2524511424,단지내상가,매매,1/1,,4억,86,38,서향,20250508,"['10년이내', '1층', '급매', '관리비10만원이하']",37.590176,126.921595
2524533217,복합상가,월세,1/20,900,"1억 5,000",334,232,남동향,20250508,"['25년이내', '1층', '주차가능', '남동향']",37.599798,126.921472
2524592944,단지내상가,월세,1/1,110,"2,000",75,39,서향,20250508,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.587995,126.924104
2524337976,일반상가,월세,3/4,"1,300","2억 5,000",508,508,북향,20250508,"['25년이내', '고층', '주차가능', '총4층']",37.600081,126.921356
2524339613,일반상가,월세,1/5,750,2억,140,140,서향,20250508,"['25년이상', '1층', '총5층', '서향']",37.588068,126.917038
2524339696,일반상가,월세,1/5,275,"4,000",105,105,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.588068,126.917038
2524449430,일반상가,월세,2/4,70,"1,200",64,64,북서향,20250508,"['25년이상', '중층', '주차가능', '총4층']",37.599832,126.926912
2524410071,단지내상가,매매,1/15,,56억,850,597,남동향,20250508,"['25년이내', '1층', '주차가능', '남동향']",37.598166,126.920249
2524348082,일반상가,월세,2/9,180,"3,000",140,140,북동향,20250508,"['25년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.589278,126.917912
2524348641,일반상가,월세,1/5,180,"4,000",90,90,북향,20250508,"['25년이상', '1층', '관리비20만원이하', '총5층']",37.593875,126.917182
2524352691,일반상가,월세,1/9,350,"7,000",140,140,북동향,20250508,"['25년이내', '1층', '주차가능', '엘리베이터']",37.589278,126.917912
2524348289,일반상가,월세,1/7,490,"8,000",149,149,남향,20250508,"['25년이내', '1층', '주차가능', '남향']",37.601433,126.925921
2524449305,일반상가,월세,1/4,130,"2,000",80,80,북서향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.599832,126.926912
2524510691,단지내상가,매매,1/2,,"3억 2,000",35,34,북향,20250508,"['10년이내', '1층', '주차가능', '총2층']",37.59219,126.922009
2524563835,일반상가,월세,1/7,280,"3,000",107,107,서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.599324,126.919155
2524566050,일반상가,월세,4/5,100,"5,000",155,155,남향,20250508,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.594351,126.916229
2524339633,일반상가,월세,1/5,850,2억,192,192,서향,20250508,"['25년이상', '1층', '관리비20만원이하', '총5층']",37.588068,126.917038
2524581269,일반상가,매매,1/6,,"7억 9,000",220,132,남향,20250508,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.58773,126.921319
2524452733,일반상가,월세,1/8,310,"5,000",99,99,서향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.599609,126.919084
2524432619,일반상가,월세,B1/5,50,"1,000",110,110,,20250508,"['25년이상', '지하층', '관리비10만원이하', '총5층']",37.598439,126.91973
2524445686,일반상가,월세,1/3,210,"2,800",42,42,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.600975,126.92374
2524510445,일반상가,매매,1/15,,"4억 9,500",42,36,서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.597915,126.916479
2524503757,복합상가,월세,1/15,150,"2,000",37,37,서향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.597915,126.916479
2524423103,일반상가,월세,1/4,220,"3,000",50,49,동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.593254,126.922927
2524349539,일반상가,월세,7/9,110,"1,000",89,80,북동향,20250508,"['25년이내', '고층', '관리비20만원이하', '주차가능']",37.589278,126.917912
2524581235,일반상가,월세,3/5,48,500,33,33,남향,20250508,"['25년이상', '중층', '관리비10만원이하', '총5층']",37.601878,126.92433
2524441229,일반상가,월세,1/6,100,"2,000",41,41,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.595682,126.915796
2524441114,복합상가,월세,2/7,200,"2,000",176,120,서향,20250508,"['25년이내', '지상층(1층제외)', '관리비20만원이하', '주차가능']",37.60113,126.920721
2524431760,일반상가,월세,1/20,260,"5,000",39,39,남향,20250508,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.600549,126.921525
2524410303,일반상가,월세,1/5,145,"3,000",114,114,북향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.587419,126.915071
2524346234,일반상가,월세,1/13,150,"3,000",40,40,남동향,20250508,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.59764,126.919967
2524375262,일반상가,월세,1/4,300,"6,000",53,53,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.597694,126.920659
2524430036,일반상가,월세,1/8,230,"4,000",66,66,서향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.594847,126.915609
