articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524665013,일반상가,월세,1/3,250,"3,000",60,49,북서향,20250509,"['25년이상', '마당', '1층', '총3층']",37.580606,126.905414
2524665924,일반상가,월세,2/3,150,"3,000",96,94,북서향,20250509,"['25년이상', '마당', '중층', '총3층']",37.580606,126.905414
2524615524,일반상가,월세,1/2,80,"1,000",60,40,북서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.579339,126.904086
2524332053,일반상가,월세,1/4,70,"1,000",30,30,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.58203,126.905786
2524332173,단지내상가,매매,2/19,,"4억 2,000",127,52,남서향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.578774,126.899573
2524523193,단지내상가,매매,2/19,,7억,252,103,동향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.578774,126.899573
2524603079,단지내상가,월세,1/1,220,"5,000",34,27,남동향,20250508,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.579983,126.903718
2524064717,단지내상가,매매,2/19,,3억,90,47,,20250507,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.578774,126.899573
2524217957,일반상가,월세,B1/4,100,"1,000",115,115,서향,20250507,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.58312,126.906391
2523865161,일반상가,월세,1/3,120,"2,000",21,21,북향,20250507,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.580606,126.905414
2524112856,일반상가,월세,2/4,150,"2,000",115,115,서향,20250507,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.58312,126.906391
2524174262,일반상가,월세,2/4,145,"2,300",80,80,서향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.58312,126.906391
2524110938,일반상가,월세,1/4,70,"1,000",30,30,서향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.58312,126.906391
2524038655,단지내상가,매매,3/19,,"4억 8,000",149,62,,20250506,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.578774,126.899573
2523648977,일반상가,월세,1/2,55,"1,000",35,35,남동향,20250503,"['25년이상', '융자금없는', '역세권', '1층']",37.583063,126.905951
2523746350,일반상가,월세,1/5,120,"1,000",50,46,남서향,20250503,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.586765,126.911981
2523415968,단지내상가,매매,2/4,,3억,65,47,남동향,20250502,"['25년이내', '역세권', '중층', '주차가능']",37.578774,126.899573
2523316606,단지내상가,매매,2/15,,"3억 7,000",57,45,서향,20250502,"['25년이내', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.578793,126.903598
2523398947,일반상가,월세,1/3,90,"2,000",32,30,남서향,20250502,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.581861,126.905196
2523086912,일반상가,월세,B1/5,195,"1,500",83,83,북동향,20250430,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.586765,126.911981
2523192239,단지내상가,매매,2/23,,8억,94,51,북동향,20250430,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.579425,126.900778
2523086747,일반상가,월세,1/5,120,"1,000",46,46,북동향,20250430,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.586765,126.911981
2523133288,일반상가,월세,1/6,70,"1,000",26,26,서향,20250430,"['10년이내', '역세권', '1층', '주차가능']",37.581818,126.906201
2522827720,단지내상가,월세,1/2,395,1억,78,43,,20250429,"['4년이내', '역세권', '1층', '주차가능']",37.579425,126.900778
2522971309,일반상가,월세,2/3,150,"3,000",82,82,,20250429,"['25년이상', '중층', '총3층']",37.580606,126.905414
