articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524648710,단지내상가,월세,1/2,120,"2,000",52,33,서향,20250509,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.63305,126.922312
2524620160,단지내상가,월세,1/2,100,"2,000",34,34,서향,20250509,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.63305,126.922312
2524567099,단지내상가,월세,1/2,70,"1,000",27,27,남서향,20250509,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.63305,126.922312
2524406188,일반상가,매매,1/2,,52억,287,287,북서향,20250508,"['25년이내', '1층', '주차가능', '총2층']",37.653628,126.939506
2524248654,단지내상가,매매,1/7,,"5억 5,000",60,60,남서향,20250508,"['25년이내', '1층', '주차가능', '남서향']",37.642222,126.922659
2524301250,일반상가,매매,1/2,,30억,195,195,남서향,20250508,"['2년이내', '1층', '주차가능', '총2층']",37.641999,126.939329
2524318816,단지내상가,월세,1/7,70,"1,000",30,30,남향,20250508,"['15년이내', '1층', '주차가능', '남향']",37.643907,126.920032
2524593913,일반상가,월세,2/9,330,"8,000",205,102,북향,20250508,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.635736,126.919371
2524392014,단지내상가,월세,1/1,160,"3,000",73,67,동향,20250508,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.64153,126.920085
2524594083,일반상가,매매,7/9,,"3억 3,000",117,58,북향,20250508,"['15년이내', '역세권', '고층', '주차가능']",37.635736,126.919371
2524460926,단지내상가,월세,B1/7,140,"2,000",31,31,북향,20250508,"['25년이내', '지하층', '관리비10만원이하', '주차가능']",37.633367,126.927677
2524422735,일반상가,매매,8/9,,"12억 7,000",395,236,남향,20250508,"['10년이내', '역세권', '고층', '관리비20만원이하']",37.638662,126.919109
2524387756,단지내상가,월세,1/7,60,"1,000",15,15,동향,20250508,"['15년이내', '1층', '주차가능', '동향']",37.643907,126.920032
2524368862,단지내상가,월세,1/1,80,"2,000",31,25,서향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.642222,126.922659
2524405868,단지내상가,매매,1/1,,"5억 5,000",74,60,서향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.642222,126.922659
2524416754,일반상가,월세,1/3,120,"2,000",50,50,남서향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.640394,126.920444
2524421337,복합상가,월세,1/6,380,"5,000",86,52,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.634867,126.919599
2524393508,일반상가,월세,1/3,300,"5,000",87,50,남향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.639458,126.918285
2524396494,일반상가,월세,1/9,220,"4,000",96,50,서향,20250508,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.63388,126.91859
2524473758,단지내상가,매매,1/8,,"2억 6,500",42,40,남서향,20250508,"['25년이내', '1층', '주차가능', '남서향']",37.646816,126.930017
2524452975,복합상가,월세,1/20,230,"4,000",87,43,북향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.639489,126.919254
2524417845,복합상가,월세,1/2,300,1억,85,38,남향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.634967,126.917993
2524478873,복합상가,월세,2/9,180,"3,000",154,68,서향,20250508,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.633561,126.918632
2524437654,복합상가,월세,1/33,300,1억,89,44,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.634967,126.917993
2524447381,단지내상가,월세,2/2,100,"1,000",85,41,남동향,20250508,"['10년이내', '역세권', '고층', '주차가능']",37.634967,126.917993
2524420249,단지내상가,월세,1/2,180,"3,000",94,45,북향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.634967,126.917993
2524444021,복합상가,월세,1/12,150,"1,500",76,38,동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.633809,126.91777
2524411858,단지내상가,월세,2/3,65,"1,000",33,33,서향,20250508,"['25년이내', '융자금없는', '중층', '관리비10만원이하']",37.631903,126.92014
2524429073,단지내상가,월세,1/11,100,"2,000",25,25,남서향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.642222,126.922659
2524433357,단지내상가,매매,1/7,,"2억 5,000",40,27,남동향,20250508,"['25년이내', '1층', '주차가능', '남동향']",37.647959,126.928858
2524448837,단지내상가,월세,1/2,100,"1,000",70,33,북동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.634967,126.917993
2524444030,일반상가,월세,10/11,180,"5,000",86,86,북향,20250508,"['10년이내', '융자금없는', '역세권', '고층']",37.638912,126.918911
2524474345,일반상가,월세,1/9,190,"1,500",77,34,남동향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.633561,126.918632
2524442850,복합상가,월세,1/6,380,"5,000",52,52,동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.634867,126.919599
2524440743,복합상가,매매,1/2,,11억,75,37,남향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.634967,126.917993
2524447924,단지내상가,월세,1/9,150,"2,000",46,24,동향,20250508,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.63388,126.91859
2524419247,단지내상가,월세,1/1,60,"1,000",120,93,남서향,20250508,"['25년이내', '융자금없는', '1층', '주차가능']",37.636303,126.931527
2524574628,단지내상가,월세,1/2,140,"2,000",85,60,북향,20250508,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.641603,126.917886
2524593764,복합상가,매매,2/12,,"5억 4,000",200,99,동향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.633809,126.91777
2524529289,단지내상가,월세,1/7,130,"3,000",35,31,남동향,20250508,"['25년이내', '1층', '주차가능', '화재경보기']",37.634569,126.927593
2524490668,단지내상가,월세,1/7,200,"5,000",70,67,북서향,20250508,"['25년이내', '융자금없는', '1층', '관리비10만원이하']",37.645953,126.928724
2524528107,단지내상가,월세,1/7,75,"2,000",98,82,남향,20250508,"['15년이내', '1층', '주차가능', '남향']",37.643788,126.916977
2524527553,단지내상가,월세,1/11,50,"1,000",74,13,서향,20250508,"['25년이내', '1층', '주차가능', '서향']",37.642222,126.922659
2524482564,일반상가,월세,1/3,160,"2,000",64,59,남서향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.640394,126.920444
2524514287,단지내상가,월세,1/11,100,"2,500",31,25,남서향,20250508,"['25년이내', '1층', '주차가능', '남서향']",37.642222,126.922659
2524478275,단지내상가,월세,1/13,85,"2,000",57,35,남서향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.647959,126.928858
2524476191,단지내상가,월세,1/13,200,"5,000",99,67,남향,20250508,"['25년이내', '융자금없는', '1층', '주차가능']",37.645195,126.924938
2524574159,단지내상가,월세,B1/1,55,"1,000",96,20,남동향,20250508,"['25년이내', '지하층', '관리비10만원이하', '주차가능']",37.636303,126.931527
2524428597,일반상가,매매,2/9,,"9억 5,000",208,102,서향,20250508,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.635736,126.919371
2524420261,일반상가,월세,1/2,160,"3,000",131,30,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.639435,126.917332
2524567314,단지내상가,월세,1/2,100,"2,000",47,34,북동향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.63305,126.922312
2524479439,단지내상가,월세,1/7,70,"1,000",32,30,남향,20250508,"['15년이내', '융자금없는', '1층', '관리비10만원이하']",37.643907,126.920032
2524425690,단지내상가,매매,B1/10,,"10억 5,000",96,91,남향,20250508,"['25년이내', '지하층', '주차가능', '남향']",37.63518,126.923805
2524566998,단지내상가,월세,1/2,80,"2,000",38,38,남서향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.63305,126.922312
2524421805,일반상가,매매,2/9,,"9억 5,000",218,130,남향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.638662,126.919109
2524464365,일반상가,월세,1/16,290,"5,000",92,53,남향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.639458,126.918285
2524424745,단지내상가,매매,1/11,,"4억 8,000",48,39,서향,20250508,"['25년이내', '1층', '주차가능', '서향']",37.642222,126.922659
2524472449,일반상가,매매,1/2,,30억,197,197,북동향,20250508,"['2년이내', '1층', '주차가능', '총2층']",37.641999,126.939329
2524429278,일반상가,매매,8/9,,10억,255,153,남향,20250508,"['10년이내', '역세권', '고층', '주차가능']",37.638662,126.919109
2524423097,일반상가,월세,1/2,300,"5,000",131,61,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.639435,126.917332
2523899158,복합상가,월세,1/12,600,"5,000",188,99,서향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.633809,126.91777
2524127033,일반상가,매매,1/20,,"10억 5,000",47,47,서향,20250507,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.639489,126.919254
2523888505,단지내상가,월세,1/1,100,"3,000",38,38,남서향,20250507,"['15년이내', '융자금적은', '1층', '관리비10만원이하']",37.638883,126.934705
2524266564,단지내상가,월세,1/2,65,"2,000",62,45,동향,20250507,"['15년이내', '융자금없는', '1층', '주차가능']",37.641762,126.916554
2523876419,복합상가,매매,2/33,,6억,141,70,동향,20250507,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.634967,126.917993
2524122447,단지내상가,월세,1/11,50,"1,000",61,14,남서향,20250507,"['25년이내', '융자금없는', '1층', '관리비10만원이하']",37.642222,126.922659
2524005275,단지내상가,월세,1/8,170,"2,000",69,66,북서향,20250507,"['25년이내', '1층', '주차가능', '북서향']",37.645953,126.928724
2524276798,일반상가,월세,1/18,270,"3,000",52,52,남향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.635364,126.919621
2523862892,복합상가,월세,B1/27,170,"3,000",169,84,남향,20250507,"['15년이내', '지하층', '주차가능', '엘리베이터']",37.632797,126.91862
2523899375,복합상가,월세,1/12,200,"3,000",75,40,동향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.633809,126.91777
2523844764,단지내상가,월세,2/9,180,"3,000",115,51,남향,20250507,"['15년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.633561,126.918632
2523873670,단지내상가,매매,2/2,,"3억 1,000",75,43,남서향,20250507,"['25년이내', '고층', '관리비10만원이하', '주차가능']",37.631903,126.92014
2523973347,단지내상가,매매,2/2,,4억,70,43,남서향,20250507,"['25년이내', '고층', '주차가능', '총2층']",37.631903,126.92014
2523872045,일반상가,월세,1/4,250,"4,000",180,146,남동향,20250507,"['10년이내', '융자금없는', '1층', '관리비10만원이하']",37.638197,126.938489
2523855303,복합상가,매매,5/9,,5억,172,94,북동향,20250507,"['15년이내', '역세권', '중층', '주차가능']",37.635736,126.919371
2523881150,단지내상가,월세,1/7,100,"2,000",25,25,남서향,20250507,"['25년이내', '1층', '주차가능', '남서향']",37.642222,126.922659
2523876579,복합상가,월세,2/2,100,"2,000",82,41,남향,20250507,"['10년이내', '역세권', '고층', '주차가능']",37.634967,126.917993
2523899488,단지내상가,월세,1/1,100,"1,500",90,33,북향,20250507,"['15년이내', '융자금없는', '1층', '관리비10만원이하']",37.636466,126.935638
2523834590,단지내상가,월세,1/1,110,"2,000",37,37,남향,20250507,"['15년이내', '융자금없는', '1층', '주차가능']",37.634146,126.933842
2523846246,단지내상가,매매,B1/1,,"3억 5,000",76,45,서향,20250507,"['10년이내', '역세권', '지하층', '주차가능']",37.639932,126.919928
2523861475,단지내상가,매매,1/20,,"6억 5,000",82,41,남향,20250507,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.639489,126.919254
2523872565,일반상가,월세,B1/5,150,"4,000",330,207,북서향,20250507,"['10년이내', '융자금없는', '지하층', '관리비10만원이하']",37.640824,126.937791
2523963191,일반상가,월세,1/2,200,"3,000",82,41,남향,20250507,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.639489,126.919254
2523899409,일반상가,월세,1/5,250,"3,000",200,151,남서향,20250507,"['4년이내', '1층', '주차가능', '총5층']",37.640002,126.936969
2524150490,단지내상가,월세,1/7,50,"1,000",20,19,남향,20250507,"['15년이내', '융자금없는', '1층', '주차가능']",37.643907,126.920032
2524130826,단지내상가,매매,1/10,,"5억 5,000",59,59,동향,20250507,"['15년이내', '1층', '주차가능', '동향']",37.64153,126.920085
2523894516,복합상가,월세,1/2,270,"3,000",91,44,남향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.634967,126.917993
2524008074,단지내상가,월세,1/2,220,"3,000",135,64,남동향,20250506,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.634967,126.917993
2524041656,단지내상가,매매,1/12,,4억,39,36,동향,20250506,"['15년이내', '1층', '주차가능', '동향']",37.64153,126.920085
2523899277,복합상가,월세,B1/12,110,"2,000",102,54,남향,20250505,"['10년이내', '역세권', '지하층', '주차가능']",37.633809,126.91777
2523906342,단지내상가,월세,B1/7,310,"8,000",105,78,남향,20250505,"['25년이내', '지하층', '주차가능', '남향']",37.634569,126.927593
2523894576,복합상가,매매,1/12,,"2억 5,000",79,42,남서향,20250505,"['10년이내', '역세권', '1층', '주차가능']",37.633809,126.91777
2523894008,일반상가,월세,4/6,240,"5,000",116,116,북서향,20250505,"['10년이내', '융자금적은', '중층', '주차가능']",37.64042,126.937386
