articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524430649,일반상가,월세,B1/1,130,"3,000",14,14,동향,20250508,"['25년이상', '지하층', '관리비10만원이하', '동향']",37.582934,126.986775
2524062325,일반상가,월세,B1/3,270,"5,000",115,115,동향,20250507,"['25년이상', '역세권', '지하층', '총3층']",37.5781,126.986588
2522855040,일반상가,월세,1/2,"4,500",5억,371,371,동향,20250429,"['25년이상', '역세권', '1층', '총2층']",37.578869,126.986553
2522803986,일반상가,월세,B1/3,270,"5,000",150,115,동향,20250429,"['25년이상', '역세권', '지하층', '총3층']",37.5781,126.986588
2522479137,일반상가,월세,2/3,110,"2,000",27,27,남서향,20250428,"['25년이상', '중층', '관리비10만원이하', '총3층']",37.582414,126.98679
2522271764,일반상가,월세,1/2,"4,500",5억,531,371,동향,20250425,"['25년이상', '역세권', '1층', '총2층']",37.578869,126.986553
2522175027,일반상가,월세,2/4,250,"5,000",80,70,남동향,20250425,"['25년이상', '융자금적은', '중층', '관리비20만원이하']",37.58296,126.987017
2522112438,일반상가,월세,B1/3,270,"5,000",150,150,동향,20250425,"['25년이상', '역세권', '지하층', '총3층']",37.5781,126.986588
2521944460,일반상가,월세,3/3,75,"1,000",49,49,남향,20250424,"['25년이상', '역세권', '고층', '총3층']",37.579429,126.986849
2521642280,일반상가,월세,2/4,110,"2,000",82,82,서향,20250423,"['25년이상', '중층', '관리비10만원이하', '총4층']",37.582447,126.986922
2521037239,일반상가,월세,1/2,500,"5,000",60,60,남향,20250419,"['10년이내', '1층', '주차가능', '총2층']",37.582547,126.98678
2519762666,일반상가,월세,B1/1,130,"3,000",16,16,동향,20250414,"['25년이상', '지하층', '동향']",37.582934,126.986775
2519177271,일반상가,월세,1/2,"4,500",5억,528,371,동향,20250411,"['25년이상', '역세권', '1층', '총2층']",37.578869,126.986553
2518790537,일반상가,월세,1/5,250,"5,000",59,59,남동향,20250409,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.581856,126.986698
2518686239,일반상가,월세,B1/1,130,"3,000",15,15,동향,20250409,"['25년이상', '지하층', '관리비10만원이하', '화재경보기']",37.582934,126.986775
