articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524582378,일반상가,월세,1/4,700,"9,000",87,84,북동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.569442,126.983466
2524395864,일반상가,월세,2/9,"1,315","1억 3,152",341,264,남향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.569027,126.983835
2524580545,일반상가,월세,1/5,"2,000",3억,204,165,북동향,20250508,"['25년이상', '역세권', '1층', '총5층']",37.569682,126.987398
2524481591,일반상가,월세,1/4,750,1억,82,82,북향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.569484,126.986348
2524585897,일반상가,월세,1/4,700,"9,000",42,42,북향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.569483,126.986268
2524369258,일반상가,월세,2/6,498,"5,500",91,91,동향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '동향']",37.569781,126.987432
2524583534,일반상가,월세,1/4,"1,150",2억,262,262,북향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.569131,126.985452
2524579092,일반상가,월세,1/3,700,"1억 1,000",70,60,남향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.569667,126.986209
2524582773,일반상가,월세,1/6,360,1억,31,31,남서향,20250508,"['25년이상', '역세권', '1층', '남서향']",37.56984,126.984521
2524507514,일반상가,월세,2/5,"1,000","2억 5,000",214,214,남향,20250508,"['25년이상', '역세권', '중층', '총5층']",37.568704,126.985875
2524178859,일반상가,월세,B1/7,700,1억,364,274,,20250507,"['25년이상', '역세권', '지하층', '주차가능']",37.569085,126.987062
2524052934,일반상가,월세,1/5,300,"3,000",20,20,남서향,20250507,"['4년이내', '역세권', '1층', '총5층']",37.568931,126.987053
2524059422,일반상가,월세,3/7,350,"6,000",221,151,북동향,20250507,"['25년이상', '역세권', '중층', '북동향']",37.569522,126.9874
2524132248,일반상가,월세,2/2,400,2억,195,178,동향,20250507,"['25년이상', '역세권', '고층', '총2층']",37.56937,126.987392
2524087032,일반상가,월세,6/7,600,"6,000",242,198,동향,20250507,"['25년이상', '역세권', '고층', '엘리베이터']",37.569454,126.985581
2524114568,일반상가,월세,1/1,300,"4,500",52,52,남향,20250507,"['25년이상', '역세권', '1층', '남향']",37.56865,126.988269
2524152572,일반상가,월세,1/15,280,"3,000",52,33,남향,20250507,"['25년이내', '역세권', '1층', '남향']",37.568874,126.985096
2523959568,일반상가,월세,2/5,300,"3,000",75,75,북향,20250507,"['25년이상', '융자금없는', '역세권', '중층']",37.569567,126.988505
