articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524567426,일반상가,월세,1/2,310,"5,500",43,43,동향,20250508,"['25년이내', '역세권', '1층', '총2층']",37.575099,126.984073
2524119013,일반상가,월세,1/1,330,"7,000",51,51,남향,20250507,"['25년이상', '역세권', '1층', '남향']",37.574239,126.986009
2523747373,일반상가,월세,3/13,711,"1억 3,500",526,219,동향,20250503,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.574562,126.983801
2523504346,일반상가,월세,2/4,500,"6,000",157,150,동향,20250502,"['25년이상', '역세권', '중층', '총4층']",37.573678,126.985188
2523216877,일반상가,월세,1/13,300,"8,000",338,141,남향,20250502,"['10년이내', '역세권', '1층', '남향']",37.574562,126.983801
2523203606,일반상가,월세,2/3,"1,200",3억,288,288,남향,20250430,"['25년이내', '역세권', '중층', '총3층']",37.574162,126.985373
2523169354,일반상가,월세,B1/13,230,"3,000",257,132,남향,20250430,"['25년이상', '융자금없는', '역세권', '지하층']",37.57249,126.983808
2523163611,일반상가,월세,1/6,250,"3,000",104,70,남동향,20250430,"['25년이상', '역세권', '1층', '남동향']",37.573939,126.983898
2522799561,일반상가,월세,2/3,"1,200",3억,224,224,남동향,20250429,"['25년이내', '역세권', '중층', '총3층']",37.574162,126.985373
2522666260,일반상가,월세,2/2,150,"3,000",37,37,북향,20250428,"['25년이상', '역세권', '고층', '천장에어컨']",37.5748,126.984903
2522605872,복합상가,월세,6/13,761,"2억 1,937",503,503,동향,20250428,"['10년이내', '역세권', '중층', '주차가능']",37.574562,126.983801
2522705664,일반상가,월세,B1/3,300,"4,000",98,98,서향,20250428,"['25년이상', '역세권', '지하층', '총3층']",37.575077,126.983819
2522238882,일반상가,월세,2/4,500,"6,000",52,49,동향,20250425,"['25년이상', '역세권', '중층', '총4층']",37.573678,126.985188
2520473734,일반상가,월세,4/4,500,1억,196,196,서향,20250417,"['25년이내', '역세권', '고층', '총4층']",37.573794,126.985429
2520532066,복합상가,월세,전체층/13,750,"6,480",503,503,남서향,20250417,"['10년이내', '역세권', '주차가능', '남서향']",37.574562,126.983801
2519309717,일반상가,월세,6/13,762,"2억 2,000",1165,503,동향,20250411,"['10년이내', '역세권', '중층', '주차가능']",37.574562,126.983801
2519275229,일반상가,월세,2/3,"1,200",3억,288,284,남동향,20250411,"['25년이내', '융자금없는', '역세권', '중층']",37.574162,126.985373
2519166985,일반상가,매매,B1/20,,"1억 5,000",84,46,북향,20250410,"['25년이상', '역세권', '지하층', '북향']",37.573096,126.98521
