articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524350631,일반상가,매매,1/5,,"4억 5,000",96,73,남서향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.608235,126.957621
2524351957,일반상가,월세,1/2,80,"1,500",132,72,서향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.615539,126.961629
2523582088,일반상가,월세,1/3,180,"3,000",55,46,북향,20250502,"['25년이상', '융자금없는', '1층', '총3층']",37.606603,126.958672
2523369590,일반상가,월세,1/3,100,"2,000",23,23,동향,20250501,"['25년이상', '1층', '총3층', '동향']",37.606782,126.958949
2523369350,일반상가,월세,1/6,80,"2,000",21,21,동향,20250501,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.606561,126.959514
2521340043,일반상가,월세,2/5,110,"1,000",96,96,북동향,20250421,"['25년이상', '중층', '주차가능', '총5층']",37.608046,126.956941
2520933774,일반상가,월세,1/5,150,"3,000",99,73,남서향,20250419,"['25년이상', '융자금없는', '1층', '관리비20만원이하']",37.608235,126.957621
2520415109,일반상가,월세,B1/9,60,"1,000",66,57,서향,20250417,"['25년이상', '융자금없는', '지하층', '관리비20만원이하']",37.608121,126.95651
2520418630,일반상가,월세,B1/3,250,"5,000",94,94,서향,20250417,"['2년이내', '융자금적은', '지하층', '관리비10만원이하']",37.607069,126.96038
2519630587,일반상가,월세,B1/3,100,"3,000",198,162,동향,20250414,"['25년이상', '지하층', '주차가능', '총3층']",37.60895,126.956456
2519228751,일반상가,매매,B2/5,,10억,438,303,남향,20250411,"['25년이상', '지하층', '주차가능', '총5층']",37.608235,126.957621
