articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524423995,일반상가,월세,1/5,400,"8,000",49,49,남향,20250508,"['25년이상', '역세권', '1층', '총5층']",37.57274,126.989315
2524399181,일반상가,월세,1/4,540,"6,000",66,66,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.573806,126.987928
2524114650,일반상가,월세,1/8,650,1억,114,114,북향,20250507,"['10년이내', '역세권', '1층', '북향']",37.573729,126.988419
2524325548,일반상가,월세,2/4,700,"5,000",231,231,동향,20250507,"['25년이상', '테라스', '역세권', '중층']",37.571561,126.989048
2524325392,일반상가,월세,1/4,300,"3,000",36,36,남향,20250507,"['25년이상', '역세권', '1층', '총4층']",37.571737,126.988721
2523627751,일반상가,월세,1/2,420,"5,000",70,70,남서향,20250503,"['25년이상', '역세권', '1층', '총2층']",37.573281,126.988193
2522857952,일반상가,월세,1/1,150,"2,000",42,42,북서향,20250429,"['25년이상', '역세권', '1층', '북서향']",37.573604,126.988038
2522801469,일반상가,월세,1/5,200,"3,000",52,42,남향,20250429,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.572934,126.98912
2522913165,일반상가,월세,2/4,250,"3,000",100,74,동향,20250429,"['25년이상', '역세권', '중층', '총4층']",37.571082,126.989171
2522650340,일반상가,월세,2/4,260,"5,000",74,74,동향,20250428,"['25년이상', '역세권', '중층', '총4층']",37.571082,126.989171
2522753140,일반상가,월세,1/1,220,"6,000",33,33,남향,20250428,"['25년이상', '융자금없는', '역세권', '1층']",37.573209,126.988422
2522145276,단지내상가,월세,1/5,180,"3,000",49,42,남향,20250425,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.572934,126.98912
2522144194,일반상가,월세,1/5,200,"3,000",39,39,남향,20250425,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.572934,126.98912
2522236377,일반상가,월세,1/1,302,"5,000",47,47,남향,20250425,"['25년이상', '역세권', '1층', '남향']",37.57342,126.989077
2521977454,일반상가,월세,1/5,200,"3,000",40,40,남향,20250424,"['25년이상', '융자금적은', '역세권', '1층']",37.572934,126.98912
2521754993,일반상가,월세,5/6,260,"3,800",149,130,서향,20250423,"['25년이상', '융자금없는', '역세권', '고층']",37.571435,126.989418
2521754667,일반상가,월세,3/6,360,"6,500",198,179,서향,20250423,"['25년이상', '융자금없는', '역세권', '중층']",37.571435,126.989418
2521134742,일반상가,매매,1/1,,"14억 2,000",67,45,북향,20250421,"['25년이상', '역세권', '1층', '북향']",37.573307,126.989152
2521135625,일반상가,월세,1/2,420,"5,000",76,70,서향,20250421,"['25년이상', '역세권', '1층', '총2층']",37.573281,126.988193
2521237777,일반상가,월세,4/5,350,"5,000",151,151,남향,20250421,"['25년이상', '융자금적은', '역세권', '고층']",37.572738,126.989739
2521090931,일반상가,월세,4/5,220,"3,000",108,108,남서향,20250421,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.572232,126.989042
2520855308,일반상가,월세,1/1,150,"2,000",39,39,북서향,20250418,"['25년이내', '역세권', '1층', '북서향']",37.573604,126.988038
2520420141,일반상가,월세,1/5,580,"6,000",169,169,서향,20250417,"['25년이상', '역세권', '1층', '총5층']",37.57185,126.989371
2520276644,일반상가,월세,1/6,580,"6,000",164,164,서향,20250416,"['25년이상', '역세권', '1층', '서향']",37.571716,126.989297
2520359801,일반상가,월세,1/8,160,"2,500",49,49,북향,20250416,"['25년이상', '역세권', '1층', '주차가능']",37.571809,126.989782
2519272646,일반상가,월세,1/6,900,2억,144,144,동향,20250411,"['25년이상', '융자금없는', '역세권', '1층']",37.570906,126.989513
2519281003,일반상가,월세,전체층/6,400,"8,000",145,145,서향,20250411,"['25년이내', '역세권', '총2층', '서향']",37.574013,126.987763
2519294852,일반상가,월세,3/5,263,"4,400",89,89,남향,20250411,"['25년이내', '역세권', '중층', '총5층']",37.57274,126.989315
