articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524380772,복합상가,매매,B1/16,,15억,382,184,서향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.572787,126.97325
2524392816,일반상가,월세,1/1,450,"5,000",91,91,동향,20250508,"['25년이상', '역세권', '1층', '동향']",37.573214,126.97375
2524264972,단지내상가,월세,B1/1,120,"1,200",80,68,서향,20250507,"['25년이내', '융자금없는', '역세권', '지하층']",37.574191,126.970589
2524259047,단지내상가,월세,B1/1,65,"1,500",30,21,서향,20250507,"['25년이내', '융자금없는', '역세권', '지하층']",37.573598,126.972098
2524063617,일반상가,월세,B1/15,"1,500",2억,1000,483,서향,20250507,"['25년이상', '역세권', '지하층', '주차가능']",37.572787,126.97325
2524063069,일반상가,매매,B1/18,,"7억 5,000",157,83,북향,20250507,"['25년이내', '역세권', '지하층', '주차가능']",37.573794,126.973146
2524256944,단지내상가,월세,1/16,300,"7,000",49,49,북향,20250507,"['25년이내', '테라스', '역세권', '1층']",37.573977,126.971312
2523935637,일반상가,월세,2/4,480,"7,000",155,97,남향,20250507,"['25년이내', '역세권', '중층', '주차가능']",37.572883,126.970978
2524264595,단지내상가,월세,B1/1,230,"3,000",148,79,북향,20250507,"['25년이내', '융자금없는', '역세권', '지하층']",37.573431,126.973241
2524167969,단지내상가,월세,1/16,130,"1,000",47,23,동향,20250507,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.573598,126.972098
2524063724,일반상가,매매,1/16,,"6억 8,000",51,24,북동향,20250507,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.573977,126.971312
2523915719,일반상가,월세,1/6,200,"3,000",39,39,동향,20250505,"['25년이상', '융자금적은', '역세권', '1층']",37.573106,126.973821
2523480911,단지내상가,월세,B1/16,120,"1,200",68,68,서향,20250502,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.574191,126.970589
2523300855,일반상가,월세,B1/18,230,"3,000",178,76,서향,20250501,"['25년이내', '융자금없는', '역세권', '지하층']",37.573431,126.973241
2523181260,일반상가,월세,1/4,630,"9,000",140,122,남향,20250430,"['25년이내', '역세권', '1층', '주차가능']",37.572883,126.970978
2522513938,복합상가,매매,B1/16,,"7억 5,000",250,104,서향,20250428,"['25년이내', '역세권', '지하층', '주차가능']",37.573794,126.973146
2522671806,단지내상가,월세,B1/1,60,"1,500",44,21,서향,20250428,"['25년이내', '융자금없는', '역세권', '지하층']",37.573598,126.972098
2522468157,단지내상가,월세,1/16,50,500,25,12,남향,20250428,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.574191,126.970589
2522683270,단지내상가,월세,1/1,210,"4,000",38,24,북향,20250428,"['25년이내', '융자금없는', '역세권', '1층']",37.573977,126.971312
2522673930,단지내상가,월세,1/1,210,"3,000",47,23,북향,20250428,"['25년이내', '역세권', '1층', '주차가능']",37.573977,126.971312
2522564234,단지내상가,월세,B1/18,400,1억,352,145,북향,20250428,"['25년이내', '융자금없는', '역세권', '지하층']",37.573794,126.973146
2522538801,복합상가,월세,1/16,130,"2,000",51,25,동향,20250428,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.572633,126.972242
2522465032,단지내상가,월세,1/16,200,"5,000",36,16,동향,20250428,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.573598,126.972098
2521868102,일반상가,월세,4/4,220,"5,000",95,95,서향,20250424,"['25년이내', '융자금없는', '역세권', '고층']",37.572883,126.970978
2521636500,복합상가,월세,B1/18,160,"2,000",106,45,북향,20250423,"['25년이내', '역세권', '지하층', '주차가능']",37.573431,126.973241
2521360077,복합상가,매매,B1/15,,"4억 3,000",92,45,서향,20250421,"['25년이상', '역세권', '지하층', '주차가능']",37.572787,126.97325
2521360779,복합상가,매매,B1/15,,"2억 3,000",54,26,남향,20250421,"['25년이상', '역세권', '지하층', '주차가능']",37.572787,126.97325
2520815001,일반상가,월세,1/6,210,"3,500",66,34,북동향,20250418,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.573106,126.973821
2520900219,일반상가,월세,2/5,550,"5,500",180,155,동향,20250418,"['4년이내', '역세권', '중층', '주차가능']",37.572926,126.971593
2520732083,일반상가,월세,1/4,630,"9,000",140,140,남동향,20250418,"['25년이내', '역세권', '1층', '주차가능']",37.572883,126.970978
2520755597,일반상가,월세,1/18,430,"7,000",125,66,남서향,20250418,"['25년이내', '역세권', '1층', '주차가능']",37.573794,126.973146
2520862546,단지내상가,월세,1/16,120,"1,000",23,23,남향,20250418,"['25년이내', '융자금없는', '역세권', '1층']",37.573598,126.972098
2520564561,단지내상가,월세,B1/1,230,"3,000",178,76,북향,20250417,"['25년이내', '역세권', '지하층', '주차가능']",37.573431,126.973241
2520195254,단지내상가,월세,B1/15,"1,300",2억,483,483,서향,20250416,"['25년이상', '역세권', '지하층', '주차가능']",37.572787,126.97325
2519644237,복합상가,매매,B1/16,,"2억 3,000",54,26,서향,20250414,"['25년이상', '역세권', '지하층', '주차가능']",37.572787,126.97325
