articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524454012,일반상가,월세,1/3,150,"5,000",60,59,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.576299,126.970564
2524129354,일반상가,월세,1/3,150,"5,000",56,56,남향,20250507,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.576299,126.970564
2524244369,일반상가,월세,1/1,280,"3,000",79,79,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.574807,126.970718
2524223849,일반상가,월세,2/2,75,"1,000",30,16,남향,20250507,"['25년이상', '융자금없는', '역세권', '고층']",37.574601,126.97123
2521876506,일반상가,월세,1/1,250,"2,000",33,33,북향,20250424,"['15년이내', '역세권', '1층', '북향']",37.576437,126.97185
2521807527,일반상가,월세,1/1,160,"1,000",52,52,북향,20250423,"['25년이상', '융자금없는', '역세권', '1층']",37.576479,126.971946
2521640315,일반상가,월세,1/1,210,1억,47,47,북향,20250423,"['25년이상', '역세권', '1층', '북향']",37.575616,126.971236
2521394172,일반상가,월세,1/1,280,"3,000",66,66,남서향,20250422,"['25년이내', '역세권', '1층', '남서향']",37.574807,126.970718
2520110933,일반상가,월세,1/3,150,"5,000",66,56,남향,20250415,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.576299,126.970564
2519902124,일반상가,월세,4/5,400,"5,000",135,122,동향,20250414,"['25년이상', '역세권', '고층', '총5층']",37.57646,126.972293
2519683134,단지내상가,월세,1/1,280,"3,000",59,59,남서향,20250414,"['25년이상', '역세권', '1층', '남서향']",37.574807,126.970718
2518998634,일반상가,월세,1/1,700,1억,58,58,남향,20250410,"['25년이상', '역세권', '1층', '남향']",37.576272,126.971665
