articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524515092,일반상가,월세,B1/6,120,"2,000",90,74,서향,20250508,"['25년이상', '역세권', '지하층', '천장에어컨']",37.572372,126.974178
2524398126,복합상가,월세,1/10,"1,100","1억 5,000",318,199,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.571874,126.973318
2524385351,복합상가,월세,1/10,"3,000","3억 5,000",811,507,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.571874,126.973318
2524383183,복합상가,월세,1/10,100,"1,000",26,26,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.571377,126.973701
2524401349,일반상가,월세,B1/6,200,"2,500",55,55,동향,20250508,"['25년이상', '역세권', '지하층', '동향']",37.571288,126.974703
2524388216,일반상가,월세,3/6,450,"8,000",100,100,동향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.570704,126.974729
2524320512,일반상가,월세,1/2,"1,200","1억 5,000",132,132,동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.571218,126.975501
2524148587,일반상가,월세,4/4,800,"8,000",136,136,동향,20250507,"['25년이상', '역세권', '고층', '총4층']",37.57103,126.97456
2524006329,일반상가,월세,B1/14,135,"2,000",62,39,북향,20250507,"['25년이상', '역세권', '지하층', '주차가능']",37.571997,126.974328
2524011040,일반상가,월세,B1/10,130,"2,000",61,44,서향,20250507,"['25년이상', '역세권', '지하층', '주차가능']",37.571874,126.973318
2524008611,일반상가,월세,B1/6,120,"2,000",74,56,서향,20250507,"['25년이상', '역세권', '지하층', '서향']",37.572372,126.974178
2524273120,일반상가,월세,3/4,470,"7,000",180,161,동향,20250507,"['25년이상', '융자금없는', '역세권', '고층']",37.571354,126.975544
2523915753,일반상가,월세,1/5,400,1억,66,66,남동향,20250505,"['25년이상', '융자금적은', '역세권', '1층']",37.572494,126.974266
2523504688,일반상가,월세,3/6,180,"2,000",105,105,북향,20250502,"['25년이내', '역세권', '중층', '북향']",37.571097,126.974386
2523504847,일반상가,월세,B1/12,98,"1,500",81,36,동향,20250502,"['25년이상', '역세권', '지하층', '엘리베이터']",37.571405,126.974457
2523399544,복합상가,매매,B1/14,,"2억 3,000",36,22,동향,20250502,"['25년이상', '역세권', '지하층', '주차가능']",37.571997,126.974328
2523298376,복합상가,월세,B1/14,135,"2,000",62,38,동향,20250501,"['25년이상', '융자금없는', '역세권', '지하층']",37.571997,126.974328
2523297773,일반상가,매매,B1/14,,"2억 3,000",34,21,동향,20250501,"['25년이상', '역세권', '지하층', '주차가능']",37.571997,126.974328
2523298218,일반상가,월세,B1/12,65,"1,000",57,26,동향,20250501,"['25년이상', '융자금없는', '역세권', '지하층']",37.571405,126.974457
2522846609,일반상가,월세,1/10,79,945,28,23,동향,20250429,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.571377,126.973701
2522817874,일반상가,월세,4/5,700,"8,000",204,152,동향,20250429,"['25년이상', '융자금없는', '역세권', '고층']",37.570864,126.974574
2522773186,일반상가,월세,4/10,225,"2,700",148,81,북향,20250428,"['25년이상', '역세권', '중층', '주차가능']",37.571377,126.973701
2522514475,일반상가,월세,4/5,800,"8,000",136,136,동향,20250428,"['25년이상', '융자금없는', '테라스', '역세권']",37.57103,126.97456
2522527796,복합상가,월세,B1/14,150,"2,500",63,38,동향,20250428,"['25년이상', '융자금없는', '역세권', '지하층']",37.571997,126.974328
2522773262,일반상가,월세,4/4,800,"8,000",112,70,동향,20250428,"['25년이상', '역세권', '고층', '엘리베이터']",37.57103,126.97456
