articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524465488,일반상가,월세,B1/8,210,"2,400",142,142,북향,20250508,"['25년이상', '역세권', '지하층', '북향']",37.572318,126.99049
2524396981,일반상가,월세,1/1,"1,000","1억 5,000",81,81,동향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.573002,126.990522
2524500999,일반상가,매매,2/9,,"3,000",13,3,남동향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.571044,126.991234
2524472717,일반상가,월세,7/9,"1,100","1억 5,000",572,257,동향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.571044,126.991234
2524367271,일반상가,매매,1/1,,"18억 5,000",48,48,북향,20250508,"['25년이상', '역세권', '1층', '북향']",37.571543,126.990604
2523900956,일반상가,월세,B1/8,210,"2,400",146,145,,20250507,"['25년이상', '융자금없는', '역세권', '지하층']",37.572318,126.99049
2524093206,일반상가,월세,2/6,130,"2,000",60,60,동향,20250507,"['25년이상', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.571655,126.991445
2524120010,일반상가,월세,1/1,760,"1억 5,000",69,69,남향,20250507,"['25년이상', '역세권', '1층', '남향']",37.572973,126.990773
2524101737,일반상가,월세,1/1,145,"2,000",33,33,서향,20250507,"['25년이내', '역세권', '1층', '서향']",37.570933,126.99056
2524099001,단지내상가,월세,1/5,"1,000",1억,133,133,남향,20250507,"['25년이상', '역세권', '1층', '총5층']",37.572716,126.990699
2524325165,일반상가,월세,6/10,60,500,16,9,동향,20250507,"['25년이내', '역세권', '중층', '주차가능']",37.571044,126.991234
2523511493,일반상가,월세,7/10,"2,200",3억,981,595,남향,20250502,"['25년이내', '역세권', '고층', '주차가능']",37.571044,126.991234
2522433993,일반상가,월세,1/1,400,"6,000",39,39,남향,20250426,"['25년이상', '역세권', '1층', '남향']",37.570817,126.990594
2522410778,일반상가,월세,1/2,"1,000","1억 5,000",127,127,동향,20250426,"['25년이상', '마당', '역세권', '1층']",37.573002,126.990522
2522237276,일반상가,월세,1/2,60,500,16,13,서향,20250425,"['25년이내', '역세권', '1층', '총2층']",37.572234,126.990408
2521886224,일반상가,월세,3/5,340,"3,000",134,134,남동향,20250424,"['25년이상', '역세권', '중층', '엘리베이터']",37.572039,126.991323
2521771191,일반상가,월세,2/6,350,"4,000",86,86,남향,20250423,"['15년이내', '역세권', '지상층(1층제외)', '남향']",37.572691,126.98995
2521236461,일반상가,월세,2/6,340,"4,000",98,86,남향,20250421,"['10년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.572691,126.98995
2520919505,일반상가,매매,B1/10,,"21억 5,000",386,198,남향,20250418,"['25년이상', '역세권', '지하층', '남향']",37.572309,126.989853
2520526539,단지내상가,매매,B1/10,,32억,519,266,북향,20250417,"['25년이상', '역세권', '지하층', '주차가능']",37.572309,126.989853
2520081417,일반상가,월세,1/2,800,"1억 5,000",86,86,동향,20250415,"['25년이상', '역세권', '1층', '총2층']",37.573133,126.991024
2520088044,일반상가,월세,3/3,279,"3,000",91,79,남향,20250415,"['25년이상', '역세권', '고층', '총3층']",37.57269,126.99037
2519735074,일반상가,월세,1/1,200,"3,000",61,61,동향,20250414,"['25년이상', '역세권', '1층', '동향']",37.571495,126.990909
2519681319,일반상가,월세,1/1,760,"1억 5,000",99,99,남동향,20250414,"['25년이상', '역세권', '1층', '남동향']",37.572973,126.990773
2519746798,일반상가,매매,B1/10,,28억,388,199,북향,20250414,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.572309,126.989853
2519801562,일반상가,월세,1/1,760,"1억 5,000",99,69,남향,20250414,"['25년이상', '융자금적은', '역세권', '1층']",37.572973,126.990773
2519542615,일반상가,월세,7/9,"1,200","1억 5,000",565,296,동향,20250412,"['25년이내', '역세권', '고층', '주차가능']",37.571044,126.991234
2518771009,일반상가,월세,7/10,"2,300",3억,555,555,동향,20250409,"['25년이내', '융자금없는', '역세권', '고층']",37.571044,126.991234
