articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524638615,일반상가,월세,B1/6,350,"8,000",268,268,북향,20250509,"['25년이상', '융자금없는', '역세권', '지하층']",37.582983,127.003253
2524640315,일반상가,월세,B1/6,"1,000",2억,287,287,서향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.582301,127.002517
2524641180,일반상가,월세,1/5,"1,500",3억,226,226,북동향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.581608,127.003714
2524480616,일반상가,월세,1/6,"1,700",2억,340,340,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.58278,127.002838
2524355213,일반상가,월세,5/6,520,"1억 5,000",311,311,남향,20250508,"['25년이내', '융자금없는', '역세권', '고층']",37.582772,127.003612
2524312081,일반상가,월세,1/6,330,"5,000",66,50,남향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.582772,127.003612
2524402884,일반상가,월세,1/3,230,"3,000",49,49,서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.579828,127.004769
2524443702,일반상가,월세,1/3,230,"3,000",196,49,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.579828,127.004769
2524444256,일반상가,월세,2/6,550,"1억 5,000",232,232,북향,20250508,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.583013,127.002641
2524102692,일반상가,매매,1/2,,9억,39,39,남동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.583352,127.004204
2523995408,일반상가,월세,2/5,590,"8,000",251,173,남동향,20250507,"['25년이내', '역세권', '중층', '엘리베이터']",37.583267,127.002445
2524169408,일반상가,월세,4/5,400,"5,000",154,154,북향,20250507,"['25년이상', '융자금적은', '역세권', '고층']",37.581611,127.003259
2524169027,일반상가,월세,2/5,600,1억,183,183,남향,20250507,"['15년이내', '융자금없는', '역세권', '중층']",37.580998,127.003704
2524260592,일반상가,월세,4/5,600,"5,000",188,188,남서향,20250507,"['25년이상', '역세권', '고층', '주차가능']",37.582715,127.002147
2524033114,일반상가,월세,2/6,480,1억,228,228,동향,20250507,"['25년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.580778,127.004153
2523939174,일반상가,월세,6/11,550,1억,214,214,동향,20250507,"['15년이내', '융자금없는', '역세권', '중층']",37.581203,127.003707
2524034713,일반상가,월세,1/5,800,"1억 5,000",161,161,남향,20250507,"['15년이내', '역세권', '1층', '주차가능']",37.580998,127.003704
2524060455,일반상가,월세,B1/6,330,"5,000",46,37,남향,20250507,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.582772,127.003612
2523937146,일반상가,월세,5/6,700,"1억 5,000",249,249,남동향,20250507,"['25년이내', '역세권', '고층', '주차가능']",37.582772,127.003612
2523785428,일반상가,월세,1/4,120,"2,000",121,121,남서향,20250503,"['25년이상', '역세권', '1층', '주차가능']",37.580359,127.005289
2523529330,일반상가,월세,3/5,280,"3,000",168,149,서향,20250502,"['25년이상', '융자금적은', '역세권', '중층']",37.580127,127.003693
2523559622,일반상가,월세,B1/6,360,"3,000",202,202,동향,20250502,"['25년이상', '역세권', '지하층', '주차가능']",37.58073,127.003702
2523475263,일반상가,월세,2/2,550,1억,155,155,남향,20250502,"['25년이상', '역세권', '고층', '총2층']",37.58054,127.004201
2523126140,일반상가,월세,5/6,400,"5,000",251,174,남동향,20250430,"['25년이내', '역세권', '고층', '주차가능']",37.583267,127.002445
2523097244,일반상가,월세,1/3,140,"3,000",35,35,서향,20250430,"['25년이상', '융자금적은', '역세권', '1층']",37.582158,127.004775
2523113439,일반상가,월세,2/6,550,"1억 5,000",232,231,북향,20250430,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.583013,127.002641
2522760705,일반상가,월세,1/6,"1,290","1억 5,000",147,147,북동향,20250428,"['25년이상', '융자금적은', '역세권', '1층']",37.583015,127.003055
2522613450,일반상가,월세,1/3,150,"3,000",27,27,남서향,20250428,"['4년이내', '역세권', '1층', '주차가능']",37.580634,127.006265
2522555340,일반상가,월세,5/5,400,"5,000",132,132,북서향,20250428,"['25년이상', '역세권', '고층', '주차가능']",37.582471,127.004002
2522762342,일반상가,월세,2/5,800,2억,193,193,서향,20250428,"['25년이상', '역세권', '중층', '주차가능']",37.582715,127.002147
2522560323,일반상가,월세,2/5,590,"8,000",174,174,북향,20250428,"['25년이내', '역세권', '중층', '주차가능']",37.583267,127.002445
2522374098,일반상가,월세,1/4,200,"6,000",52,52,남서향,20250426,"['25년이상', '역세권', '1층', '총4층']",37.582,127.004249
2522373777,일반상가,월세,3/5,"1,100",1억,329,292,서향,20250426,"['25년이상', '역세권', '중층', '주차가능']",37.581553,127.002339
2522379891,일반상가,월세,2/6,500,"8,000",229,208,남향,20250426,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.581888,127.003718
2522425420,일반상가,월세,B1/3,140,"3,000",27,27,남서향,20250426,"['4년이내', '역세권', '지하층', '총3층']",37.580634,127.006265
2522293981,일반상가,월세,2/5,590,"8,000",251,174,북향,20250425,"['25년이내', '역세권', '중층', '주차가능']",37.583267,127.002445
2522301299,일반상가,월세,3/5,470,"5,000",188,188,북향,20250425,"['10년이내', '역세권', '중층', '주차가능']",37.582499,127.00308
2522206093,일반상가,월세,B1/6,"1,300","1억 3,000",710,616,서향,20250425,"['25년이상', '역세권', '지하층', '주차가능']",37.582782,127.002631
2521656180,일반상가,월세,1/5,"1,700",2억,339,339,남향,20250423,"['25년이상', '역세권', '1층', '주차가능']",37.58278,127.002838
2521631669,일반상가,월세,B1/3,230,"3,000",49,49,북향,20250423,"['25년이상', '역세권', '지하층', '총3층']",37.579828,127.004769
2521736646,일반상가,월세,1/6,"1,700",2억,290,290,남향,20250423,"['25년이상', '역세권', '1층', '주차가능']",37.58278,127.002838
2521433794,일반상가,매매,전체층/1,,12억,27,27,서향,20250422,"['2년이내', '역세권', '화재경보기', '현관보안']",37.581005,127.004753
2521585304,일반상가,월세,5/5,400,"5,000",251,174,북향,20250422,"['25년이내', '융자금없는', '역세권', '고층']",37.583267,127.002445
2521116001,일반상가,월세,1/6,690,1억,357,291,서향,20250421,"['25년이내', '융자금없는', '테라스', '역세권']",37.582908,127.004824
2521350041,일반상가,월세,1/6,330,"5,000",46,46,남향,20250421,"['25년이내', '융자금적은', '역세권', '1층']",37.582772,127.003612
2521090893,일반상가,월세,2/6,370,"5,000",197,197,북향,20250421,"['25년이상', '역세권', '지상층(1층제외)', '북향']",37.582983,127.003253
2521116296,일반상가,월세,2/5,800,2억,193,190,남향,20250421,"['25년이상', '융자금적은', '역세권', '중층']",37.582715,127.002147
2521093027,일반상가,월세,6/6,320,"5,000",123,123,남동향,20250421,"['25년이내', '융자금적은', '테라스', '역세권']",37.582499,127.003272
2520760799,일반상가,월세,5/5,662,1억,435,314,서향,20250418,"['25년이상', '역세권', '고층', '주차가능']",37.582471,127.004002
2520529605,일반상가,월세,4/5,470,"5,000",188,188,북향,20250417,"['10년이내', '역세권', '고층', '주차가능']",37.582499,127.00308
2520524534,일반상가,월세,2/5,400,"5,000",150,128,서향,20250417,"['25년이상', '역세권', '중층', '주차가능']",37.581553,127.002339
2520284088,일반상가,월세,4/4,330,"5,000",198,198,남향,20250416,"['25년이상', '역세권', '고층', '총4층']",37.581893,127.002796
2519929521,일반상가,월세,5/5,662,1억,435,435,서향,20250415,"['25년이상', '역세권', '고층', '주차가능']",37.582471,127.004002
2519708920,일반상가,월세,1/6,330,"5,000",49,49,남동향,20250414,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.582772,127.003612
2519769352,일반상가,월세,6/6,330,"5,000",123,120,동향,20250414,"['25년이내', '테라스', '역세권', '고층']",37.582499,127.003272
2519318808,복합상가,월세,4/4,800,"7,000",225,195,남서향,20250411,"['10년이내', '고층', '주차가능', '총4층']",37.578987,127.005523
2519318908,복합상가,월세,3/4,"1,600","1억 4,000",405,350,남향,20250411,"['10년이내', '마당', '고층', '주차가능']",37.578987,127.005523
2519089751,일반상가,월세,1/6,"1,700",2억,297,297,남향,20250410,"['25년이상', '융자금적은', '역세권', '1층']",37.58278,127.002838
2519028304,일반상가,월세,5/6,600,"8,000",233,233,동향,20250410,"['25년이상', '융자금없는', '역세권', '고층']",37.581596,127.002807
2519026735,일반상가,월세,5/5,400,"5,000",174,174,북향,20250410,"['25년이내', '역세권', '고층', '주차가능']",37.583267,127.002445
2518989196,일반상가,월세,1/6,690,1억,291,291,남동향,20250410,"['25년이내', '테라스', '역세권', '1층']",37.582908,127.004824
2519004362,일반상가,월세,1/3,230,"3,000",46,46,동향,20250410,"['25년이상', '역세권', '1층', '총3층']",37.579828,127.004769
2518646620,일반상가,월세,1/5,480,"5,000",102,39,서향,20250409,"['25년이상', '역세권', '1층', '총5층']",37.581,127.003515
