articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524472400,일반상가,월세,1/4,"2,500","2억 5,000",390,390,동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.583603,126.999092
2524391408,일반상가,월세,1/2,200,"2,000",38,38,북동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.58363,126.998017
2524422156,일반상가,월세,4/10,350,"7,000",252,252,북서향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.584414,127.000536
2524401257,단지내상가,월세,1/10,200,"4,000",75,53,남동향,20250508,"['10년이내', '융자금없는', '역세권', '1층']",37.58421,126.999673
2524469916,일반상가,월세,1/4,155,"3,000",65,65,남동향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.584155,126.997994
2524443161,단지내상가,월세,1/8,160,"3,000",92,54,남동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.585619,127.000268
2524400415,일반상가,월세,B1/5,120,"1,000",70,66,남동향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.584191,127.000324
2523841087,일반상가,월세,1/3,300,"8,000",78,26,남향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.583015,126.99929
2523908167,일반상가,월세,B1/3,350,"5,000",187,187,남향,20250507,"['25년이상', '융자금없는', '역세권', '지하층']",37.583982,127.000829
2523932300,일반상가,월세,1/3,180,"5,000",56,56,남서향,20250507,"['25년이상', '1층', '총3층', '남서향']",37.585198,126.997269
2523841480,일반상가,월세,1/5,"1,500",5억,129,129,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.583446,127.000395
2523995361,일반상가,월세,1/1,"2,100",2억,121,121,남동향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.58367,127.000855
2523856990,일반상가,월세,1/2,230,"5,000",59,59,남동향,20250507,"['25년이상', '테라스', '마당', '역세권']",37.584588,126.997603
2523906818,일반상가,월세,2/4,200,"3,000",124,115,서향,20250507,"['25년이상', '역세권', '중층', '총4층']",37.583876,126.997716
2524247073,일반상가,매매,5/6,,22억,492,369,남서향,20250507,"['25년이내', '역세권', '고층', '주차가능']",37.584,126.99819
2524246510,일반상가,월세,1/5,"1,500",5억,111,111,북향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.583446,127.000395
