articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524636735,일반상가,월세,1/2,210,"3,000",26,26,서향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.572198,126.991847
2524464511,일반상가,월세,9/10,"1,051",10억,803,558,서향,20250508,"['25년이내', '테라스', '역세권', '고층']",37.570981,126.992518
2524102705,일반상가,월세,1/4,180,"2,000",15,15,동향,20250507,"['25년이상', '역세권', '1층', '총4층']",37.572377,126.991396
2524132453,일반상가,월세,10/10,"1,300",5억,731,558,서향,20250507,"['25년이내', '융자금적은', '역세권', '고층']",37.570981,126.992518
2524325602,일반상가,월세,1/2,210,"3,000",16,16,서향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.572198,126.991847
2523120601,일반상가,월세,1/4,250,"4,000",26,26,북동향,20250430,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.572377,126.991396
2522515542,일반상가,월세,1/4,300,"4,000",23,23,북동향,20250428,"['25년이상', '역세권', '1층', '총4층']",37.572377,126.991396
2522752329,일반상가,월세,B3/10,"1,300",5억,1026,712,서향,20250428,"['25년이내', '역세권', '지하층', '주차가능']",37.570981,126.992518
2522322579,일반상가,월세,B3/20,"1,000",5억,919,919,북향,20250426,"['25년이상', '융자금적은', '역세권', '지하층']",37.570981,126.992518
2522437700,일반상가,월세,B3/10,"1,300",5억,1028,710,남향,20250426,"['25년이내', '융자금적은', '역세권', '지하층']",37.570981,126.992518
2521767964,일반상가,월세,2/3,650,"1억 5,000",85,72,북동향,20250423,"['25년이내', '역세권', '중층', '총3층']",37.571008,126.991894
2521728726,일반상가,월세,10/10,"1,050",10억,803,558,서향,20250423,"['25년이내', '역세권', '고층', '주차가능']",37.570981,126.992518
2521557511,단지내상가,월세,2/3,600,"1억 5,000",85,85,서향,20250422,"['25년이상', '역세권', '중층', '총3층']",37.571008,126.991894
2521234645,일반상가,월세,1/4,230,"3,000",19,19,북동향,20250421,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.572377,126.991396
2520513661,일반상가,월세,1/5,"1,000","1억 5,000",145,115,서향,20250417,"['25년이상', '역세권', '1층', '총5층']",37.573544,126.991473
2519442266,일반상가,월세,1/4,250,"4,000",36,36,동향,20250412,"['25년이상', '역세권', '1층', '총4층']",37.572377,126.991396
