articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524586934,단지내상가,매매,B1/1,,"5억 8,000",54,27,남서향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.573824,126.959322
2524122066,단지내상가,월세,1/1,200,"3,000",77,38,남서향,20250507,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.573824,126.959322
2524046373,복합상가,매매,2/4,,"5억 2,000",67,67,남서향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.575866,126.95679
2524046249,단지내상가,매매,2/4,,"3억 3,000",57,42,남서향,20250507,"['25년이내', '역세권', '중층', '관리비10만원이하']",37.577009,126.957449
2523966926,단지내상가,월세,1/1,165,"5,000",54,27,남서향,20250506,"['10년이내', '융자금없는', '역세권', '1층']",37.573824,126.959322
2523528933,일반상가,매매,1/4,,4억,30,30,남서향,20250502,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.575866,126.95679
2522478651,일반상가,월세,1/3,100,"4,000",54,54,남서향,20250428,"['25년이상', '융자금없는', '역세권', '1층']",37.573686,126.960576
2521591490,단지내상가,매매,1/1,,8억,75,37,남서향,20250422,"['10년이내', '역세권', '1층', '주차가능']",37.573824,126.959322
2521370845,복합상가,매매,2/4,,"3억 6,500",36,36,남서향,20250421,"['25년이상', '역세권', '중층', '주차가능']",37.575866,126.95679
2521336031,단지내상가,월세,1/1,230,"5,000",59,30,남서향,20250421,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.573824,126.959322
2520668490,복합상가,매매,1/4,,"6억 9,000",40,40,남동향,20250418,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.575866,126.95679
2520809794,단지내상가,매매,4/4,,"3억 2,000",99,67,남서향,20250418,"['25년이내', '역세권', '고층', '주차가능']",37.577009,126.957449
2520702175,단지내상가,월세,1/1,230,"3,000",65,33,남서향,20250418,"['10년이내', '융자금없는', '역세권', '1층']",37.573824,126.959322
2519150647,단지내상가,월세,B1/1,200,"3,000",77,38,남서향,20250411,"['10년이내', '융자금없는', '역세권', '지하층']",37.573824,126.959322
2519151170,단지내상가,월세,B1/1,220,"5,000",92,46,남서향,20250411,"['10년이내', '융자금없는', '역세권', '지하층']",37.573824,126.959322
2518983547,단지내상가,월세,1/1,200,"3,000",38,38,남서향,20250410,"['10년이내', '융자금없는', '역세권', '1층']",37.573824,126.959322
