articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524335371,일반상가,월세,1/4,260,"3,000",80,80,북동향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.598013,126.961929
2523800797,단지내상가,월세,1/5,80,"1,000",16,16,동향,20250503,"['25년이내', '1층', '관리비10만원이하', '총5층']",37.596496,126.963725
2523371994,일반상가,월세,B1/2,300,1억,139,139,동향,20250502,"['10년이내', '지하층', '관리비10만원이하', '주차가능']",37.593396,126.963464
2522758521,일반상가,월세,5/5,50,500,10,10,남서향,20250428,"['25년이내', '테라스', '고층', '관리비10만원이하']",37.596496,126.963725
2522437654,일반상가,월세,1/2,140,"2,000",55,55,동향,20250426,"['25년이상', '융자금없는', '1층', '총2층']",37.592551,126.96388
2521790136,일반상가,월세,2/3,850,1억,324,324,남향,20250423,"['10년이내', '중층', '주차가능', '엘리베이터']",37.5942,126.962714
2521775493,일반상가,월세,1/2,300,1억,139,139,동향,20250423,"['10년이내', '1층', '주차가능', '총2층']",37.593396,126.963464
2521790971,일반상가,월세,1/4,150,"2,000",51,41,남서향,20250423,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.59814,126.962504
2521242651,일반상가,월세,1/2,70,"1,000",15,15,북향,20250421,"['25년이상', '1층', '총2층', '북향']",37.5924,126.965733
2521281675,일반상가,월세,1/2,140,"2,000",69,56,남동향,20250421,"['25년이상', '융자금없는', '1층', '풀옵']",37.592551,126.96388
2521105941,일반상가,월세,전체층/3,650,1억,360,360,동향,20250421,"['15년이내', '주차가능', '총3층', '동향']",37.594078,126.9672
2519623493,일반상가,월세,3/4,800,1억,324,324,남향,20250414,"['10년이내', '고층', '주차가능', '엘리베이터']",37.5942,126.962714
2519630792,일반상가,월세,1/2,300,1억,150,100,동향,20250414,"['25년이내', '융자금없는', '1층', '주차가능']",37.593396,126.963464
2519579581,일반상가,월세,3/4,100,"1,000",123,99,남서향,20250412,"['25년이상', '고층', '주차가능', '총4층']",37.598048,126.962622
