articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524496085,일반상가,월세,1/3,"1,200",3억,133,133,서향,20250508,"['10년이내', '1층', '총3층', '서향']",37.584639,126.982311
2524193070,일반상가,월세,B1/2,400,"5,000",52,52,북향,20250507,"['25년이상', '지하층', '총2층', '북향']",37.588066,126.981866
2524182439,일반상가,매매,1/3,,80억,212,212,서향,20250507,"['25년이상', '1층', '총3층', '서향']",37.582678,126.982001
2524176645,일반상가,월세,3/3,450,"6,000",123,123,동향,20250507,"['25년이상', '고층', '주차가능', '총3층']",37.587136,126.981479
2524323416,일반상가,월세,2/3,170,"6,000",59,59,서향,20250507,"['25년이상', '중층', '총3층', '서향']",37.584199,126.982163
2523558044,일반상가,월세,1/2,900,"1억 5,000",145,145,북향,20250502,"['25년이상', '1층', '총2층', '북향']",37.588066,126.981866
2523641677,일반상가,월세,1/2,600,"7,000",148,148,서향,20250502,"['25년이상', '1층', '총2층', '서향']",37.584402,126.982225
2523035037,일반상가,단기임대,전체층/3,"1,000","1,000",286,286,남향,20250430,"['15년이내', '총3층', '남향']",37.584939,126.982775
2523064437,일반상가,매매,1/1,,18억,102,52,북동향,20250430,"['25년이내', '1층', '북동향']",37.5844,126.982401
2522779544,일반상가,월세,1/2,900,"1억 3,000",142,142,서향,20250429,"['25년이상', '1층', '총2층', '서향']",37.588066,126.981866
2522790696,일반상가,월세,B1/2,400,"5,000",53,53,서향,20250429,"['25년이상', '지하층', '총2층', '서향']",37.588066,126.981866
2522399186,일반상가,월세,1/3,"1,300",3억,209,167,서향,20250426,"['15년이내', '1층', '주차가능', '총3층']",37.585387,126.982191
2522182533,일반상가,월세,1/3,"1,200",2억,154,154,서향,20250425,"['15년이내', '1층', '주차가능', '총3층']",37.583715,126.982
2521917031,일반상가,월세,1/1,500,1억,99,99,북서향,20250424,"['25년이상', '1층', '북서향']",37.584298,126.982197
2521642392,일반상가,월세,1/2,400,"5,000",82,82,북서향,20250423,"['25년이내', '1층', '총2층', '북서향']",37.584869,126.982616
2521691174,일반상가,월세,1/3,"2,000",2억,294,294,서향,20250423,"['15년이내', '1층', '총3층', '서향']",37.584716,126.982356
2521497907,일반상가,월세,1/2,280,"5,000",130,130,남서향,20250422,"['25년이내', '1층', '총2층', '남서향']",37.586179,126.982032
2521303028,일반상가,월세,1/2,"1,200","1억 5,000",195,195,서향,20250421,"['25년이상', '1층', '천장에어컨', '총2층']",37.587757,126.981834
2521148161,일반상가,월세,B1/2,"1,500",2억,164,164,북향,20250421,"['25년이상', '지하층', '총2층', '북향']",37.588066,126.981866
2521185699,일반상가,매매,1/3,,87억,416,124,남향,20250421,"['25년이상', '1층', '주차가능', '총3층']",37.587316,126.983274
2520476467,일반상가,월세,1/1,850,2억,89,89,남향,20250417,"['4년이내', '융자금없는', '1층', '남향']",37.583585,126.981551
2520048844,일반상가,월세,1/2,"1,200","1억 5,000",208,208,서향,20250415,"['25년이상', '1층', '총2층', '서향']",37.587757,126.981834
2519839975,일반상가,월세,1/3,450,1억,148,148,남향,20250414,"['10년이내', '1층', '총3층', '남향']",37.583209,126.98206
2519598077,일반상가,단기임대,3/3,"1,000","1,000",286,286,서향,20250414,"['15년이내', '고층', '인터폰', '천장에어컨']",37.584939,126.982775
2519691824,일반상가,월세,1/2,600,"7,000",69,69,서향,20250414,"['10년이내', '1층', '총2층', '서향']",37.584402,126.982225
2519622977,일반상가,월세,1/1,900,2억,199,89,남향,20250414,"['2년이내', '1층', '남향']",37.583585,126.981551
2519434782,일반상가,월세,1/2,"1,500",2억,196,196,북향,20250412,"['25년이상', '1층', '총2층', '북향']",37.588066,126.981866
2519404452,일반상가,월세,1/3,"1,500",3억,61,61,서향,20250411,"['10년이내', '1층', '총3층', '서향']",37.584639,126.982311
2519269731,일반상가,매매,전체층/3,,20억,69,69,동향,20250411,"['25년이상', '총3층', '동향']",37.586451,126.981559
2519368182,일반상가,월세,B1/3,180,"3,000",20,20,동향,20250411,"['10년이내', '융자금없는', '지하층', '주차가능']",37.587517,126.981523
