articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524464069,일반상가,월세,1/20,"4,978","4억 9,788",609,341,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.569682,126.976303
2524463722,일반상가,월세,1/20,"9,995","9억 9,639",1359,684,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.569682,126.976303
2524463955,일반상가,월세,1/20,"5,016",5억 166,614,343,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.569682,126.976303
2522948052,일반상가,월세,4/12,250,"4,200",66,56,동향,20250429,"['25년이상', '역세권', '지상층(1층제외)', '엘리베이터']",37.570613,126.976359
2521975008,일반상가,월세,3/11,700,"8,400",129,105,서향,20250424,"['25년이상', '역세권', '지상층(1층제외)', '엘리베이터']",37.570613,126.976359
2521886972,일반상가,월세,4/12,250,"3,500",128,66,동향,20250424,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.570613,126.976359
2521297579,일반상가,월세,1/20,"9,995","9억 9,954",1223,684,동향,20250421,"['25년이상', '역세권', '1층', '주차가능']",37.569682,126.976303
2520333134,복합상가,월세,1/20,"4,900","4억 9,000",341,341,동향,20250416,"['25년이상', '역세권', '1층', '주차가능']",37.569682,126.976303
2520093820,일반상가,월세,3/12,600,"8,400",129,99,동향,20250415,"['25년이상', '역세권', '지상층(1층제외)', '엘리베이터']",37.570613,126.976359
2520105502,일반상가,월세,2/3,200,"2,000",33,33,북향,20250415,"['25년이상', '역세권', '중층', '총3층']",37.571551,126.976105
2519639133,일반상가,월세,3/12,600,"8,400",129,129,동향,20250414,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.570613,126.976359
