articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524303779,일반상가,월세,1/1,500,1억,59,59,북서향,20250508,"['25년이상', '역세권', '1층', '북서향']",37.573525,126.981449
2524351175,단지내상가,매매,1/13,,"4억 8,000",50,24,남향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.572573,126.981825
2524150017,일반상가,월세,1/18,953,"1억 2,962",147,62,서향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.572662,126.981093
2524186946,일반상가,월세,B1/11,60,800,40,18,동향,20250507,"['25년이상', '융자금없는', '역세권', '지하층']",37.572941,126.980465
2523677856,복합상가,월세,1/13,210,"3,000",107,53,북향,20250503,"['25년이내', '융자금없는', '1층', '주차가능']",37.572573,126.981825
2523746321,일반상가,월세,1/13,130,"2,000",40,18,서향,20250503,"['25년이내', '융자금없는', '역세권', '1층']",37.572573,126.981825
2523646105,단지내상가,월세,B1/13,120,"1,000",73,36,동향,20250503,"['25년이내', '융자금없는', '역세권', '지하층']",37.572573,126.981825
2523652349,일반상가,월세,3/5,125,"1,500",60,45,동향,20250503,"['10년이내', '융자금없는', '역세권', '중층']",37.575285,126.982095
2522986865,단지내상가,월세,B1/13,120,"1,000",71,36,서향,20250429,"['25년이내', '융자금없는', '역세권', '지하층']",37.572573,126.981825
2522984059,단지내상가,월세,B1/13,220,"2,500",130,67,남향,20250429,"['25년이내', '융자금없는', '역세권', '지하층']",37.572573,126.981825
2522986678,단지내상가,매매,1/13,,"4억 8,000",71,32,남향,20250429,"['25년이내', '역세권', '1층', '주차가능']",37.572573,126.981825
2522472239,단지내상가,매매,1/13,,11억,125,57,남향,20250428,"['25년이내', '역세권', '1층', '주차가능']",37.572573,126.981825
2522518559,일반상가,월세,B1/13,150,"2,000",99,51,남향,20250428,"['25년이내', '역세권', '지하층', '주차가능']",37.572573,126.981825
2522445681,단지내상가,월세,1/18,190,"2,000",75,34,남향,20250426,"['10년이내', '융자금없는', '역세권', '1층']",37.572573,126.981825
2522248468,일반상가,월세,B1/17,257,"4,900",185,111,동향,20250425,"['15년이내', '역세권', '지하층', '주차가능']",37.574399,126.980489
2521382687,일반상가,월세,6/18,"9,612","9억 6,129",2389,1318,서향,20250421,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.572662,126.981093
2520797997,일반상가,월세,1/18,519,"5,193",46,46,서향,20250418,"['10년이내', '역세권', '1층', '주차가능']",37.572662,126.981093
2520635104,단지내상가,월세,1/13,200,"5,000",55,27,서향,20250417,"['25년이내', '융자금없는', '역세권', '1층']",37.572573,126.981825
2520636596,단지내상가,월세,B1/13,125,"2,200",102,52,남향,20250417,"['25년이내', '융자금없는', '역세권', '지하층']",37.572573,126.981825
2520411433,단지내상가,월세,1/13,200,"5,000",56,27,북향,20250417,"['25년이내', '역세권', '1층', '주차가능']",37.572573,126.981825
2520411896,단지내상가,월세,1/13,190,"2,000",75,33,남향,20250417,"['25년이내', '융자금없는', '역세권', '1층']",37.572573,126.981825
2520506268,단지내상가,매매,1/13,,12억,117,53,,20250417,"['25년이내', '역세권', '1층', '주차가능']",37.572573,126.981825
2519759660,일반상가,월세,1/18,519,"5,194",102,47,북서향,20250414,"['10년이내', '역세권', '1층', '주차가능']",37.572662,126.981093
2519520586,단지내상가,월세,B1/18,220,"3,000",200,100,남향,20250412,"['10년이내', '융자금없는', '역세권', '지하층']",37.572573,126.981825
2519007876,단지내상가,월세,1/13,190,"2,000",75,34,남동향,20250410,"['25년이내', '융자금없는', '역세권', '1층']",37.572573,126.981825
