articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524625745,복합상가,매매,1/13,,25억,233,178,북동향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.573977,127.019908
2524650645,일반상가,월세,1/5,100,"2,000",33,33,남동향,20250509,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.575444,127.019713
2524652579,일반상가,매매,B1/16,,"1억 3,000",45,41,동향,20250509,"['10년이내', '역세권', '지하층', '관리비20만원이하']",37.573964,127.02151
2524354911,일반상가,월세,1/2,210,"3,000",55,55,서향,20250508,"['25년이상', '역세권', '1층', '천장에어컨']",37.576113,127.021955
2524507506,일반상가,월세,1/9,300,"4,000",126,126,북서향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.575103,127.020281
2524301561,일반상가,월세,1/15,250,"5,000",94,52,동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.574847,127.022996
2524451893,일반상가,월세,1/4,"1,130","1억 8,000",330,264,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.574055,127.020084
2524423540,단지내상가,월세,2/2,160,"2,000",57,57,서향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.573249,127.022112
2524365713,단지내상가,월세,2/21,110,"1,000",48,32,서향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.572771,127.022293
2524350653,일반상가,월세,1/5,280,"3,000",128,115,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.574295,127.018598
2524351198,일반상가,월세,1/5,400,"5,000",133,115,남향,20250508,"['25년이상', '역세권', '1층', '총5층']",37.575538,127.022433
2524116992,단지내상가,월세,1/9,300,"4,000",184,126,북향,20250507,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.575103,127.020281
2523925938,일반상가,월세,5/10,800,2억,747,538,남동향,20250507,"['25년이상', '융자금없는', '역세권', '중층']",37.57434,127.022857
2523925788,일반상가,월세,B1/6,750,"1억 5,000",494,473,북동향,20250507,"['25년이상', '융자금없는', '역세권', '지하층']",37.576956,127.015903
2524211773,일반상가,월세,1/4,"1,130","1억 8,000",344,344,북향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.574055,127.020084
2524240181,일반상가,월세,1/14,250,"3,000",120,74,서향,20250507,"['25년이내', '융자금적은', '역세권', '1층']",37.574044,127.022836
2524212211,일반상가,월세,1/5,"1,800",2억,446,446,북동향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.574444,127.021284
2524286779,일반상가,월세,1/1,120,"1,200",29,29,남향,20250507,"['25년이상', '역세권', '1층', '남향']",37.57313,127.021634
2524056877,일반상가,월세,1/7,500,1억,115,81,,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.571979,127.020056
2524287204,복합상가,월세,1/15,250,"5,000",52,52,동향,20250507,"['25년이내', '융자금없는', '역세권', '1층']",37.574847,127.022996
2523832289,일반상가,월세,2/3,110,"1,000",66,66,북서향,20250507,"['25년이상', '융자금적은', '역세권', '중층']",37.575713,127.021818
2524288854,단지내상가,매매,B1/16,,"1억 3,000",41,41,북향,20250507,"['10년이내', '역세권', '지하층', '주차가능']",37.573964,127.02151
2524288272,단지내상가,매매,1/16,,"5억 1,000",48,31,북향,20250507,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.573964,127.02151
2523949978,일반상가,월세,1/9,300,"3,000",104,104,남향,20250506,"['25년이상', '역세권', '1층', '주차가능']",37.573639,127.020994
2524048584,단지내상가,매매,1/8,,40억,314,215,서향,20250506,"['25년이내', '역세권', '1층', '주차가능']",37.577455,127.015706
2523749897,단지내상가,월세,1/9,100,"2,000",32,24,북향,20250503,"['10년이내', '역세권', '1층', '주차가능']",37.573208,127.019477
2523711507,일반상가,월세,3/4,100,"1,500",154,77,동향,20250503,"['10년이내', '역세권', '고층', '주차가능']",37.579474,127.016325
2523687230,일반상가,월세,1/9,300,"4,000",148,115,북향,20250503,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.575103,127.020281
2523627892,일반상가,월세,1/5,"1,800",2억,300,300,북서향,20250503,"['25년이상', '역세권', '1층', '주차가능']",37.574444,127.021284
2523329663,일반상가,월세,1/3,130,"3,000",58,58,남향,20250502,"['25년이상', '역세권', '1층', '총3층']",37.578294,127.022574
2523405480,단지내상가,월세,3/15,350,1억,132,69,북향,20250502,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.572813,127.016086
2523243119,일반상가,월세,1/2,100,"1,500",41,41,남동향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.577405,127.021849
