articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524452810,일반상가,월세,1/4,"1,600","1억 5,000",155,155,남향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.57043,126.974123
2524222517,일반상가,월세,1/2,"1,400",2억,140,133,북동향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.570639,126.976013
2524072261,일반상가,월세,1/24,"2,304","5억 3,117",658,399,북향,20250507,"['25년이내', '융자금없는', '역세권', '1층']",37.569733,126.974911
2524071734,일반상가,월세,1/4,"1,600","1억 5,000",124,124,남향,20250507,"['25년이상', '역세권', '1층', '총4층']",37.57043,126.974123
2523690877,일반상가,월세,1/2,"1,400",2억,132,132,북동향,20250503,"['25년이상', '역세권', '1층', '총2층']",37.570639,126.976013
2523350082,일반상가,월세,1/4,"3,700","3억 7,000",552,552,남향,20250502,"['25년이상', '역세권', '1층', '총4층']",37.57043,126.974123
2523300704,일반상가,월세,1/2,"1,400",2억,149,132,북동향,20250501,"['25년이상', '융자금없는', '역세권', '1층']",37.570639,126.976013
2523193563,일반상가,월세,B1/24,220,"2,500",66,66,북향,20250430,"['25년이내', '역세권', '지하층', '주차가능']",37.569733,126.974911
2523041807,일반상가,월세,1/20,"5,016",5억 166,343,343,동향,20250430,"['25년이상', '융자금없는', '역세권', '1층']",37.569664,126.975984
2522922292,일반상가,월세,1/10,"1,900",4억,257,257,서향,20250429,"['25년이상', '역세권', '1층', '주차가능']",37.57134,126.97296
2522852932,일반상가,월세,B1/29,400,"5,000",124,59,북서향,20250429,"['25년이내', '역세권', '지하층', '주차가능']",37.569733,126.973153
2522803602,일반상가,월세,1/2,"1,400",2억,140,140,북서향,20250429,"['25년이상', '역세권', '1층', '총2층']",37.570639,126.976013
2522851933,일반상가,월세,1/23,"4,978","4억 9,788",609,341,동향,20250429,"['25년이내', '역세권', '1층', '주차가능']",37.569664,126.975984
2521980722,일반상가,월세,B1/23,250,"2,000",115,59,남향,20250424,"['25년이내', '융자금없는', '역세권', '지하층']",37.569733,126.974911
2521867299,일반상가,월세,3/6,390,"4,000",89,89,남향,20250424,"['25년이상', '융자금없는', '역세권', '중층']",37.570492,126.976189
2521740088,일반상가,월세,1/4,"1,600","1억 5,000",66,66,남향,20250423,"['25년이상', '역세권', '1층', '총4층']",37.57043,126.974123
2521124136,일반상가,월세,3/6,390,"4,000",91,89,남향,20250421,"['25년이상', '융자금없는', '역세권', '중층']",37.570492,126.976189
2520789000,일반상가,월세,4/6,300,"5,000",66,56,남향,20250418,"['25년이상', '역세권', '중층', '엘리베이터']",37.570519,126.976079
2520607827,일반상가,월세,3/6,390,"4,000",91,91,남향,20250417,"['25년이상', '역세권', '중층', '남향']",37.570492,126.976189
2519835158,일반상가,월세,2/5,400,1억,126,115,남향,20250414,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.57043,126.974261
2519655964,일반상가,월세,1/2,"1,400",2억,140,132,북동향,20250414,"['25년이상', '역세권', '1층', '총2층']",37.570639,126.976013
2519515157,일반상가,월세,1/4,"2,600",3억,307,307,남향,20250412,"['25년이상', '역세권', '1층', '총4층']",37.57043,126.974123
2518992373,복합상가,매매,B1/10,,"1억 1,500",22,22,동향,20250410,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.57134,126.97296
2518995955,일반상가,월세,1/4,"2,600",3억,314,314,남향,20250410,"['25년이상', '융자금없는', '역세권', '1층']",37.57043,126.974123
2518985363,복합상가,매매,B1/24,,4억,57,29,북향,20250410,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.569733,126.974911
2518991866,일반상가,월세,2/5,400,1억,126,99,,20250410,"['25년이상', '융자금없는', '역세권', '중층']",37.57043,126.974261
